metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,77.797,29.1,180.0,1032
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,111.357,46.98,179.97,966
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,112.763,61.57,135.26,966
right_shoulder_angle_deg,70.324,0.06,179.94,991
right_elbow_angle_deg,143.192,3.58,180.0,886
trunk_lean_angle_deg,53.259,0.0,101.78,1032
athlete_depth_m,3.777,3.061,4.281,1032
center_depth_m,7.603,6.957,8.503,1031
barbell_horizontal_displacement_px,16.616,-7.0,43.0,398
barbell_vertical_displacement_px,259.309,0.0,323.0,398
barbell_vertical_velocity_px_s,4.485,-12.85,102.9,398
barbell_horizontal_velocity_px_s,4.988,-31.39,53.26,398
barbell_horizontal_displacement_m,0.08,-0.037,0.228,398
barbell_vertical_displacement_m,1.374,-0.0,1.71,398
barbell_vertical_velocity_m_s,0.041,-0.17,0.502,398
barbell_horizontal_velocity_m_s,0.017,-0.349,0.351,398
