time_s,phase,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.001,Setup,True,202.0,424.0,,,,,,-0.6464,0.9448,3.205,,,,,
0.062,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.158,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.247,Setup,True,202.0,423.0,,,,,,-0.6498,0.9446,3.222,,,,,
0.324,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.404,Setup,True,201.0,423.0,,,,,,-0.6585,0.9496,3.239,,,,,
0.495,Setup,True,201.0,423.0,,,,,,-0.6585,0.9496,3.239,,,,,
0.575,Setup,True,202.0,424.0,,,,,,-0.6464,0.9448,3.205,,,,,
0.655,Setup,True,201.0,423.0,,,,,,-0.6551,0.9446,3.222,,,,,
0.749,Setup,True,201.0,423.0,,,,,,-0.6551,0.9446,3.222,,,,,
0.841,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.925,Setup,True,201.0,423.0,,,,,,-0.6516,0.9396,3.205,,,,,
1.016,Setup,True,202.0,423.0,,,,,,-0.6464,0.9396,3.205,,,,,
1.108,Setup,True,201.0,422.0,,,,,,-0.662,0.9493,3.256,,,,,
1.187,Setup,True,201.0,423.0,,,,,,-0.662,0.9546,3.256,,,,,
1.266,Setup,True,202.0,423.0,,,,,,-0.6533,0.9496,3.239,,,,,
1.356,Setup,True,201.0,423.0,,,,,,-0.6585,0.9496,3.239,,,,,
1.435,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
1.517,Setup,True,202.0,423.0,,,,,,-0.6498,0.9446,3.222,,,,,
1.606,Setup,True,203.0,424.0,,,,,,-0.6446,0.9498,3.222,,,,,
1.686,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
1.765,Setup,True,201.0,423.0,,,,,,-0.662,0.9546,3.256,,,,,
1.844,Setup,True,202.0,423.0,,,,,,-0.6567,0.9546,3.256,,,,,
1.926,Setup,True,202.0,423.0,,,,,,-0.6533,0.9496,3.239,,,,,
2.022,Setup,True,202.0,424.0,,,,,,-0.6533,0.9548,3.239,,,,,
2.11,Setup,True,202.0,424.0,,,,,,-0.643,0.9398,3.188,,,,,
2.187,Setup,True,202.0,424.0,,,,,,-0.643,0.9398,3.188,,,,,
2.267,Setup,True,202.0,424.0,,,,,,-0.6533,0.9548,3.239,,,,,
2.345,Setup,True,202.0,424.0,,,,,,-0.6533,0.9548,3.239,,,,,
2.424,Setup,True,202.0,423.0,,,,,,-0.6533,0.9496,3.239,,,,,
2.502,Setup,True,203.0,424.0,,,,,,-0.648,0.9548,3.239,,,,,
2.579,Setup,True,203.0,424.0,,,,,,-0.648,0.9548,3.239,,,,,
2.657,Setup,True,203.0,423.0,,,,,,-0.6514,0.9546,3.256,,,,,
2.734,Setup,True,203.0,423.0,,,,,,-0.6446,0.9446,3.222,,,,,
2.817,Setup,True,203.0,424.0,,,,,,-0.6446,0.9498,3.222,,,,,
2.908,Setup,True,202.0,423.0,,,,,,-0.6567,0.9546,3.256,,,,,
2.986,Setup,True,203.0,424.0,,,,,,-0.6514,0.9598,3.256,,,,,
3.064,Setup,True,202.0,423.0,,,,,,-0.6498,0.9446,3.222,,,,,
3.141,Setup,True,204.0,423.0,,,,,,-0.6394,0.9446,3.222,,,,,
3.218,Setup,True,203.0,423.0,,,,,,-0.6378,0.9346,3.188,,,,,
3.297,Setup,True,203.0,423.0,,,,,,-0.6378,0.9346,3.188,,,,,
3.377,Setup,True,203.0,423.0,,,,,,-0.648,0.9496,3.239,,,,,
3.454,Setup,True,204.0,423.0,,,,,,-0.6462,0.9546,3.256,,,,,
3.545,Setup,True,203.0,422.0,,,,,,-0.6446,0.9394,3.222,,,,,
3.623,Setup,True,204.0,423.0,,,,,,-0.6394,0.9446,3.222,,,,,
3.7,Setup,True,203.0,423.0,,,,,,-0.6412,0.9396,3.205,,,,,
3.781,Setup,True,204.0,424.0,,,,,,-0.6327,0.9398,3.188,,,,,
3.862,Setup,True,204.0,423.0,,,,,,-0.636,0.9396,3.205,,,,,
3.962,Setup,True,203.0,423.0,,,,,,-0.6412,0.9396,3.205,,,,,
4.06,Setup,True,205.0,424.0,,,,,,-0.6275,0.9398,3.188,,,,,
4.142,Setup,True,204.0,423.0,,,,,,-0.636,0.9396,3.205,,,,,
4.221,Setup,True,204.0,422.0,,,,,,-0.6327,0.9295,3.188,,,,,
4.297,Setup,True,204.0,422.0,,,,,,-0.6327,0.9295,3.188,,,,,
4.376,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
4.455,Setup,True,204.0,423.0,,,,,,-0.6394,0.9446,3.222,,,,,
4.534,Setup,True,204.0,423.0,,,,,,-0.6428,0.9496,3.239,,,,,
4.628,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
4.706,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
4.802,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
4.893,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
4.988,Setup,True,204.0,422.0,,,,,,-0.6428,0.9444,3.239,,,,,
5.081,Setup,True,205.0,422.0,,,,,,-0.6375,0.9444,3.239,,,,,
5.175,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
5.267,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
5.36,Setup,True,205.0,423.0,,,,,,-0.6375,0.9496,3.239,,,,,
5.439,Setup,True,205.0,423.0,,,,,,-0.6342,0.9446,3.222,,,,,
5.517,Setup,True,205.0,423.0,,,,,,-0.6342,0.9446,3.222,,,,,
5.598,Setup,True,205.0,423.0,,,,,,-0.6342,0.9446,3.222,,,,,
5.702,Setup,True,205.0,423.0,,,,,,-0.6342,0.9446,3.222,,,,,
5.789,Setup,True,206.0,423.0,,,,,,-0.629,0.9446,3.222,,,,,
5.879,Setup,True,206.0,424.0,,,,,,-0.629,0.9498,3.222,,,,,
5.958,Setup,True,207.0,424.0,,,,,,-0.6205,0.9448,3.205,,,,,
6.059,Setup,True,207.0,424.0,,,,,,-0.6205,0.9448,3.205,,,,,
6.154,Setup,True,207.0,424.0,,,,,,-0.6238,0.9498,3.222,,,,,
6.245,Setup,True,206.0,424.0,,,,,,-0.6257,0.9448,3.205,,,,,
6.338,Setup,True,207.0,424.0,,,,,,-0.6205,0.9448,3.205,,,,,
6.431,Setup,True,207.0,424.0,,,,,,-0.6205,0.9448,3.205,,,,,
6.51,Setup,True,207.0,424.0,,,,,,-0.6238,0.9498,3.222,,,,,
6.601,Setup,True,207.0,424.0,,,,,,-0.6238,0.9498,3.222,,,,,
6.681,Setup,True,207.0,424.0,,,,,,-0.6205,0.9448,3.205,,,,,
6.776,Setup,True,208.0,423.0,,,,,,-0.6185,0.9446,3.222,,,,,
6.867,Setup,True,209.0,424.0,,,,,,-0.6166,0.9548,3.239,,,,,
6.944,Setup,True,208.0,424.0,,,,,,-0.6218,0.9548,3.239,,,,,
7.028,Setup,True,208.0,424.0,,,,,,-0.6153,0.9448,3.205,,,,,
7.118,Setup,True,208.0,424.0,,,,,,-0.6153,0.9448,3.205,,,,,
7.193,Setup,True,208.0,423.0,,,,,,-0.6251,0.9546,3.256,,,,,
7.275,Setup,True,209.0,424.0,,,,,,-0.6166,0.9548,3.239,,,,,
7.35,Setup,True,209.0,423.0,,,,,,-0.6133,0.9446,3.222,,,,,
7.436,Setup,True,209.0,423.0,,,,,,-0.6133,0.9446,3.222,,,,,
7.528,Setup,True,209.0,424.0,,,,,,-0.6038,0.9351,3.172,,,,,
7.619,Setup,True,209.0,424.0,,,,,,-0.6038,0.9351,3.172,,,,,
7.713,Setup,True,209.0,423.0,,,,,,-0.6133,0.9446,3.222,,,,,
7.808,Setup,True,210.0,424.0,,,,,,-0.6081,0.9498,3.222,,,,,
7.898,Setup,True,211.0,424.0,,,,,,-0.5997,0.9448,3.205,,,,,
7.976,Setup,True,211.0,424.0,,,,,,-0.5997,0.9448,3.205,,,,,
8.057,Setup,True,210.0,423.0,,,,,,-0.6145,0.9546,3.256,,,,,
8.151,Setup,True,211.0,424.0,,,,,,-0.6092,0.9598,3.256,,,,,
8.246,Setup,True,211.0,423.0,,,,,,-0.6029,0.9446,3.222,,,,,
8.341,Setup,True,212.0,424.0,,,,,,-0.5945,0.9448,3.205,,,,,
8.428,Setup,True,212.0,424.0,,,,,,-0.5945,0.9448,3.205,,,,,
8.507,Setup,True,213.0,425.0,,,,,,-0.5893,0.95,3.205,,,,,
8.589,Setup,True,213.0,424.0,,,,,,-0.5924,0.9498,3.222,,,,,
8.682,Setup,True,214.0,424.0,,,,,,-0.5872,0.9498,3.222,,,,,
8.773,Setup,True,214.0,424.0,,,,,,-0.5872,0.9498,3.222,,,,,
8.853,Setup,True,214.0,423.0,,,,,,-0.5872,0.9446,3.222,,,,,
8.944,Setup,True,215.0,424.0,,,,,,-0.5759,0.9398,3.188,,,,,
9.024,Setup,True,215.0,424.0,,,,,,-0.5759,0.9398,3.188,,,,,
9.117,Setup,True,215.0,423.0,,,,,,-0.5851,0.9496,3.239,,,,,
9.209,Setup,True,215.0,423.0,,,,,,-0.5851,0.9496,3.239,,,,,
9.287,Setup,True,215.0,423.0,,,,,,-0.5759,0.9346,3.188,,,,,
9.454,Setup,True,216.0,423.0,,,,,,-0.5707,0.9346,3.188,,,,,
9.552,Setup,True,216.0,423.0,,,,,,-0.5798,0.9496,3.239,,,,,
9.639,Setup,True,217.0,423.0,,,,,,-0.5746,0.9496,3.239,,,,,
9.735,Setup,True,217.0,423.0,,,,,,-0.5716,0.9446,3.222,,,,,
9.827,Setup,True,218.0,423.0,,,,,,-0.5664,0.9446,3.222,,,,,
9.932,Setup,True,218.0,423.0,,,,,,-0.5694,0.9496,3.239,,,,,
10.041,Setup,True,218.0,423.0,,,,,,-0.5694,0.9496,3.239,,,,,
10.136,Setup,True,219.0,423.0,,,,,,-0.5611,0.9446,3.222,,,,,
10.246,Setup,True,218.0,422.0,,,,,,-0.5694,0.9444,3.239,,,,,
10.343,Setup,True,219.0,423.0,,,,,,-0.5641,0.9496,3.239,,,,,
10.437,Setup,True,220.0,423.0,,,,,,-0.5589,0.9496,3.239,,,,,
10.53,Setup,True,220.0,423.0,,,,,,-0.5559,0.9446,3.222,,,,,
10.623,Setup,True,221.0,423.0,,,,,,-0.5507,0.9446,3.222,,,,,
10.717,Setup,True,222.0,423.0,,,,,,-0.5426,0.9396,3.205,,,,,
10.805,Setup,True,222.0,423.0,,,,,,-0.5426,0.9396,3.205,,,,,
10.899,Setup,True,222.0,423.0,,,,,,-0.5512,0.9546,3.256,,,,,
10.997,Setup,True,223.0,423.0,,,,,,-0.546,0.9546,3.256,,,,,
11.084,Setup,True,223.0,423.0,,,,,,-0.5403,0.9446,3.222,,,,,
11.176,Setup,True,223.0,423.0,,,,,,-0.5403,0.9446,3.222,,,,,
11.28,Setup,True,223.0,423.0,,,,,,-0.5346,0.9346,3.188,,,,,
11.374,Setup,True,224.0,423.0,,,,,,-0.5294,0.9346,3.188,,,,,
11.467,Setup,True,224.0,422.0,,,,,,-0.5379,0.9444,3.239,,,,,
11.551,Setup,True,224.0,422.0,,,,,,-0.5379,0.9444,3.239,,,,,
11.643,Setup,True,224.0,422.0,,,,,,-0.5351,0.9394,3.222,,,,,
11.742,Setup,True,225.0,422.0,,,,,,-0.5298,0.9394,3.222,,,,,
11.831,Setup,True,226.0,422.0,,,,,,-0.5274,0.9444,3.239,,,,,
11.923,Setup,True,226.0,423.0,,,,,,-0.5246,0.9446,3.222,,,,,
12.003,Setup,True,227.0,423.0,,,,,,-0.5221,0.9496,3.239,,,,,
12.101,Setup,True,226.0,422.0,,,,,,-0.5302,0.9493,3.256,,,,,
12.195,Setup,True,226.0,422.0,,,,,,-0.5274,0.9444,3.239,,,,,
12.288,Setup,True,227.0,423.0,,,,,,-0.5194,0.9446,3.222,,,,,
12.387,Setup,True,227.0,422.0,,,,,,-0.5221,0.9444,3.239,,,,,
12.502,Setup,True,228.0,423.0,,,,,,-0.5169,0.9496,3.239,,,,,
12.605,Setup,True,229.0,423.0,,,,,,-0.509,0.9446,3.222,,,,,
12.697,Setup,True,229.0,422.0,,,,,,-0.509,0.9394,3.222,,,,,
12.786,Setup,True,229.0,423.0,,,,,,-0.509,0.9446,3.222,,,,,
12.879,Setup,True,230.0,423.0,,,,,,-0.5038,0.9446,3.222,,,,,
12.976,Setup,True,229.0,422.0,,,,,,-0.509,0.9394,3.222,,,,,
13.066,Setup,True,230.0,422.0,,,,,,-0.5038,0.9394,3.222,,,,,
13.161,Setup,True,231.0,423.0,,,,,,-0.5012,0.9496,3.239,,,,,
13.255,Setup,True,231.0,422.0,,,,,,-0.5038,0.9493,3.256,,,,,
13.351,Setup,True,231.0,422.0,,,,,,-0.5012,0.9444,3.239,,,,,
13.45,Setup,True,231.0,422.0,,,,,,-0.5012,0.9444,3.239,,,,,
13.541,Setup,True,231.0,422.0,,,,,,-0.4985,0.9394,3.222,,,,,
13.629,Setup,True,232.0,423.0,,,,,,-0.4933,0.9446,3.222,,,,,
13.725,Setup,True,232.0,423.0,,,,,,-0.4933,0.9446,3.222,,,,,
13.814,Setup,True,232.0,423.0,,,,,,-0.4933,0.9446,3.222,,,,,
13.913,Setup,True,232.0,423.0,,,,,,-0.4933,0.9446,3.222,,,,,
14.005,Setup,True,232.0,423.0,,,,,,-0.4933,0.9446,3.222,,,,,
14.1,Setup,True,232.0,422.0,,,,,,-0.4933,0.9394,3.222,,,,,
14.194,Setup,True,232.0,421.0,,,,,,-0.4933,0.9342,3.222,,,,,
14.287,Setup,True,232.0,421.0,,,,,,-0.4907,0.9293,3.205,,,,,
14.38,Setup,True,233.0,421.0,,,,,,-0.483,0.9243,3.188,,,,,
14.478,Setup,True,233.0,422.0,,,,,,-0.4855,0.9344,3.205,,,,,
14.572,Setup,True,234.0,423.0,,,,,,-0.4803,0.9396,3.205,,,,,
14.661,Setup,True,234.0,423.0,,,,,,-0.4854,0.9496,3.239,,,,,
14.758,Setup,True,235.0,423.0,,,,,,-0.4802,0.9496,3.239,,,,,
14.852,Setup,True,235.0,423.0,,,,,,-0.4751,0.9396,3.205,,,,,
14.941,Setup,True,235.0,423.0,,,,,,-0.4751,0.9396,3.205,,,,,
15.035,Setup,True,235.0,423.0,,,,,,-0.4777,0.9446,3.222,,,,,
15.126,Setup,True,236.0,423.0,,,,,,-0.4725,0.9446,3.222,,,,,
15.207,Setup,True,236.0,423.0,,,,,,-0.47,0.9396,3.205,,,,,
15.301,Setup,True,236.0,423.0,,,,,,-0.47,0.9396,3.205,,,,,
15.395,Setup,True,236.0,423.0,,,,,,-0.47,0.9396,3.205,,,,,
15.484,Setup,True,237.0,423.0,,,,,,-0.4648,0.9396,3.205,,,,,
15.563,Setup,True,237.0,423.0,,,,,,-0.4648,0.9396,3.205,,,,,
15.66,Setup,True,237.0,422.0,,,,,,-0.4648,0.9344,3.205,,,,,
15.757,Setup,True,237.0,422.0,,,,,,-0.4722,0.9493,3.256,,,,,
15.85,Setup,True,237.0,423.0,,,,,,-0.4697,0.9496,3.239,,,,,
15.947,Setup,True,238.0,423.0,,,,,,-0.4571,0.9346,3.188,,,,,
16.033,Setup,True,238.0,423.0,,,,,,-0.4571,0.9346,3.188,,,,,
16.127,Setup,True,238.0,423.0,,,,,,-0.4669,0.9546,3.256,,,,,
16.219,Setup,True,238.0,423.0,,,,,,-0.4669,0.9546,3.256,,,,,
16.312,Setup,True,238.0,423.0,,,,,,-0.462,0.9446,3.222,,,,,
16.404,Setup,True,239.0,423.0,,,,,,-0.4568,0.9446,3.222,,,,,
16.499,Setup,True,239.0,423.0,,,,,,-0.452,0.9346,3.188,,,,,
16.592,Setup,True,239.0,423.0,,,,,,-0.452,0.9346,3.188,,,,,
16.689,Setup,True,239.0,423.0,,,,,,-0.4592,0.9496,3.239,,,,,
16.78,Setup,True,240.0,423.0,,,,,,-0.454,0.9496,3.239,,,,,
16.859,Setup,True,240.0,423.0,,,,,,-0.454,0.9496,3.239,,,,,
16.954,Setup,True,241.0,423.0,,,,,,-0.4487,0.9496,3.239,,,,,
17.05,Setup,True,241.0,423.0,,,,,,-0.4464,0.9446,3.222,,,,,
17.149,Setup,True,241.0,423.0,,,,,,-0.4464,0.9446,3.222,,,,,
17.238,Setup,True,241.0,423.0,,,,,,-0.444,0.9396,3.205,,,,,
17.332,Setup,True,241.0,422.0,,,,,,-0.444,0.9344,3.205,,,,,
17.422,Setup,True,241.0,422.0,,,,,,-0.4464,0.9394,3.222,,,,,
17.512,Setup,True,241.0,422.0,,,,,,-0.4464,0.9394,3.222,,,,,
17.613,Setup,True,241.0,422.0,,,,,,-0.4487,0.9444,3.239,,,,,
17.698,Setup,True,242.0,423.0,,,,,,-0.4411,0.9446,3.222,,,,,
17.782,Setup,True,242.0,423.0,,,,,,-0.4411,0.9446,3.222,,,,,
17.873,Setup,True,242.0,423.0,,,,,,-0.4411,0.9446,3.222,,,,,
17.967,Setup,True,242.0,423.0,,,,,,-0.4435,0.9496,3.239,,,,,
18.058,Setup,True,242.0,423.0,,,,,,-0.4435,0.9496,3.239,,,,,
18.142,Setup,True,242.0,423.0,,,,,,-0.4411,0.9446,3.222,,,,,
18.234,Setup,True,243.0,423.0,,,,,,-0.4359,0.9446,3.222,,,,,
18.333,Setup,True,243.0,423.0,,,,,,-0.4313,0.9346,3.188,,,,,
18.425,Setup,True,243.0,423.0,,,,,,-0.4313,0.9346,3.188,,,,,
18.518,Setup,True,243.0,422.0,,,,,,-0.4359,0.9394,3.222,,,,,
18.61,Setup,True,244.0,422.0,,,,,,-0.4307,0.9394,3.222,,,,,
18.703,Setup,True,244.0,422.0,,,,,,-0.4307,0.9394,3.222,,,,,
18.79,Setup,True,244.0,422.0,,,,,,-0.4307,0.9394,3.222,,,,,
18.887,Setup,True,244.0,422.0,,,,,,-0.4284,0.9344,3.205,,,,,
19.004,Setup,True,244.0,422.0,,,,,,-0.4284,0.9344,3.205,,,,,
19.106,Setup,True,243.0,423.0,,,,,,-0.4336,0.9396,3.205,,,,,
19.197,Setup,True,244.0,422.0,,,,,,-0.4307,0.9394,3.222,,,,,
19.291,Setup,True,243.0,422.0,,,,,,-0.4382,0.9444,3.239,,,,,
19.38,Setup,True,244.0,422.0,,,,,,-0.433,0.9444,3.239,,,,,
19.478,Setup,True,244.0,421.0,,,,,,-0.4307,0.9342,3.222,,,,,
19.572,Setup,True,244.0,422.0,,,,,,-0.4307,0.9394,3.222,,,,,
19.666,Setup,True,244.0,422.0,,,,,,-0.4353,0.9493,3.256,,,,,
19.767,Setup,True,244.0,421.0,,,,,,-0.4353,0.944,3.256,,,,,
19.856,Setup,True,244.0,422.0,,,,,,-0.433,0.9444,3.239,,,,,
19.943,Setup,True,245.0,422.0,,,,,,-0.4277,0.9444,3.239,,,,,
20.023,Setup,True,244.0,421.0,,,,,,-0.433,0.9391,3.239,,,,,
20.102,Setup,True,245.0,422.0,,,,,,-0.4255,0.9394,3.222,,,,,
20.195,Setup,True,245.0,422.0,,,,,,-0.4255,0.9394,3.222,,,,,
20.277,Setup,True,245.0,422.0,,,,,,-0.4255,0.9394,3.222,,,,,
20.371,Setup,True,244.0,422.0,,,,,,-0.4307,0.9394,3.222,,,,,
20.47,Setup,True,244.0,422.0,,,,,,-0.4307,0.9394,3.222,,,,,
20.559,Setup,True,245.0,422.0,,,,,,-0.4277,0.9444,3.239,,,,,
20.655,Setup,True,245.0,421.0,,,,,,-0.4277,0.9391,3.239,,,,,
20.745,Setup,True,245.0,422.0,,,,,,-0.4277,0.9444,3.239,,,,,
20.838,Setup,True,245.0,422.0,,,,,,-0.4277,0.9444,3.239,,,,,
