metric,mean,min,max,valid_samples
left_hip_angle_deg,103.718,45.22,178.91,158
right_hip_angle_deg,116.156,64.1,177.63,158
left_knee_angle_deg,132.331,10.01,179.73,158
right_knee_angle_deg,129.122,12.53,178.77,158
left_ankle_angle_deg,141.652,14.35,179.79,158
right_ankle_angle_deg,148.546,10.44,179.81,158
left_shoulder_angle_deg,60.98,34.7,86.79,23
right_shoulder_angle_deg,60.002,0.56,114.1,158
left_elbow_angle_deg,152.176,129.13,179.1,14
right_elbow_angle_deg,151.023,17.46,179.82,155
trunk_lean_angle_deg,22.757,1.93,40.77,158
