metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,83.308,30.9,180.0,771
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,106.569,46.98,177.51,718
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,112.787,79.14,135.26,718
right_shoulder_angle_deg,77.577,1.31,179.94,730
right_elbow_angle_deg,147.064,3.58,180.0,663
trunk_lean_angle_deg,43.838,0.0,95.71,771
athlete_depth_m,3.778,3.061,4.281,771
center_depth_m,7.6,6.957,8.503,770
barbell_horizontal_displacement_px,33.888,13.0,69.0,771
barbell_vertical_displacement_px,111.813,-1.0,336.0,771
barbell_vertical_velocity_px_s,1.919,-95.08,87.72,771
barbell_horizontal_velocity_px_s,0.062,-32.76,54.71,771
barbell_horizontal_displacement_m,0.167,0.055,0.355,771
barbell_vertical_displacement_m,0.577,-0.025,1.764,771
barbell_vertical_velocity_m_s,0.01,-0.488,0.438,771
barbell_horizontal_velocity_m_s,0.0,-0.342,0.326,771
