metric,mean,min,max,valid_samples
left_hip_angle_deg,160.93,101.45,179.52,179
right_hip_angle_deg,112.708,37.91,179.77,1442
left_knee_angle_deg,135.089,88.83,169.16,179
right_knee_angle_deg,131.735,57.37,178.84,1396
left_ankle_angle_deg,104.802,81.01,132.88,179
right_ankle_angle_deg,111.908,49.09,168.75,1396
right_shoulder_angle_deg,80.503,0.0,179.44,1442
right_elbow_angle_deg,155.449,14.07,179.43,930
trunk_lean_angle_deg,32.037,0.0,106.7,1442
athlete_depth_m,3.902,3.42,4.109,1442
center_depth_m,5.622,3.188,8.386,1443
barbell_horizontal_displacement_px,28.094,-3.0,64.0,913
barbell_vertical_displacement_px,236.532,-11.0,355.0,913
barbell_vertical_velocity_px_s,1.039,-236.86,117.08,913
barbell_horizontal_velocity_px_s,0.719,-26.0,76.58,913
barbell_horizontal_displacement_m,0.148,-0.022,0.353,913
barbell_vertical_displacement_m,1.256,-0.057,1.928,913
barbell_vertical_velocity_m_s,0.005,-0.998,0.58,913
barbell_horizontal_velocity_m_s,0.004,-0.174,0.419,913
