metric,mean,min,max,valid_samples
left_hip_angle_deg,107.813,49.9,178.91,143
right_hip_angle_deg,112.203,64.1,177.63,143
left_knee_angle_deg,133.039,10.01,179.73,143
right_knee_angle_deg,127.218,12.53,178.77,143
left_ankle_angle_deg,141.03,14.35,179.79,143
right_ankle_angle_deg,146.373,10.44,179.81,143
left_shoulder_angle_deg,60.98,34.7,86.79,23
right_shoulder_angle_deg,57.245,0.56,114.1,143
left_elbow_angle_deg,152.176,129.13,179.1,14
right_elbow_angle_deg,153.28,17.46,179.82,140
trunk_lean_angle_deg,21.845,1.93,40.77,143
