sport,exercise,camera_view,input_mode,phase,start_time_s,end_time_s,duration_s,sample_count,left_hip_angle_mean_deg,left_hip_angle_min_deg,left_hip_angle_max_deg,left_hip_angle_range_deg,right_hip_angle_mean_deg,right_hip_angle_min_deg,right_hip_angle_max_deg,right_hip_angle_range_deg,left_knee_angle_mean_deg,left_knee_angle_min_deg,left_knee_angle_max_deg,left_knee_angle_range_deg,right_knee_angle_mean_deg,right_knee_angle_min_deg,right_knee_angle_max_deg,right_knee_angle_range_deg,left_ankle_angle_mean_deg,left_ankle_angle_min_deg,left_ankle_angle_max_deg,left_ankle_angle_range_deg,right_ankle_angle_mean_deg,right_ankle_angle_min_deg,right_ankle_angle_max_deg,right_ankle_angle_range_deg,left_shoulder_angle_mean_deg,left_shoulder_angle_min_deg,left_shoulder_angle_max_deg,right_shoulder_angle_mean_deg,right_shoulder_angle_min_deg,right_shoulder_angle_max_deg,left_elbow_angle_mean_deg,left_elbow_angle_min_deg,left_elbow_angle_max_deg,right_elbow_angle_mean_deg,right_elbow_angle_min_deg,right_elbow_angle_max_deg,trunk_lean_angle_mean_deg,trunk_lean_angle_min_deg,trunk_lean_angle_max_deg,trunk_lean_angle_range_deg,barbell_vertical_displacement_mean_px,barbell_vertical_displacement_min_px,barbell_vertical_displacement_max_px,barbell_vertical_displacement_range_px,barbell_horizontal_displacement_mean_px,barbell_horizontal_displacement_min_px,barbell_horizontal_displacement_max_px,barbell_horizontal_displacement_range_px,barbell_vertical_velocity_mean_px_s,barbell_vertical_velocity_max_abs_px_s,barbell_horizontal_velocity_mean_px_s,barbell_horizontal_velocity_max_abs_px_s,barbell_vertical_displacement_mean_m,barbell_vertical_displacement_min_m,barbell_vertical_displacement_max_m,barbell_vertical_displacement_range_m,barbell_horizontal_displacement_mean_m,barbell_horizontal_displacement_min_m,barbell_horizontal_displacement_max_m,barbell_horizontal_displacement_range_m,barbell_vertical_velocity_mean_m_s,barbell_vertical_velocity_max_abs_m_s,barbell_horizontal_velocity_mean_m_s,barbell_horizontal_velocity_max_abs_m_s,athlete_depth_mean_m,athlete_depth_min_m,athlete_depth_max_m,center_depth_mean_m,center_depth_min_m,center_depth_max_m
Weightlifting,Clean & Jerk,Side View,RealSense Bag File,Deadlift Phase,14.817,15.382,0.565,11,,,,,81.5891,71.46,93.86,22.4,,,,,114.0055,99.9,131.73,31.83,,,,,101.0491,97.47,109.38,11.91,,,,36.2755,30.86,42.91,,,,152.2883,147.18,159.8,52.7282,49.74,54.42,4.68,10.0909,0.0,24.0,24.0,-0.8182,-3.0,0.0,3.0,44.9545,88.17,-4.8055,17.63,0.0564,-0.0,0.1244,0.1244,-0.0039,-0.0167,0.0017,0.0184,0.2143,0.35,-0.0295,0.1243,3.9196,3.899,3.95,4.1365,4.028,4.311
Weightlifting,Clean & Jerk,Side View,RealSense Bag File,Jump Phase,15.439,18.834,3.395,61,,,,,140.1713,94.43,179.8,85.37,,,,,141.1025,104.1,176.96,72.86,,,,,107.8133,71.39,165.54,94.15,,,,30.0322,0.1,109.22,,,,50.1889,0.68,178.99,16.5442,0.38,50.86,50.48,107.6667,24.0,171.0,147.0,13.1667,-8.0,31.0,39.0,42.2318,123.36,8.526,70.97,0.571,0.131,0.9168,0.7858,0.0698,-0.046,0.1684,0.2144,0.2279,0.6662,0.0462,0.3717,3.7853,3.364,4.001,3.9529,3.274,6.184
Weightlifting,Clean & Jerk,Side View,RealSense Bag File,Catch Phase,18.89,19.619,0.729,14,,,,,104.4764,101.67,114.69,13.02,,,,,107.4936,103.81,118.22,14.41,,,,,104.7564,101.25,114.2,12.95,,,,79.1193,60.71,94.6,,,,,,,16.7457,15.85,17.49,1.64,166.7857,159.0,172.0,13.0,18.7857,14.0,25.0,11.0,-15.3214,70.52,-15.3364,53.23,0.8911,0.8456,0.9205,0.0749,0.0999,0.074,0.1337,0.0597,-0.0891,0.3593,-0.0824,0.3017,3.9144,3.802,4.028,3.4164,3.345,3.478
Weightlifting,Clean & Jerk,Side View,RealSense Bag File,Squat Phase,19.676,45.153,25.477,451,133.0117,102.36,179.32,76.96,150.2685,87.16,180.0,92.84,109.1456,88.84,156.78,67.94,147.6871,90.64,175.52,84.88,113.0,101.72,130.73,29.01,107.0018,90.47,128.3,37.83,,,,85.6924,12.97,179.05,,,,,,,5.0467,0.0,21.25,21.25,190.0111,134.0,261.0,127.0,7.0466,-1.0,23.0,24.0,4.0086,122.94,0.2732,35.39,1.0185,0.7125,1.4338,0.7213,0.0356,-0.0105,0.1231,0.1336,0.0231,0.621,0.0014,0.1948,3.8963,3.622,4.054,3.8578,3.188,4.501
Weightlifting,Clean & Jerk,Side View,RealSense Bag File,Jerk Phase,45.209,63.174,17.965,318,172.2393,160.35,179.01,18.66,157.9241,115.31,179.9,64.59,145.7817,109.9,170.69,60.79,151.9045,105.26,179.87,74.61,102.0827,80.57,132.81,52.24,115.5487,96.82,137.41,40.59,,,,142.8969,0.36,179.64,,,,146.3189,1.06,177.34,4.721,0.0,13.5,13.5,294.8491,261.0,315.0,54.0,45.4748,19.0,57.0,38.0,5.5442,53.07,1.8312,18.59,1.6151,1.4003,1.7355,0.3352,0.251,0.1009,0.322,0.2211,0.0122,0.7321,0.0061,0.1424,3.9528,3.478,4.109,4.9747,3.382,7.118
