metric,mean,min,max,valid_samples
left_hip_angle_deg,106.275,29.8,178.79,153
right_hip_angle_deg,116.096,49.18,176.8,153
left_knee_angle_deg,136.785,7.56,179.69,153
right_knee_angle_deg,128.569,17.66,179.89,153
left_ankle_angle_deg,142.581,14.47,179.42,153
right_ankle_angle_deg,142.781,35.02,179.97,153
left_shoulder_angle_deg,54.858,6.37,80.79,21
right_shoulder_angle_deg,60.604,0.55,123.26,153
left_elbow_angle_deg,160.739,109.23,180.0,14
right_elbow_angle_deg,151.411,37.45,180.0,153
trunk_lean_angle_deg,23.947,0.0,108.75,153
