time_s,athlete_depth_m,center_depth_m
0.029,3.826,7.202
0.124,3.826,7.202
0.213,3.85,7.749
0.291,3.85,7.749
0.373,3.85,7.951
0.452,3.85,7.951
0.543,3.826,7.652
0.624,3.826,7.652
0.718,3.826,7.202
0.81,3.826,7.202
0.904,3.85,8.055
0.994,3.85,8.055
1.07,3.826,7.951
1.152,3.826,7.951
1.231,3.802,8.055
1.309,3.802,8.055
1.389,3.826,7.749
1.468,3.826,7.749
1.546,3.802,7.288
1.626,3.802,7.288
1.705,3.779,7.288
1.785,3.779,7.288
1.873,3.779,7.376
1.964,3.779,7.376
2.057,3.756,7.652
2.151,3.756,7.652
2.242,3.779,7.951
2.32,3.779,7.951
2.399,3.826,7.849
2.474,3.826,7.849
2.557,3.802,8.055
2.638,3.802,8.055
2.731,3.756,7.466
2.824,3.756,7.466
2.916,3.779,7.466
2.993,3.779,7.466
3.075,3.85,7.749
3.157,3.85,7.749
3.249,3.802,7.558
3.326,3.802,7.558
3.404,3.779,7.849
3.497,3.779,7.849
3.577,3.826,7.951
3.657,3.826,7.951
3.736,3.899,7.558
3.815,3.899,7.558
3.91,3.875,7.288
4.0,3.875,7.288
4.079,3.779,7.652
4.159,3.779,7.652
4.254,3.85,7.466
4.343,3.85,7.466
4.421,3.85,7.951
4.5,3.85,7.951
4.582,3.85,7.849
4.676,3.85,7.849
4.767,3.826,7.849
4.859,3.826,7.849
4.939,3.756,7.466
5.029,3.756,7.466
5.112,3.802,6.957
5.204,3.802,6.957
5.311,3.826,7.652
5.391,3.826,7.652
5.468,3.802,7.558
5.552,3.802,7.558
5.641,3.826,7.652
5.716,3.826,7.652
5.799,3.826,7.466
5.897,3.826,7.466
5.987,3.779,7.466
6.064,3.779,7.466
6.141,3.802,8.055
6.223,3.802,8.055
6.316,3.826,7.466
6.395,3.826,7.466
6.478,3.802,7.951
6.578,3.802,7.951
6.665,3.826,7.466
6.743,3.826,7.466
6.824,3.779,7.652
6.904,3.779,7.652
6.983,3.802,7.652
7.063,3.802,7.652
7.142,3.826,7.652
7.219,3.826,7.652
7.297,3.779,7.558
7.376,3.779,7.558
7.461,3.779,7.558
7.55,3.779,7.558
7.629,3.826,7.951
7.709,3.826,7.951
