metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,71.371,30.49,180.0,746
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,99.715,46.98,173.98,693
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,112.952,79.14,135.26,693
right_shoulder_angle_deg,75.725,1.31,179.94,711
right_elbow_angle_deg,148.069,3.58,180.0,674
trunk_lean_angle_deg,51.08,0.0,95.83,746
athlete_depth_m,3.786,3.061,4.281,746
center_depth_m,7.608,6.957,8.503,747
barbell_horizontal_displacement_px,13.692,-7.0,43.0,273
barbell_vertical_displacement_px,237.473,0.0,323.0,273
barbell_vertical_velocity_px_s,11.878,-12.8,88.67,273
barbell_horizontal_velocity_px_s,1.497,-32.6,53.32,273
barbell_horizontal_displacement_m,0.067,-0.037,0.228,273
barbell_vertical_displacement_m,1.256,-0.0,1.71,273
barbell_vertical_velocity_m_s,0.065,-0.147,0.43,273
barbell_horizontal_velocity_m_s,0.006,-0.351,0.334,273
