phase,start_time_s,end_time_s,sample_count
Catch Phase,52.98,54.081,13
Deadlift Phase,44.272,47.0,31
Jump Phase,47.094,52.888,65
Overhead Squat Phase,54.167,68.78,165
Setup,0.029,44.192,473
