sport,exercise,camera_view,input_mode,phase,start_time_s,end_time_s,duration_s,sample_count,left_hip_angle_mean_deg,left_hip_angle_min_deg,left_hip_angle_max_deg,left_hip_angle_range_deg,right_hip_angle_mean_deg,right_hip_angle_min_deg,right_hip_angle_max_deg,right_hip_angle_range_deg,left_knee_angle_mean_deg,left_knee_angle_min_deg,left_knee_angle_max_deg,left_knee_angle_range_deg,right_knee_angle_mean_deg,right_knee_angle_min_deg,right_knee_angle_max_deg,right_knee_angle_range_deg,left_ankle_angle_mean_deg,left_ankle_angle_min_deg,left_ankle_angle_max_deg,left_ankle_angle_range_deg,right_ankle_angle_mean_deg,right_ankle_angle_min_deg,right_ankle_angle_max_deg,right_ankle_angle_range_deg,left_shoulder_angle_mean_deg,left_shoulder_angle_min_deg,left_shoulder_angle_max_deg,right_shoulder_angle_mean_deg,right_shoulder_angle_min_deg,right_shoulder_angle_max_deg,left_elbow_angle_mean_deg,left_elbow_angle_min_deg,left_elbow_angle_max_deg,right_elbow_angle_mean_deg,right_elbow_angle_min_deg,right_elbow_angle_max_deg,trunk_lean_angle_mean_deg,trunk_lean_angle_min_deg,trunk_lean_angle_max_deg,trunk_lean_angle_range_deg,barbell_vertical_displacement_mean_px,barbell_vertical_displacement_min_px,barbell_vertical_displacement_max_px,barbell_vertical_displacement_range_px,barbell_horizontal_displacement_mean_px,barbell_horizontal_displacement_min_px,barbell_horizontal_displacement_max_px,barbell_horizontal_displacement_range_px,barbell_vertical_velocity_mean_px_s,barbell_vertical_velocity_max_abs_px_s,barbell_horizontal_velocity_mean_px_s,barbell_horizontal_velocity_max_abs_px_s,barbell_vertical_displacement_mean_m,barbell_vertical_displacement_min_m,barbell_vertical_displacement_max_m,barbell_vertical_displacement_range_m,barbell_horizontal_displacement_mean_m,barbell_horizontal_displacement_min_m,barbell_horizontal_displacement_max_m,barbell_horizontal_displacement_range_m,barbell_vertical_velocity_mean_m_s,barbell_vertical_velocity_max_abs_m_s,barbell_horizontal_velocity_mean_m_s,barbell_horizontal_velocity_max_abs_m_s,athlete_depth_mean_m,athlete_depth_min_m,athlete_depth_max_m,center_depth_mean_m,center_depth_min_m,center_depth_max_m
Weightlifting,Clean & Jerk,Front View,RealSense Bag File,Deadlift Phase,15.567,16.765,1.198,24,155.7896,147.89,161.9,14.01,155.1446,148.65,161.36,12.71,162.4492,156.36,170.39,14.03,162.7367,157.48,169.22,11.74,145.28,142.08,148.42,6.34,150.6054,144.41,157.36,12.95,29.3592,22.94,33.08,30.5554,28.8,33.83,165.8908,155.37,170.93,171.8821,163.27,176.94,0.5975,0.0,1.09,1.09,,,,,,,,,,,,,,,,,,,,,,,,,3.3291,3.284,3.393,3.3628,3.266,3.51
Weightlifting,Clean & Jerk,Front View,RealSense Bag File,Jump Phase,16.818,17.708,0.89,18,162.895,159.68,164.74,5.06,164.2917,162.09,165.9,3.81,174.5644,170.43,178.59,8.16,172.0622,166.89,175.0,8.11,151.5939,138.86,163.29,24.43,153.3339,140.5,159.33,18.83,53.2367,37.39,64.54,55.6433,35.03,76.07,126.7217,106.04,148.18,137.4283,113.93,162.07,0.9689,0.33,1.4,1.07,,,,,,,,,,,,,,,,,,,,,,,,,3.5421,3.284,3.702,3.5263,3.249,3.724
Weightlifting,Clean & Jerk,Front View,RealSense Bag File,Catch Phase,17.76,18.958,1.198,24,142.1246,127.54,158.63,31.09,146.2992,131.94,160.59,28.65,143.4583,120.72,168.47,47.75,143.1067,119.97,164.23,44.26,125.6654,116.59,138.07,21.48,126.3333,118.73,141.39,22.66,41.8254,25.94,66.91,49.4004,23.37,75.94,58.3883,24.13,160.23,79.9567,32.18,148.43,1.655,1.3,2.44,1.14,,,,,,,,,,,,,,,,,,,,,,,,,3.5049,3.356,3.77,3.5193,3.412,3.68
Weightlifting,Clean & Jerk,Front View,RealSense Bag File,Squat Phase,19.01,46.826,27.816,533,151.6268,89.73,166.99,77.26,150.785,80.71,168.0,87.29,157.9488,71.8,180.0,108.2,153.9011,65.53,179.96,114.43,154.5114,105.01,179.9,74.89,144.0962,105.79,179.36,73.57,60.7473,31.36,162.68,59.5804,31.03,141.11,58.2862,32.6,170.64,58.3627,33.83,139.67,0.8807,0.0,2.73,2.73,,,,,,,,,,,,,,,,,,,,,,,,,3.4254,3.148,4.072,3.425,3.165,3.89
Weightlifting,Clean & Jerk,Front View,RealSense Bag File,Jerk Phase,46.878,65.144,18.266,350,167.0326,152.85,174.26,21.41,165.1317,147.67,176.19,28.52,174.0399,142.52,180.0,37.48,172.2288,153.09,179.95,26.86,167.2357,143.54,179.91,36.37,168.2005,129.57,179.79,50.22,169.6204,158.75,175.35,163.9947,143.32,173.34,170.5513,163.52,179.96,173.8191,143.05,180.0,1.2413,0.0,3.27,3.27,,,,,,,,,,,,,,,,,,,,,,,,,3.7407,3.338,4.072,3.6743,3.375,4.018
