time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.002,Weightlifting,Clean & Jerk,Front View,Setup,Detected,83.73,90.83,154.86,154.92,150.46,164.28,95.17,94.88,171.34,165.87,35.54,3.069,7.932,False,,,,,,,,,,,,,,,
0.051,Weightlifting,Clean & Jerk,Front View,Setup,Detected,94.78,93.97,154.48,154.52,150.46,164.28,83.39,91.34,171.49,165.87,26.57,3.148,8.254,False,,,,,,,,,,,,,,,
0.103,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.83,87.51,153.77,155.22,150.46,164.2,100.88,98.59,171.18,166.08,38.66,3.148,8.254,False,,,,,,,,,,,,,,,
0.156,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.43,84.03,153.48,156.31,148.29,168.03,99.75,102.92,172.3,165.6,45.0,3.101,8.483,False,,,,,,,,,,,,,,,
0.208,Weightlifting,Clean & Jerk,Front View,Setup,Detected,76.91,87.88,155.76,156.31,149.1,164.91,99.75,98.59,173.58,164.92,38.66,3.085,8.483,False,,,,,,,,,,,,,,,
0.26,Weightlifting,Clean & Jerk,Front View,Setup,Detected,76.91,87.88,155.76,156.31,149.1,164.91,99.75,98.59,173.58,164.92,38.66,3.101,8.144,False,,,,,,,,,,,,,,,
0.312,Weightlifting,Clean & Jerk,Front View,Setup,Detected,82.51,87.88,155.58,155.51,149.94,160.33,94.95,97.11,172.78,166.61,33.69,3.101,8.144,False,,,,,,,,,,,,,,,
0.365,Weightlifting,Clean & Jerk,Front View,Setup,Detected,85.37,87.88,155.43,155.51,152.12,160.33,90.69,97.11,174.36,166.61,23.2,3.132,8.037,False,,,,,,,,,,,,,,,
0.417,Weightlifting,Clean & Jerk,Front View,Setup,Detected,85.37,84.39,154.59,155.87,149.01,160.33,90.69,99.92,174.14,169.06,26.57,3.132,8.037,False,,,,,,,,,,,,,,,
0.47,Weightlifting,Clean & Jerk,Front View,Setup,Detected,75.69,84.74,154.97,156.13,149.01,157.96,101.07,99.5,172.58,169.47,36.87,3.132,8.144,False,,,,,,,,,,,,,,,
0.522,Weightlifting,Clean & Jerk,Front View,Setup,Detected,76.91,84.74,155.76,156.13,149.1,157.96,100.55,100.35,172.78,168.4,45.0,3.132,8.144,False,,,,,,,,,,,,,,,
0.574,Weightlifting,Clean & Jerk,Front View,Setup,Detected,82.13,84.74,155.38,156.13,149.1,157.96,94.95,100.35,172.78,168.4,38.66,3.148,7.831,False,,,,,,,,,,,,,,,
0.626,Weightlifting,Clean & Jerk,Front View,Setup,Detected,99.07,98.5,154.58,155.33,146.91,160.86,77.97,85.45,172.02,168.83,22.62,3.165,7.831,False,,,,,,,,,,,,,,,
