metric,mean,min,max,valid_samples
left_hip_angle_deg,161.475,98.3,180.0,23
right_hip_angle_deg,105.909,35.72,180.0,760
left_knee_angle_deg,156.669,101.2,173.98,23
right_knee_angle_deg,118.037,46.98,179.97,732
left_ankle_angle_deg,105.82,99.95,113.27,23
right_ankle_angle_deg,113.295,61.57,135.26,732
right_shoulder_angle_deg,69.102,0.06,179.94,719
right_elbow_angle_deg,146.268,3.58,180.0,614
trunk_lean_angle_deg,30.083,0.0,65.39,760
athlete_depth_m,3.778,3.061,4.281,760
center_depth_m,7.587,6.957,8.503,759
barbell_horizontal_displacement_px,17.651,-7.0,43.0,475
barbell_vertical_displacement_px,267.04,0.0,323.0,475
barbell_vertical_velocity_px_s,2.693,-13.05,100.89,475
barbell_horizontal_velocity_px_s,5.22,-37.33,62.11,475
barbell_horizontal_displacement_m,0.085,-0.037,0.228,475
barbell_vertical_displacement_m,1.416,-0.0,1.71,475
barbell_vertical_velocity_m_s,0.033,-0.176,0.5,475
barbell_horizontal_velocity_m_s,0.018,-0.33,0.392,475
