phase,start_time_s,end_time_s,sample_count
Catch Phase,21.255,22.355,22
Deadlift Phase,17.44,19.007,31
Jump Phase,19.059,21.202,42
Overhead Squat Phase,22.407,37.759,295
Setup,0.014,17.388,334
