sport,exercise,camera_view,input_mode,phase,start_time_s,end_time_s,duration_s,sample_count,left_hip_angle_mean_deg,left_hip_angle_min_deg,left_hip_angle_max_deg,left_hip_angle_range_deg,right_hip_angle_mean_deg,right_hip_angle_min_deg,right_hip_angle_max_deg,right_hip_angle_range_deg,left_knee_angle_mean_deg,left_knee_angle_min_deg,left_knee_angle_max_deg,left_knee_angle_range_deg,right_knee_angle_mean_deg,right_knee_angle_min_deg,right_knee_angle_max_deg,right_knee_angle_range_deg,left_ankle_angle_mean_deg,left_ankle_angle_min_deg,left_ankle_angle_max_deg,left_ankle_angle_range_deg,right_ankle_angle_mean_deg,right_ankle_angle_min_deg,right_ankle_angle_max_deg,right_ankle_angle_range_deg,left_shoulder_angle_mean_deg,left_shoulder_angle_min_deg,left_shoulder_angle_max_deg,right_shoulder_angle_mean_deg,right_shoulder_angle_min_deg,right_shoulder_angle_max_deg,left_elbow_angle_mean_deg,left_elbow_angle_min_deg,left_elbow_angle_max_deg,right_elbow_angle_mean_deg,right_elbow_angle_min_deg,right_elbow_angle_max_deg,trunk_lean_angle_mean_deg,trunk_lean_angle_min_deg,trunk_lean_angle_max_deg,trunk_lean_angle_range_deg,barbell_vertical_displacement_mean_px,barbell_vertical_displacement_min_px,barbell_vertical_displacement_max_px,barbell_vertical_displacement_range_px,barbell_horizontal_displacement_mean_px,barbell_horizontal_displacement_min_px,barbell_horizontal_displacement_max_px,barbell_horizontal_displacement_range_px,barbell_vertical_velocity_mean_px_s,barbell_vertical_velocity_max_abs_px_s,barbell_horizontal_velocity_mean_px_s,barbell_horizontal_velocity_max_abs_px_s,barbell_vertical_displacement_mean_m,barbell_vertical_displacement_min_m,barbell_vertical_displacement_max_m,barbell_vertical_displacement_range_m,barbell_horizontal_displacement_mean_m,barbell_horizontal_displacement_min_m,barbell_horizontal_displacement_max_m,barbell_horizontal_displacement_range_m,barbell_vertical_velocity_mean_m_s,barbell_vertical_velocity_max_abs_m_s,barbell_horizontal_velocity_mean_m_s,barbell_horizontal_velocity_max_abs_m_s,athlete_depth_mean_m,athlete_depth_min_m,athlete_depth_max_m,center_depth_mean_m,center_depth_min_m,center_depth_max_m
Weightlifting,Snatch,Front View,RealSense Bag File,Deadlift Phase,17.44,19.007,1.567,31,96.3029,64.3,125.82,61.52,96.0055,71.09,116.77,45.68,102.6574,71.09,129.21,58.12,92.1265,60.7,118.57,57.87,138.3748,128.78,145.33,16.55,132.699,121.49,139.33,17.84,51.9239,48.6,54.94,49.3816,45.65,54.45,173.4835,168.61,177.8,177.4142,174.49,179.82,2.0855,0.0,4.22,4.22,,,,,,,,,,,,,,,,,,,,,,,,,3.3278,3.249,3.412,3.3271,3.266,3.393
Weightlifting,Snatch,Front View,RealSense Bag File,Jump Phase,19.059,21.202,2.143,42,148.9452,125.05,160.98,35.93,140.9069,113.75,161.58,47.83,155.3302,128.29,172.74,44.45,146.0402,117.7,170.37,52.67,142.5752,137.31,153.24,15.93,142.4264,134.7,155.27,20.57,50.0512,42.29,65.08,51.544,45.26,69.7,167.1795,150.64,178.82,174.5086,154.98,179.91,1.9898,0.0,3.58,3.58,,,,,,,,,,,,,,,,,,,,,,,,,3.3128,3.198,3.572,3.3792,3.249,3.657
Weightlifting,Snatch,Front View,RealSense Bag File,Catch Phase,21.255,22.355,1.1,22,154.4332,136.87,179.06,42.19,151.2136,137.55,169.06,31.51,160.5891,134.4,176.8,42.4,151.9468,132.02,170.41,38.39,143.4886,124.94,162.92,37.98,132.2932,117.84,153.95,36.11,80.6191,22.77,97.59,84.9418,14.68,104.93,152.955,121.61,177.06,159.67,90.97,179.1,1.3264,0.0,5.88,5.88,,,,,,,,,,,,,,,,,,,,,,,,,3.4992,3.375,3.636,3.6207,3.47,3.77
Weightlifting,Snatch,Front View,RealSense Bag File,Overhead Squat Phase,22.407,37.759,15.352,295,142.205,86.36,168.35,81.99,142.6701,83.92,170.31,86.39,142.1041,74.15,180.0,105.85,143.5826,74.0,179.89,105.89,140.3842,113.7,169.09,55.39,139.2996,113.49,177.75,64.26,136.1751,97.77,145.66,132.0055,94.61,139.7,167.4548,57.2,180.0,161.3981,123.85,172.75,0.5943,0.0,2.06,2.06,,,,,,,,,,,,,,,,,,,,,,,,,3.4282,3.249,3.593,3.3594,3.165,3.572
