time_s,athlete_depth_m,center_depth_m
13.843,3.215,8.483
13.895,3.215,8.483
13.948,3.215,7.732
14.001,3.232,7.732
14.05,3.249,8.483
14.099,3.266,8.483
14.148,3.32,8.254
14.198,3.32,8.254
14.248,3.356,8.367
14.301,3.375,8.367
14.353,3.356,8.852
14.406,3.338,8.852
14.458,3.356,8.852
14.511,3.375,8.852
14.563,3.393,8.726
14.616,3.412,8.726
14.668,3.375,5.817
14.721,3.375,5.817
14.773,3.412,5.656
14.825,3.412,5.656
14.878,3.451,5.048
14.93,3.451,5.048
14.983,3.451,5.007
15.035,3.451,5.007
15.088,3.49,4.242
15.14,3.49,4.242
15.192,3.51,
15.245,3.51,
15.297,3.531,
15.349,3.51,
15.401,3.375,4.698
15.454,3.375,4.698
15.506,3.338,
15.557,3.338,
15.609,3.393,
15.661,3.393,
15.713,3.338,
15.765,3.356,
15.818,3.356,
15.87,3.338,
15.922,3.32,
15.974,3.32,
16.027,3.356,
16.079,3.356,
16.132,3.266,
16.184,3.266,
16.236,3.266,
16.288,3.266,
16.341,3.232,
16.393,3.232,
16.445,3.32,
16.498,3.32,
16.55,3.302,
16.603,3.302,
16.655,3.356,
16.707,3.356,
16.76,3.284,
16.812,3.284,
16.864,3.32,
16.917,3.32,
16.969,3.302,
17.021,3.302,
17.073,3.266,
17.125,3.266,
17.178,3.302,
17.231,3.302,
17.283,3.266,3.356
17.335,3.284,3.356
17.388,3.302,3.393
17.44,3.32,3.393
17.489,3.32,3.393
17.541,3.32,3.393
17.593,3.338,3.302
17.646,3.356,3.302
17.698,3.412,3.338
17.751,3.412,3.338
17.804,3.356,3.356
17.856,3.412,3.356
17.908,3.302,3.32
17.961,3.338,3.32
18.013,3.302,3.302
18.065,3.356,3.302
18.118,3.32,3.32
18.17,3.338,3.32
18.222,3.249,3.338
18.275,3.302,3.338
18.327,3.302,3.356
18.379,3.32,3.356
18.431,3.284,3.356
18.484,3.302,3.356
18.536,3.338,3.356
18.588,3.356,3.356
18.641,3.32,3.32
18.693,3.356,3.32
18.745,3.266,3.284
18.798,3.284,3.284
18.85,3.32,3.266
18.902,3.32,3.266
18.954,3.32,3.266
19.007,3.32,3.266
19.059,3.338,3.249
19.111,3.338,3.249
19.163,3.32,3.284
19.215,3.32,3.284
19.268,3.266,3.302
19.32,3.266,3.302
19.372,3.198,3.302
19.425,3.215,3.302
19.477,3.232,3.356
19.529,3.232,3.356
19.581,3.284,3.393
19.633,3.284,3.393
19.686,3.266,3.356
19.738,3.266,3.356
19.79,3.266,3.338
19.843,3.249,3.338
19.895,3.249,3.375
19.947,3.232,3.375
20.0,3.302,3.375
20.052,3.302,3.375
20.103,3.302,3.375
20.156,3.302,3.375
20.208,3.284,3.412
20.26,3.284,3.412
20.312,3.266,3.302
20.365,3.266,3.302
20.418,3.32,3.302
20.47,3.32,3.302
20.522,3.32,3.32
20.575,3.32,3.32
20.627,3.32,3.356
20.679,3.32,3.356
20.731,3.393,3.393
20.783,3.375,3.393
20.836,3.338,3.412
20.888,3.338,3.412
20.941,3.375,3.49
20.993,3.393,3.49
21.045,3.375,3.657
21.097,3.356,3.657
21.15,3.572,3.614
21.202,3.572,3.614
21.255,3.49,3.593
21.308,3.47,3.593
21.36,3.451,3.68
21.412,3.451,3.68
21.464,3.531,3.51
21.517,3.51,3.51
21.569,3.451,3.551
21.622,3.47,3.551
21.674,3.375,3.51
21.727,3.393,3.51
21.779,3.636,3.77
21.831,3.551,3.77
21.884,3.551,3.747
21.936,3.531,3.747
21.989,3.636,3.747
22.041,3.614,3.747
22.093,3.51,3.636
22.145,3.531,3.636
22.198,3.531,3.614
22.25,3.531,3.614
22.302,3.375,3.47
22.355,3.393,3.47
22.407,3.393,3.375
22.459,3.412,3.375
22.511,3.451,3.49
22.563,3.451,3.49
22.616,3.431,3.393
22.668,3.431,3.393
22.721,3.51,3.356
22.773,3.531,3.356
22.825,3.412,3.32
22.877,3.412,3.32
22.929,3.49,3.32
22.981,3.47,3.32
23.034,3.451,3.32
23.086,3.451,3.32
23.138,3.356,3.338
23.19,3.356,3.338
23.243,3.375,3.338
23.295,3.375,3.338
23.347,3.393,3.302
23.399,3.393,3.302
23.451,3.356,3.32
23.504,3.375,3.32
23.556,3.356,3.284
23.608,3.375,3.284
23.66,3.338,3.338
23.712,3.338,3.338
23.765,3.393,3.393
23.818,3.393,3.393
23.87,3.393,3.412
23.922,3.412,3.412
23.975,3.412,3.412
24.027,3.412,3.412
24.079,3.412,3.393
24.131,3.412,3.393
24.183,3.32,3.431
24.236,3.338,3.431
24.288,3.375,3.412
24.34,3.393,3.412
24.392,3.338,3.356
24.445,3.356,3.356
24.497,3.338,3.393
24.549,3.338,3.393
24.602,3.249,3.412
24.654,3.249,3.412
24.702,3.302,3.412
24.755,3.302,3.412
24.808,3.302,3.51
24.86,3.302,3.51
24.912,3.302,3.47
24.959,3.302,3.47
25.011,3.32,3.451
25.064,3.32,3.451
25.116,3.338,3.49
25.168,3.338,3.49
25.22,3.32,3.572
25.272,3.32,3.572
25.325,3.302,3.47
25.377,3.302,3.47
25.429,3.284,3.551
25.481,3.284,3.551
25.534,3.356,3.47
25.586,3.356,3.47
25.638,3.284,3.49
25.691,3.284,3.49
25.743,3.32,3.47
25.795,3.32,3.47
25.847,3.338,3.356
25.899,3.338,3.356
25.951,3.356,3.393
26.003,3.356,3.393
26.055,3.375,3.412
26.106,3.356,3.412
26.158,3.338,3.412
26.21,3.32,3.412
26.262,3.302,3.375
26.314,3.32,3.375
26.366,3.356,3.393
26.419,3.356,3.393
26.471,3.412,3.375
26.523,3.393,3.375
26.575,3.375,3.32
26.627,3.375,3.32
26.679,3.393,3.284
26.731,3.375,3.284
26.783,3.412,3.266
26.836,3.375,3.266
26.888,3.32,3.232
26.94,3.302,3.232
26.992,3.302,3.284
27.044,3.302,3.284
27.096,3.375,3.302
27.148,3.375,3.302
27.2,3.338,3.266
27.253,3.338,3.266
27.305,3.32,3.232
27.357,3.32,3.232
27.409,3.249,3.232
27.461,3.249,3.232
27.513,3.284,3.181
27.565,3.32,3.181
27.617,3.338,3.181
27.67,3.338,3.181
27.722,3.356,3.198
27.774,3.338,3.198
27.827,3.451,3.181
27.879,3.431,3.181
27.931,3.412,3.165
27.983,3.412,3.165
28.036,3.266,3.165
28.088,3.266,3.165
28.14,3.338,3.215
28.192,3.338,3.215
28.245,3.32,3.232
28.297,3.302,3.232
28.349,3.338,3.249
28.402,3.338,3.249
28.454,3.412,3.266
28.506,3.393,3.266
28.558,3.356,3.266
28.611,3.356,3.266
28.663,3.32,3.302
28.715,3.32,3.302
28.767,3.249,3.249
28.82,3.249,3.249
28.872,3.284,3.284
28.925,3.284,3.284
28.977,3.412,3.302
29.029,3.412,3.302
29.082,3.375,3.284
29.134,3.375,3.284
29.186,3.393,3.249
29.239,3.375,3.249
29.291,3.451,3.198
29.343,3.451,3.198
29.396,3.431,3.215
29.448,3.431,3.215
29.501,3.47,3.198
29.554,3.451,3.198
29.606,3.593,3.356
29.658,3.572,3.356
29.711,3.49,3.284
29.763,3.49,3.284
29.815,3.49,3.266
29.867,3.451,3.266
29.919,3.49,3.32
29.971,3.49,3.32
30.022,3.51,3.356
30.074,3.49,3.356
30.126,3.49,3.356
30.179,3.47,3.356
30.231,3.47,3.338
30.283,3.47,3.338
30.335,3.51,3.412
30.388,3.49,3.412
30.44,3.531,3.393
30.492,3.531,3.393
30.544,3.572,3.412
30.596,3.572,3.412
30.648,3.47,3.284
30.7,3.47,3.284
30.752,3.531,3.47
30.804,3.531,3.47
30.857,3.51,3.412
30.909,3.531,3.412
30.961,3.531,3.393
31.014,3.531,3.393
31.066,3.431,3.302
31.118,3.431,3.302
31.17,3.47,3.302
31.222,3.49,3.302
31.275,3.47,3.32
31.327,3.47,3.32
31.38,3.531,3.338
31.432,3.531,3.338
31.485,3.551,3.375
31.537,3.551,3.375
31.589,3.49,3.356
31.641,3.49,3.356
31.694,3.51,3.338
31.746,3.51,3.338
31.799,3.49,3.32
31.851,3.49,3.32
31.903,3.51,3.451
31.956,3.51,3.451
32.008,3.431,3.393
32.06,3.431,3.393
32.112,3.47,3.375
32.165,3.47,3.375
32.217,3.451,3.356
32.27,3.451,3.356
32.322,3.49,3.412
32.374,3.49,3.412
32.427,3.47,3.375
32.479,3.47,3.375
32.532,3.51,3.431
32.584,3.531,3.431
32.637,3.51,3.431
32.689,3.51,3.431
32.741,3.51,3.338
32.794,3.51,3.338
32.846,3.51,3.32
32.897,3.51,3.32
32.949,3.51,3.393
33.001,3.51,3.393
33.054,3.49,3.375
33.106,3.49,3.375
33.158,3.431,3.356
33.21,3.431,3.356
33.262,3.47,3.356
33.315,3.47,3.356
33.367,3.49,3.375
33.42,3.49,3.375
33.472,3.531,3.431
33.524,3.531,3.431
33.577,3.47,3.393
33.629,3.47,3.393
33.682,3.451,3.356
33.734,3.451,3.356
33.786,3.49,3.375
33.839,3.49,3.375
33.89,3.451,3.338
33.942,3.451,3.338
33.994,3.49,3.338
34.046,3.49,3.338
34.099,3.51,3.375
34.151,3.51,3.375
34.204,3.451,3.356
34.256,3.451,3.356
34.309,3.47,3.338
34.361,3.47,3.338
34.413,3.451,3.375
34.465,3.451,3.375
34.517,3.431,3.284
34.569,3.431,3.284
34.621,3.393,3.32
34.674,3.393,3.32
34.726,3.47,3.375
34.778,3.47,3.375
34.831,3.412,3.356
34.883,3.412,3.356
34.936,3.393,3.249
34.989,3.393,3.249
35.041,3.47,3.302
35.093,3.47,3.302
35.146,3.47,3.356
35.198,3.47,3.356
35.25,3.47,3.375
35.303,3.47,3.375
35.355,3.451,3.393
35.407,3.451,3.393
35.46,3.49,3.375
35.512,3.49,3.375
35.565,3.51,3.431
35.617,3.51,3.431
35.669,3.531,3.32
35.721,3.531,3.32
35.774,3.51,3.393
35.826,3.51,3.393
35.879,3.572,3.356
35.931,3.572,3.356
35.983,3.49,3.412
36.036,3.49,3.412
36.088,3.49,3.412
36.141,3.49,3.412
36.189,3.51,3.451
36.242,3.531,3.451
36.294,3.531,3.47
36.346,3.531,3.47
36.399,3.451,3.375
36.451,3.451,3.375
36.504,3.51,3.431
36.556,3.51,3.431
36.609,3.531,3.451
36.661,3.531,3.451
36.713,3.51,3.393
36.765,3.51,3.393
36.818,3.47,3.375
36.87,3.47,3.375
36.923,3.572,3.47
36.975,3.551,3.47
37.027,3.49,3.431
37.08,3.49,3.431
37.132,3.49,3.51
37.184,3.49,3.51
37.236,3.47,3.47
37.289,3.47,3.47
37.341,3.451,3.47
37.394,3.451,3.47
37.446,3.47,3.47
37.498,3.47,3.47
37.549,3.49,3.51
37.601,3.49,3.51
37.654,3.551,3.531
37.706,3.551,3.531
37.759,3.451,3.412
