metric,mean,min,max,valid_samples
left_hip_angle_deg,106.32,29.8,179.29,169
right_hip_angle_deg,115.567,49.18,176.8,169
left_knee_angle_deg,132.975,7.56,179.69,169
right_knee_angle_deg,128.097,17.66,179.89,169
left_ankle_angle_deg,141.256,14.47,179.42,169
right_ankle_angle_deg,142.579,35.02,179.97,169
left_shoulder_angle_deg,54.858,6.37,80.79,21
right_shoulder_angle_deg,62.137,0.55,123.26,169
left_elbow_angle_deg,160.739,109.23,180.0,14
right_elbow_angle_deg,149.542,37.45,180.0,169
trunk_lean_angle_deg,24.164,0.0,108.75,169
