metric,mean,min,max,valid_samples
left_hip_angle_deg,170.01,98.3,180.0,194
right_hip_angle_deg,112.482,31.51,180.0,988
left_knee_angle_deg,174.172,101.2,180.0,194
right_knee_angle_deg,126.986,46.98,179.97,935
left_ankle_angle_deg,131.182,80.32,176.04,194
right_ankle_angle_deg,119.06,61.57,178.62,935
left_shoulder_angle_deg,25.77,11.61,33.82,140
right_shoulder_angle_deg,60.53,0.06,179.94,947
left_elbow_angle_deg,108.24,56.41,179.53,140
right_elbow_angle_deg,139.11,3.58,180.0,842
trunk_lean_angle_deg,28.375,0.0,93.81,988
athlete_depth_m,3.815,3.061,4.311,988
center_depth_m,7.603,6.957,8.503,987
