time_s,athlete_depth_m,center_depth_m
0.072,3.733,8.503
0.166,3.733,7.849
0.262,3.733,7.849
0.358,3.756,6.957
0.451,3.756,6.957
0.54,3.71,7.376
0.633,3.71,7.376
0.731,3.733,8.163
0.819,3.733,8.163
0.911,3.756,7.466
0.992,3.756,7.466
1.085,3.756,7.558
1.167,3.756,7.558
1.259,3.756,7.849
1.35,3.756,7.849
1.429,3.756,7.652
1.526,3.756,7.652
1.618,3.733,8.273
1.711,3.733,8.273
1.804,3.71,7.951
1.898,3.71,7.951
1.979,3.756,7.558
2.069,3.733,7.558
2.146,3.71,8.055
2.225,3.71,8.055
2.319,3.733,6.957
2.399,3.733,6.957
2.49,3.733,8.055
2.585,3.733,8.055
2.679,3.733,7.466
2.775,3.733,7.466
2.866,3.71,7.376
2.959,3.71,7.376
3.053,3.756,7.466
3.147,3.756,7.466
3.24,3.71,7.652
3.341,3.71,7.652
3.427,3.733,7.202
3.52,3.733,7.202
3.6,3.756,7.376
3.696,3.756,7.376
3.786,3.688,7.951
3.878,3.688,7.951
3.957,3.71,7.951
4.041,3.71,7.951
4.131,3.71,7.202
4.21,3.71,7.202
4.289,3.71,7.037
4.368,3.71,7.037
4.444,3.71,7.376
4.529,3.71,7.376
4.623,3.733,7.951
4.718,3.733,7.951
4.816,3.733,7.652
4.904,3.733,7.652
4.994,3.71,7.849
5.089,3.71,7.849
5.181,3.756,7.849
5.276,3.756,7.849
5.368,3.756,7.118
5.46,3.756,7.118
5.539,3.71,7.202
5.633,3.71,7.202
5.727,3.733,7.466
5.821,3.71,7.466
5.914,3.71,7.849
6.007,3.71,7.849
6.101,3.756,7.951
6.195,3.756,7.951
6.286,3.733,7.466
6.366,3.733,7.466
6.461,3.71,7.376
6.554,3.71,7.376
6.634,3.733,7.652
6.727,3.733,7.652
6.825,3.733,8.055
6.917,3.733,8.055
7.01,3.756,7.652
7.089,3.756,7.652
7.181,3.71,7.652
7.274,3.71,7.652
7.354,3.733,7.466
7.433,3.733,7.466
7.526,3.733,7.558
7.62,3.733,7.558
7.712,3.756,8.055
7.805,3.756,8.055
7.9,3.756,7.558
7.993,3.779,7.558
8.086,3.779,7.652
8.18,3.802,7.652
8.273,3.756,7.749
8.365,3.756,7.749
8.46,3.756,7.288
8.555,3.779,7.288
8.648,3.733,7.288
8.744,3.733,7.288
8.835,3.779,7.202
8.928,3.779,7.202
9.023,3.756,7.376
9.116,3.756,7.376
9.21,3.802,7.849
9.305,3.802,7.849
9.396,3.756,7.558
9.477,3.756,7.558
9.569,3.779,7.466
9.661,3.779,7.466
9.74,3.779,7.288
9.835,3.802,7.288
9.927,3.779,7.376
10.022,3.779,7.376
10.114,3.779,7.466
10.209,3.802,7.466
10.303,3.802,7.376
10.397,3.802,7.376
10.491,3.826,7.749
10.582,3.826,7.749
10.679,3.802,7.558
10.772,3.802,7.558
10.864,3.826,7.288
10.948,3.85,7.288
11.045,3.85,7.376
11.136,3.826,7.376
11.23,3.826,7.652
11.333,3.826,7.652
11.429,3.802,7.951
11.521,3.802,7.951
11.613,3.802,7.951
11.708,3.802,7.951
11.801,3.756,7.288
11.894,3.666,7.288
11.985,3.601,7.466
12.079,3.58,7.466
12.173,3.382,7.652
12.267,3.58,7.652
12.362,3.459,7.951
12.451,3.401,7.951
12.538,3.309,7.288
12.626,3.291,7.288
12.732,3.256,7.558
12.827,3.239,7.558
12.923,3.108,7.558
13.013,3.156,7.558
13.095,3.076,7.558
13.186,3.123,7.558
13.281,3.076,7.466
13.373,3.123,7.466
13.453,3.076,7.558
13.546,3.061,7.558
13.643,3.156,7.288
13.735,3.123,7.288
13.825,3.061,7.652
13.907,3.076,7.652
13.998,3.156,7.951
14.079,3.156,7.951
14.157,3.256,7.652
14.253,3.205,7.652
14.346,3.291,7.466
14.425,3.291,7.466
14.504,3.291,7.202
14.6,3.291,7.202
14.693,3.274,7.749
14.789,3.274,7.749
14.881,3.291,7.118
14.962,3.291,7.118
15.051,3.42,7.558
15.132,3.401,7.558
15.211,3.309,7.202
15.291,4.281,7.202
15.385,3.924,8.055
15.479,4.081,8.055
15.543,,7.466
15.641,3.899,7.466
15.728,3.924,7.558
15.807,3.95,7.558
15.901,3.924,7.558
15.981,3.924,7.558
16.057,3.875,7.849
