metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,106.013,36.03,180.0,364
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,116.637,52.08,173.98,364
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,112.481,79.14,135.26,364
right_shoulder_angle_deg,108.025,1.31,179.94,329
right_elbow_angle_deg,151.127,3.58,180.0,292
trunk_lean_angle_deg,30.054,0.0,60.91,364
athlete_depth_m,3.797,3.061,4.281,364
center_depth_m,7.588,6.957,8.503,365
barbell_horizontal_displacement_px,13.658,-7.0,43.0,272
barbell_vertical_displacement_px,237.217,0.0,323.0,272
barbell_vertical_velocity_px_s,12.193,-12.88,100.36,272
barbell_horizontal_velocity_px_s,1.538,-32.53,53.11,272
barbell_horizontal_displacement_m,0.067,-0.037,0.228,272
barbell_vertical_displacement_m,1.255,-0.0,1.71,272
barbell_vertical_velocity_m_s,0.067,-0.168,0.448,272
barbell_horizontal_velocity_m_s,0.007,-0.343,0.396,272
