phase,start_time_s,end_time_s,sample_count
Catch Phase,17.03,18.095,13
Deadlift Phase,8.365,11.136,31
Jump Phase,11.23,16.939,65
Overhead Squat Phase,18.175,32.564,164
Setup,0.072,8.273,92
