metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,93.171,35.72,180.0,536
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,104.559,46.98,176.88,536
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,113.102,79.14,135.26,536
right_shoulder_angle_deg,89.196,1.31,179.94,501
right_elbow_angle_deg,147.868,3.58,180.0,464
trunk_lean_angle_deg,33.419,0.0,60.91,536
athlete_depth_m,3.788,3.061,4.281,536
center_depth_m,7.594,6.957,8.503,537
barbell_horizontal_displacement_px,14.614,-7.0,43.0,303
barbell_vertical_displacement_px,244.356,0.0,323.0,303
barbell_vertical_velocity_px_s,9.861,-13.04,89.6,303
barbell_horizontal_velocity_px_s,2.394,-32.63,63.82,303
barbell_horizontal_displacement_m,0.071,-0.037,0.228,303
barbell_vertical_displacement_m,1.293,-0.0,1.71,303
barbell_vertical_velocity_m_s,0.058,-0.168,0.442,303
barbell_horizontal_velocity_m_s,0.009,-0.348,0.337,303
