time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.0,Sprinting,Sprinting,N/A,N/A,Detected,55.95,57.48,148.06,174.71,162.96,177.34,,110.34,,153.72,43.34,,,,,,,,,,,,,,,,,,
0.003,Sprinting,Sprinting,N/A,N/A,Detected,64.61,168.32,166.08,82.78,141.92,60.26,,102.5,,158.11,41.84,,,,,,,,,,,,,,,,,,
0.014,Sprinting,Sprinting,N/A,N/A,Detected,66.38,168.68,165.08,63.54,136.71,125.75,,108.43,,164.03,41.28,,,,,,,,,,,,,,,,,,
0.089,Sprinting,Sprinting,N/A,N/A,Detected,75.56,115.28,162.5,154.72,152.13,157.79,,123.26,,164.48,35.68,,,,,,,,,,,,,,,,,,
0.149,Sprinting,Sprinting,N/A,N/A,Detected,70.84,77.91,159.9,75.65,160.55,109.34,,98.08,,130.99,35.67,,,,,,,,,,,,,,,,,,
0.212,Sprinting,Sprinting,N/A,N/A,Detected,64.3,130.57,162.14,168.94,153.2,179.68,,48.39,,142.63,32.33,,,,,,,,,,,,,,,,,,
0.274,Sprinting,Sprinting,N/A,Not Detected,Not Detected,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
0.358,Sprinting,Sprinting,N/A,N/A,Detected,72.31,126.55,146.81,141.58,173.55,174.96,,8.41,,161.85,26.1,,,,,,,,,,,,,,,,,,
0.449,Sprinting,Sprinting,N/A,N/A,Detected,68.3,115.58,150.96,148.25,172.46,177.8,,46.34,,160.24,25.84,,,,,,,,,,,,,,,,,,
0.509,Sprinting,Sprinting,N/A,N/A,Detected,77.97,135.88,151.66,44.38,162.58,74.36,,80.15,,137.43,28.23,,,,,,,,,,,,,,,,,,
0.572,Sprinting,Sprinting,N/A,N/A,Detected,81.38,154.82,139.62,113.0,156.37,118.3,,87.82,,148.44,26.14,,,,,,,,,,,,,,,,,,
0.645,Sprinting,Sprinting,N/A,N/A,Detected,73.55,141.0,130.07,107.93,156.39,101.89,,67.4,,138.23,23.37,,,,,,,,,,,,,,,,,,
0.723,Sprinting,Sprinting,N/A,N/A,Detected,59.43,156.99,7.56,128.71,160.75,108.34,,71.73,,178.54,26.12,,,,,,,,,,,,,,,,,,
0.799,Sprinting,Sprinting,N/A,Not Detected,Not Detected,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
0.876,Sprinting,Sprinting,N/A,Not Detected,Not Detected,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,
0.954,Sprinting,Sprinting,N/A,N/A,Detected,91.9,89.09,97.39,123.25,106.61,112.45,,50.09,,117.74,16.52,,,,,,,,,,,,,,,,,,
1.014,Sprinting,Sprinting,N/A,N/A,Detected,96.69,84.76,66.94,95.52,98.34,113.47,,0.55,,152.88,18.0,,,,,,,,,,,,,,,,,,
1.088,Sprinting,Sprinting,N/A,N/A,Detected,128.81,101.14,112.45,50.83,94.25,121.26,,16.07,,145.88,14.04,,,,,,,,,,,,,,,,,,
1.164,Sprinting,Sprinting,N/A,N/A,Detected,122.63,98.12,100.16,23.24,96.58,110.83,,42.06,,166.18,17.5,,,,,,,,,,,,,,,,,,
1.247,Sprinting,Sprinting,N/A,N/A,Detected,128.84,107.32,86.05,40.96,93.18,111.77,,46.36,,170.68,17.65,,,,,,,,,,,,,,,,,,
1.315,Sprinting,Sprinting,N/A,N/A,Detected,131.82,111.74,102.43,44.75,96.26,111.14,,43.13,,168.05,19.69,,,,,,,,,,,,,,,,,,
