metric,mean,min,max,valid_samples
left_hip_angle_deg,111.024,29.8,175.95,79
right_hip_angle_deg,113.326,49.18,176.8,79
left_knee_angle_deg,134.309,7.56,176.41,79
right_knee_angle_deg,124.768,23.24,179.79,79
left_ankle_angle_deg,139.863,14.47,178.26,79
right_ankle_angle_deg,138.495,35.02,179.68,79
left_shoulder_angle_deg,53.033,6.37,80.79,15
right_shoulder_angle_deg,55.844,0.55,123.26,79
left_elbow_angle_deg,157.72,109.23,176.05,9
right_elbow_angle_deg,155.481,71.57,180.0,79
trunk_lean_angle_deg,20.689,0.0,108.75,79
