metric,mean,min,max,valid_samples
left_hip_angle_deg,106.165,49.9,178.91,150
right_hip_angle_deg,114.133,64.1,177.63,150
left_knee_angle_deg,133.935,10.01,179.73,150
right_knee_angle_deg,127.043,12.53,178.77,150
left_ankle_angle_deg,141.663,14.35,179.79,150
right_ankle_angle_deg,147.3,10.44,179.81,150
left_shoulder_angle_deg,60.98,34.7,86.79,23
right_shoulder_angle_deg,58.419,0.56,114.1,150
left_elbow_angle_deg,152.176,129.13,179.1,14
right_elbow_angle_deg,152.541,17.46,179.82,147
trunk_lean_angle_deg,22.274,1.93,40.77,150
