metric,mean,min,max,valid_samples
left_hip_angle_deg,171.616,98.3,180.0,85
right_hip_angle_deg,91.552,29.1,180.0,1097
left_knee_angle_deg,172.525,101.2,180.0,85
right_knee_angle_deg,118.494,46.98,179.97,1033
left_ankle_angle_deg,118.886,99.95,130.31,85
right_ankle_angle_deg,114.508,61.57,178.62,1033
left_shoulder_angle_deg,15.789,11.61,21.56,31
right_shoulder_angle_deg,63.744,0.06,179.94,1056
left_elbow_angle_deg,157.993,151.7,167.9,31
right_elbow_angle_deg,144.873,3.58,180.0,951
trunk_lean_angle_deg,44.366,0.0,101.62,1097
athlete_depth_m,3.802,3.061,4.281,1097
center_depth_m,7.607,6.957,8.503,1096
barbell_horizontal_displacement_px,32.314,5.0,65.0,1097
barbell_vertical_displacement_px,90.892,-4.0,339.0,1097
barbell_vertical_velocity_px_s,0.052,-115.37,78.2,1097
barbell_horizontal_velocity_px_s,0.461,-37.66,46.19,1097
barbell_horizontal_displacement_m,0.161,0.023,0.334,1097
barbell_vertical_displacement_m,0.471,-0.026,1.782,1097
barbell_vertical_velocity_m_s,0.0,-0.364,0.391,1097
barbell_horizontal_velocity_m_s,0.002,-0.323,0.329,1097
