phase,start_time_s,end_time_s,sample_count
Catch Phase,65.843,66.933,13
Deadlift Phase,56.623,59.489,31
Jump Phase,59.585,65.754,69
Overhead Squat Phase,67.025,118.545,543
Setup,0.003,56.532,616
