metric,mean,min,max,valid_samples
left_hip_angle_deg,170.338,98.3,180.0,202
right_hip_angle_deg,96.013,29.1,180.0,1270
left_knee_angle_deg,174.043,101.2,180.0,202
right_knee_angle_deg,123.555,46.98,179.97,1206
left_ankle_angle_deg,131.807,80.32,176.04,202
right_ankle_angle_deg,117.848,61.57,178.62,1206
left_shoulder_angle_deg,25.752,11.61,33.82,148
right_shoulder_angle_deg,60.492,0.06,179.94,1229
left_elbow_angle_deg,105.474,55.71,179.53,148
right_elbow_angle_deg,136.939,3.58,180.0,1124
trunk_lean_angle_deg,42.912,0.0,101.78,1270
athlete_depth_m,3.812,3.061,4.311,1270
center_depth_m,7.609,6.957,8.503,1269
barbell_horizontal_displacement_px,19.115,-7.0,43.0,654
barbell_vertical_displacement_px,277.977,0.0,323.0,654
barbell_vertical_velocity_px_s,-1.395,-12.91,89.0,654
barbell_horizontal_velocity_px_s,6.812,-38.55,53.41,654
barbell_horizontal_displacement_m,0.091,-0.037,0.228,654
barbell_vertical_displacement_m,1.476,-0.0,1.71,654
barbell_vertical_velocity_m_s,0.018,-0.165,0.445,654
barbell_horizontal_velocity_m_s,0.023,-0.35,0.333,654
