time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.02,Weightlifting,Snatch,Side View,Setup,Detected,,32.97,,108.49,,119.64,,68.52,,138.07,101.07,3.802,7.849,True,207.0,432.0,0.0,-1.0,0.0,0.0,0.0,-0.6205,0.9863,3.205,-0.0095,-0.0202,-0.1275,-0.0802,0.0
0.114,Weightlifting,Snatch,Side View,Setup,Detected,,31.79,,102.2,,119.67,,68.52,,139.99,101.07,3.802,7.849,True,207.0,432.0,0.0,-1.0,0.0,0.0,0.0,-0.6205,0.9863,3.205,-0.0095,-0.0202,-0.0,0.0,0.0
0.208,Weightlifting,Snatch,Side View,Setup,Detected,,32.7,,100.56,,120.24,,68.44,,140.44,100.67,3.756,7.652,True,207.0,432.0,0.0,-1.0,0.0,0.0,0.0,-0.6141,0.9761,3.172,-0.0031,-0.01,0.1058,0.0665,0.0
0.304,Weightlifting,Snatch,Side View,Setup,Detected,,33.29,,99.19,,121.6,,67.71,,139.99,100.99,3.756,7.652,True,207.0,432.0,0.0,-1.0,0.0,0.0,0.0,-0.6141,0.9761,3.172,-0.0031,-0.01,-0.0,0.0,0.0
0.397,Weightlifting,Snatch,Side View,Setup,Detected,,34.05,,102.06,,122.81,,66.42,,142.74,100.92,3.756,7.376,True,208.0,432.0,1.0,-1.0,0.0,10.8,0.0,-0.612,0.9811,3.188,-0.001,-0.015,-0.0532,0.0223,0.0
0.491,Weightlifting,Snatch,Side View,Setup,Detected,,36.49,,107.25,,114.16,,62.58,,134.72,100.59,3.756,7.376,True,208.0,432.0,1.0,-1.0,0.0,0.0,0.0,-0.612,0.9811,3.188,-0.001,-0.015,-0.0,0.0,0.0
0.588,Weightlifting,Snatch,Side View,Setup,Detected,,37.12,,109.88,,112.93,,61.49,,133.34,100.59,3.756,7.951,True,208.0,432.0,1.0,-1.0,0.0,0.0,0.0,-0.6089,0.9761,3.172,0.002,-0.01,0.0514,0.0321,0.0
0.679,Weightlifting,Snatch,Side View,Setup,Detected,,34.76,,106.95,,114.3,,67.02,,133.93,100.45,3.756,7.951,True,208.0,432.0,1.0,-1.0,0.0,0.0,0.0,-0.6089,0.9761,3.172,0.002,-0.01,-0.0,0.0,0.0
0.779,Weightlifting,Snatch,Side View,Setup,Detected,,34.75,,105.97,,115.25,,70.02,,129.87,100.38,3.71,7.951,True,208.0,432.0,1.0,-1.0,0.0,0.0,0.0,-0.6089,0.9761,3.172,0.002,-0.01,-0.0,0.0,0.0
0.869,Weightlifting,Snatch,Side View,Setup,Detected,,35.66,,109.75,,118.54,,59.4,,136.62,99.66,3.71,7.951,True,208.0,433.0,1.0,-2.0,-11.15,0.0,0.0,-0.6089,0.9813,3.172,0.002,-0.0152,-0.0573,0.0,0.0
