metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,70.869,29.1,180.0,948
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,106.019,46.98,177.45,884
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,113.142,79.14,135.26,884
right_shoulder_angle_deg,75.077,1.31,179.94,912
right_elbow_angle_deg,143.211,3.58,180.0,863
trunk_lean_angle_deg,56.176,0.0,101.78,948
athlete_depth_m,3.791,3.061,4.281,948
center_depth_m,7.607,6.957,8.503,949
barbell_horizontal_displacement_px,15.133,-7.0,43.0,323
barbell_vertical_displacement_px,248.235,0.0,323.0,323
barbell_vertical_velocity_px_s,7.57,-12.8,87.78,323
barbell_horizontal_velocity_px_s,3.251,-30.67,54.03,323
barbell_horizontal_displacement_m,0.074,-0.037,0.228,323
barbell_vertical_displacement_m,1.314,-0.0,1.71,323
barbell_vertical_velocity_m_s,0.05,-0.146,0.431,323
barbell_horizontal_velocity_m_s,0.012,-0.327,0.334,323
