time_s,phase,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.024,Setup,True,201.0,423.0,,,,,,-0.6551,0.9446,3.222,,,,,
0.102,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.181,Setup,True,201.0,423.0,,,,,,-0.6516,0.9396,3.205,,,,,
0.261,Setup,True,202.0,423.0,,,,,,-0.6464,0.9396,3.205,,,,,
0.358,Setup,True,201.0,422.0,,,,,,-0.662,0.9493,3.256,,,,,
0.448,Setup,True,201.0,423.0,,,,,,-0.662,0.9546,3.256,,,,,
0.544,Setup,True,202.0,423.0,,,,,,-0.6533,0.9496,3.239,,,,,
0.637,Setup,True,201.0,423.0,,,,,,-0.6585,0.9496,3.239,,,,,
0.731,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.827,Setup,True,202.0,423.0,,,,,,-0.6498,0.9446,3.222,,,,,
0.918,Setup,True,203.0,424.0,,,,,,-0.6446,0.9498,3.222,,,,,
1.007,Setup,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
1.091,Setup,True,201.0,423.0,,,,,,-0.662,0.9546,3.256,,,,,
1.182,Setup,True,202.0,423.0,,,,,,-0.6567,0.9546,3.256,,,,,
1.268,Setup,True,202.0,423.0,,,,,,-0.6533,0.9496,3.239,,,,,
1.356,Setup,True,202.0,424.0,,,,,,-0.6533,0.9548,3.239,,,,,
1.434,Setup,True,202.0,424.0,,,,,,-0.643,0.9398,3.188,,,,,
1.528,Setup,True,202.0,424.0,,,,,,-0.643,0.9398,3.188,,,,,
1.622,Setup,True,202.0,424.0,,,,,,-0.6533,0.9548,3.239,,,,,
