phase,start_time_s,end_time_s,sample_count
Catch Phase,66.3,67.43,13
Deadlift Phase,57.285,60.088,31
Jump Phase,60.18,66.199,65
Overhead Squat Phase,67.525,87.261,215
Setup,0.024,57.188,625
