time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.024,Weightlifting,Snatch,Side View,Setup,Detected,,34.05,,102.06,,122.81,,66.42,,142.74,100.92,3.756,7.376,True,201.0,423.0,,,,,,-0.6551,0.9446,3.222,,,,,
0.102,Weightlifting,Snatch,Side View,Setup,Detected,,36.49,,107.25,,114.16,,62.58,,134.72,100.59,3.756,7.376,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.181,Weightlifting,Snatch,Side View,Setup,Detected,,37.12,,109.88,,112.93,,61.49,,133.34,100.59,3.756,7.951,True,201.0,423.0,,,,,,-0.6516,0.9396,3.205,,,,,
0.261,Weightlifting,Snatch,Side View,Setup,Detected,,34.76,,106.95,,114.3,,67.02,,133.93,100.45,3.756,7.951,True,202.0,423.0,,,,,,-0.6464,0.9396,3.205,,,,,
0.358,Weightlifting,Snatch,Side View,Setup,Detected,,34.75,,105.97,,115.25,,70.02,,129.87,100.38,3.71,7.951,True,201.0,422.0,,,,,,-0.662,0.9493,3.256,,,,,
0.448,Weightlifting,Snatch,Side View,Setup,Detected,,35.66,,109.75,,118.54,,59.4,,136.62,99.66,3.71,7.951,True,201.0,423.0,,,,,,-0.662,0.9546,3.256,,,,,
0.544,Weightlifting,Snatch,Side View,Setup,Detected,,36.43,,110.47,,119.25,,55.63,,135.68,99.26,3.756,7.849,True,202.0,423.0,,,,,,-0.6533,0.9496,3.239,,,,,
0.637,Weightlifting,Snatch,Side View,Setup,Detected,,36.84,,115.42,,119.67,,56.62,,133.87,99.73,3.733,7.849,True,201.0,423.0,,,,,,-0.6585,0.9496,3.239,,,,,
0.731,Weightlifting,Snatch,Side View,Setup,Detected,,37.34,,116.62,,115.35,,59.64,,138.74,99.8,3.71,7.466,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
0.827,Weightlifting,Snatch,Side View,Setup,Detected,,37.96,,114.72,,119.96,,60.7,,139.79,99.87,3.71,7.466,True,202.0,423.0,,,,,,-0.6498,0.9446,3.222,,,,,
0.918,Weightlifting,Snatch,Side View,Setup,Detected,,38.56,,111.81,,119.94,,60.7,,139.79,99.87,3.802,7.652,True,203.0,424.0,,,,,,-0.6446,0.9498,3.222,,,,,
1.007,Weightlifting,Snatch,Side View,Setup,Detected,,37.01,,106.76,,119.67,,68.14,,128.15,100.67,3.802,7.652,True,202.0,424.0,,,,,,-0.6498,0.9498,3.222,,,,,
1.091,Weightlifting,Snatch,Side View,Setup,Detected,,36.32,,108.69,,122.29,,68.82,,131.16,100.67,3.733,7.288,True,201.0,423.0,,,,,,-0.662,0.9546,3.256,,,,,
1.182,Weightlifting,Snatch,Side View,Setup,Detected,,36.47,,112.15,,122.13,,65.43,,131.03,100.67,3.733,7.288,True,202.0,423.0,,,,,,-0.6567,0.9546,3.256,,,,,
