time_s,athlete_depth_m,center_depth_m
0.024,3.756,7.376
0.102,3.756,7.376
0.181,3.756,7.951
0.261,3.756,7.951
0.358,3.71,7.951
0.448,3.71,7.951
0.544,3.756,7.849
0.637,3.733,7.849
0.731,3.71,7.466
0.827,3.71,7.466
0.918,3.802,7.652
1.007,3.802,7.652
1.091,3.733,7.288
1.182,3.733,7.288
1.268,3.71,7.288
1.356,3.71,7.288
1.434,3.71,7.202
1.528,3.71,7.202
1.622,3.733,7.202
1.7,3.733,7.202
1.782,3.756,7.749
1.873,3.733,7.749
1.952,3.756,7.288
2.038,3.756,7.288
2.124,3.756,7.466
2.209,3.756,7.466
2.296,3.733,7.558
2.373,3.733,7.558
2.453,3.756,7.749
2.546,3.756,7.749
2.625,3.779,7.652
2.704,3.779,7.652
2.799,3.733,7.849
2.899,3.733,7.849
2.991,3.756,8.055
3.081,3.756,8.055
3.18,3.756,7.749
3.268,3.756,7.749
3.349,3.779,7.466
3.443,3.802,7.466
3.54,3.779,7.951
3.637,3.779,7.951
3.739,3.756,7.558
3.829,3.756,7.558
3.928,3.802,7.558
4.032,3.802,7.558
4.126,3.756,7.558
4.216,3.756,7.558
4.301,3.71,8.055
4.396,3.71,8.055
4.487,3.802,7.951
4.578,3.802,7.951
4.667,3.756,7.376
4.752,3.756,7.376
4.83,3.802,7.749
4.91,3.802,7.749
5.005,3.802,7.749
5.083,3.802,7.749
5.16,3.826,7.849
5.24,3.826,7.849
5.321,3.802,7.749
5.416,3.802,7.749
5.507,3.802,7.288
5.588,3.802,7.288
5.682,3.826,7.558
5.774,3.85,7.558
5.854,3.802,7.466
5.948,3.802,7.466
6.026,3.802,7.749
6.119,3.802,7.749
6.214,3.826,7.749
6.311,3.826,7.749
6.418,3.802,8.163
6.514,3.802,8.163
6.607,3.756,7.652
6.699,3.756,7.652
6.78,3.802,8.273
6.873,3.802,8.273
6.971,3.779,7.749
7.062,3.779,7.749
7.154,3.756,7.652
7.234,3.756,7.652
7.312,3.802,7.652
7.404,3.802,7.652
7.499,3.756,7.118
7.592,3.756,7.118
7.687,3.779,7.558
7.778,3.779,7.558
7.856,3.756,7.652
7.937,3.756,7.652
8.017,3.779,7.466
8.112,3.779,7.466
8.203,3.802,7.202
8.283,3.802,7.202
8.377,3.779,7.037
8.472,3.779,7.037
8.563,3.802,7.466
8.643,3.802,7.466
8.722,3.826,7.376
8.797,3.826,7.376
8.876,3.756,7.466
8.958,3.756,7.466
9.051,3.779,7.558
9.147,3.779,7.558
9.241,3.826,7.118
9.339,3.85,7.118
9.436,3.85,7.037
9.525,3.85,7.037
9.621,3.826,7.849
9.72,3.826,7.849
9.804,3.802,7.466
9.884,3.802,7.466
9.961,3.826,7.652
10.043,3.826,7.652
10.132,3.779,7.849
10.213,3.756,7.849
10.293,3.85,7.466
10.385,3.85,7.466
10.467,3.826,7.951
10.56,3.826,7.951
10.654,3.826,7.466
10.746,3.826,7.466
10.825,3.826,7.652
10.903,3.826,7.652
10.981,3.826,8.163
11.076,3.826,8.163
11.169,3.875,7.466
11.262,3.875,7.466
11.355,3.802,7.118
11.467,3.802,7.118
11.569,3.756,7.652
11.655,3.756,7.652
11.752,3.826,7.558
11.847,3.826,7.558
11.939,3.85,7.558
12.031,3.85,7.558
12.131,3.875,7.951
12.229,3.875,7.951
12.334,3.826,7.951
12.421,3.826,7.951
12.511,3.85,7.466
12.596,3.85,7.466
12.69,3.826,7.652
12.782,3.826,7.652
12.876,3.826,7.749
12.971,3.826,7.749
13.06,3.826,7.558
13.155,3.826,7.558
13.247,3.802,7.849
13.328,3.826,7.849
13.426,3.85,8.163
13.518,3.85,8.163
13.599,3.826,7.202
13.689,3.826,7.202
13.788,3.85,7.749
13.875,3.85,7.749
13.955,3.85,7.951
14.045,3.85,7.951
14.125,3.826,7.652
14.203,3.826,7.652
14.305,3.826,7.202
14.392,3.826,7.202
14.482,3.85,8.055
14.563,3.85,8.055
14.656,3.826,7.951
14.745,3.826,7.951
14.832,3.802,8.055
14.926,3.802,8.055
15.025,3.826,7.749
15.11,3.826,7.749
