Frame,Timestamp,Record Type,sport,exercise,camera_view,input_mode,source_file,Pose,Left Hip Angle,Right Hip Angle,Left Knee Angle,Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Shoulder Angle,Right Shoulder Angle,Left Elbow Angle,Right Elbow Angle,Trunk Lean Angle,Athlete Depth (m),Center Depth (m),Barbell Detected,Barbell X (px),Barbell Y (px),Barbell Raw Horizontal Displacement (px),Barbell Raw Vertical Displacement (px),Barbell Raw Vertical Velocity (px/s),Barbell Raw Horizontal Velocity (px/s),Barbell Raw Max Height (px),Barbell X (m),Barbell Y (m),Barbell Z Depth (m),Barbell Raw Horizontal Displacement (m),Barbell Raw Vertical Displacement (m),Barbell Raw Vertical Velocity (m/s),Barbell Raw Horizontal Velocity (m/s),Barbell Raw Max Height (m),Barbell Horizontal Displacement (px),Barbell Vertical Displacement (px),Barbell Vertical Velocity (px/s),Barbell Horizontal Velocity (px/s),Barbell Max Height (px),Barbell Horizontal Displacement (m),Barbell Vertical Displacement (m),Barbell Vertical Velocity (m/s),Barbell Horizontal Velocity (m/s),Barbell Max Height (m),Barbell Above Head,Athlete Head Y (px),Barbell Head Clearance (px),Phase,Exercise,Camera View,Time (s)
-1,2026-07-03T13:43:37.677571,Metadata,Weightlifting,Snatch,Side View,RealSense Bag File,E:/Pose estimation tool/Recording_bagFiles/SideView_Snatch/20240405_132144.bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2026-07-03T13:43:37.685,,,,,,,Detected,,32.31,,107.83,,119.64,,66.23,,133.87,101.07,3.733,7.288,True,202.0,424.0,0.0,-1.0,-12.44,0.0,0.0,-0.6498,0.9498,3.222,-0.0034,-0.0102,-0.0649,0.0,0.0,,,,,,,,,,,False,335.27,-88.73,Setup,Snatch,Side View,0.008
1,2026-07-03T13:43:37.780,,,,,,,Detected,,32.97,,108.49,,119.64,,68.52,,138.07,101.07,3.802,7.849,True,201.0,423.0,-1.0,0.0,10.56,-10.56,0.0,-0.6585,0.9496,3.239,-0.0121,-0.01,0.0024,-0.0916,0.0,,,,,,,,,,,False,335.22,-87.78,Setup,Snatch,Side View,0.1027
2,2026-07-03T13:43:37.874,,,,,,,Detected,,31.79,,102.2,,119.67,,68.52,,139.99,101.07,3.802,7.849,True,201.0,423.0,-1.0,0.0,0.0,0.0,0.0,-0.6585,0.9496,3.239,-0.0121,-0.01,-0.0,0.0,0.0,,,,,,,,,,,False,334.85,-88.15,Setup,Snatch,Side View,0.1964
3,2026-07-03T13:43:37.972,,,,,,,Detected,,32.7,,100.56,,120.24,,68.44,,140.44,100.67,3.756,7.652,True,202.0,424.0,0.0,-1.0,-10.58,10.58,0.0,-0.6464,0.9448,3.205,0.0,-0.0052,0.0506,0.128,0.0,,,,,,,,,,,False,334.38,-89.62,Setup,Snatch,Side View,0.2952
4,2026-07-03T13:43:38.065,,,,,,,Detected,,33.29,,99.19,,121.6,,67.71,,139.99,100.99,3.756,7.652,True,201.0,423.0,-1.0,0.0,10.47,-10.47,0.0,-0.6551,0.9446,3.222,-0.0086,-0.005,0.0021,-0.0905,0.0,,,,,,,,,,,False,333.54,-89.46,Setup,Snatch,Side View,0.3878
5,2026-07-03T13:43:38.156,,,,,,,Detected,,34.05,,102.06,,122.81,,66.42,,142.74,100.92,3.756,7.376,True,201.0,423.0,-1.0,0.0,0.0,0.0,0.0,-0.6551,0.9446,3.222,-0.0086,-0.005,-0.0,0.0,0.0,,,,,,,,,,,False,333.57,-89.43,Setup,Snatch,Side View,0.4785
6,2026-07-03T13:43:38.239,,,,,,,Detected,,36.49,,107.25,,114.16,,62.58,,134.72,100.59,3.756,7.376,True,202.0,424.0,0.0,-1.0,-12.34,12.34,0.0,-0.6498,0.9498,3.222,-0.0034,-0.0102,-0.0643,0.0644,0.0,,,,,,,,,,,False,334.73,-89.27,Setup,Snatch,Side View,0.5624
7,2026-07-03T13:43:38.331,,,,,,,Detected,,37.12,,109.88,,112.93,,61.49,,133.34,100.59,3.756,7.951,True,201.0,423.0,-1.0,0.0,10.69,-10.69,0.0,-0.6516,0.9396,3.205,-0.0052,-0.0,0.1091,-0.0188,0.0,,,,,,,,,,,False,335.31,-87.69,Setup,Snatch,Side View,0.6535
8,2026-07-03T13:43:38.423,,,,,,,Detected,,34.76,,106.95,,114.3,,67.02,,133.93,100.45,3.756,7.951,True,202.0,423.0,0.0,0.0,0.0,10.78,0.0,-0.6464,0.9396,3.205,0.0,-0.0,-0.0,0.056,0.0,,,,,,,,,,,False,335.52,-87.48,Setup,Snatch,Side View,0.7461
9,2026-07-03T13:43:38.515,,,,,,,Detected,,34.75,,105.97,,115.25,,70.02,,129.87,100.38,3.71,7.951,True,201.0,422.0,-1.0,1.0,10.81,-10.81,1.0,-0.662,0.9493,3.256,-0.0156,-0.0097,-0.1047,-0.1682,0.0,,,,,,,,,,,False,335.59,-86.41,Setup,Snatch,Side View,0.8382
10,2026-07-03T13:43:38.612,,,,,,,Detected,,35.66,,109.75,,118.54,,59.4,,136.62,99.66,3.71,7.951,True,201.0,423.0,-1.0,0.0,-10.46,0.0,1.0,-0.662,0.9546,3.256,-0.0156,-0.015,-0.0551,0.0,0.0,,,,,,,,,,,False,335.58,-87.42,Setup,Snatch,Side View,0.9349
11,2026-07-03T13:43:38.702,,,,,,,Detected,,36.43,,110.47,,119.25,,55.63,,135.68,99.26,3.756,7.849,True,202.0,423.0,0.0,0.0,0.0,11.14,1.0,-0.6533,0.9496,3.239,-0.0069,-0.01,0.0555,0.0969,0.0,,,,,,,,,,,False,335.56,-87.44,Setup,Snatch,Side View,1.0249
12,2026-07-03T13:43:38.780,,,,,,,Detected,,36.84,,115.42,,119.67,,56.62,,133.87,99.73,3.733,7.849,True,201.0,423.0,-1.0,0.0,0.0,-12.58,1.0,-0.6585,0.9496,3.239,-0.0121,-0.01,-0.0,-0.066,0.0,,,,,,,,,,,False,335.43,-87.57,Setup,Snatch,Side View,1.1031
13,2026-07-03T13:43:38.862,,,,,,,Detected,,37.34,,116.62,,115.35,,59.64,,138.74,99.8,3.71,7.466,True,202.0,424.0,0.0,-1.0,-12.46,12.46,1.0,-0.6498,0.9498,3.222,-0.0034,-0.0102,-0.0029,0.108,0.0,,,,,,,,,,,False,335.34,-88.66,Setup,Snatch,Side View,1.1846
14,2026-07-03T13:43:38.954,,,,,,,Detected,,37.96,,114.72,,119.96,,60.7,,139.79,99.87,3.71,7.466,True,202.0,423.0,0.0,0.0,10.75,0.0,1.0,-0.6498,0.9446,3.222,-0.0034,-0.005,0.0561,0.0,0.0,,,,,,,,,,,False,334.88,-88.12,Setup,Snatch,Side View,1.2773
15,2026-07-03T13:43:39.033,,,,,,,Detected,,38.56,,111.81,,119.94,,60.7,,139.79,99.87,3.802,7.652,True,203.0,424.0,1.0,-1.0,-12.66,12.66,1.0,-0.6446,0.9498,3.222,0.0018,-0.0102,-0.066,0.066,0.0,,,,,,,,,,,False,334.5,-89.5,Setup,Snatch,Side View,1.3562
16,2026-07-03T13:43:39.128,,,,,,,Detected,,37.01,,106.76,,119.67,,68.14,,128.15,100.67,3.802,7.652,True,202.0,424.0,0.0,-1.0,0.0,-10.67,1.0,-0.6498,0.9498,3.222,-0.0034,-0.0102,-0.0,-0.0557,0.0,,,,,,,,,,,False,334.53,-89.47,Setup,Snatch,Side View,1.4505
17,2026-07-03T13:43:39.206,,,,,,,Detected,,36.32,,108.69,,122.29,,68.82,,131.16,100.67,3.733,7.288,True,201.0,423.0,-1.0,0.0,12.75,-12.75,1.0,-0.662,0.9546,3.256,-0.0156,-0.015,-0.0606,-0.1546,0.0,,,,,,,,,,,False,334.52,-88.48,Setup,Snatch,Side View,1.5285
18,2026-07-03T13:43:39.282,,,,,,,Detected,,36.47,,112.15,,122.13,,65.43,,131.03,100.67,3.733,7.288,True,202.0,423.0,0.0,0.0,0.0,13.01,1.0,-0.6567,0.9546,3.256,-0.0103,-0.015,-0.0,0.0686,0.0,,,,,,,,,,,False,334.48,-88.52,Setup,Snatch,Side View,1.6054
19,2026-07-03T13:43:39.362,,,,,,,Detected,,36.38,,108.24,,119.72,,61.63,,125.07,100.34,3.71,7.288,True,202.0,423.0,0.0,0.0,0.0,0.0,1.0,-0.6533,0.9496,3.239,-0.0069,-0.01,0.0626,0.0431,0.0,,,,,,,,,,,False,334.45,-88.55,Setup,Snatch,Side View,1.6844
20,2026-07-03T13:43:39.441,,,,,,,Detected,,35.75,,106.67,,118.77,,60.58,,126.67,100.34,3.71,7.288,True,202.0,424.0,0.0,-1.0,-12.66,0.0,1.0,-0.6533,0.9548,3.239,-0.0069,-0.0152,-0.0663,0.0,0.0,,,,,,,,,,,False,334.48,-89.52,Setup,Snatch,Side View,1.764
21,2026-07-03T13:43:39.520,,,,,,,Detected,,34.33,,106.56,,117.87,,59.48,,125.19,100.75,3.71,7.202,True,202.0,424.0,0.0,-1.0,0.0,0.0,1.0,-0.643,0.9398,3.188,0.0034,-0.0002,0.1919,0.1313,0.0,,,,,,,,,,,False,334.49,-89.51,Setup,Snatch,Side View,1.8432
22,2026-07-03T13:43:39.614,,,,,,,Detected,,35.86,,106.34,,119.79,,61.27,,134.19,100.59,3.71,7.202,True,202.0,424.0,0.0,-1.0,0.0,0.0,1.0,-0.643,0.9398,3.188,0.0034,-0.0002,-0.0,0.0,0.0,,,,,,,,,,,False,334.04,-89.96,Setup,Snatch,Side View,1.9369
23,2026-07-03T13:43:39.705,,,,,,,Detected,,35.41,,107.15,,119.88,,61.14,,137.85,100.52,3.733,7.202,True,202.0,424.0,0.0,-1.0,0.0,0.0,1.0,-0.6533,0.9548,3.239,-0.0069,-0.0152,-0.1631,-0.1116,0.0,,,,,,,,,,,False,333.65,-90.35,Setup,Snatch,Side View,2.0283
24,2026-07-03T13:43:39.785,,,,,,,Detected,,34.82,,106.11,,117.32,,58.28,,131.1,100.05,3.733,7.202,True,202.0,424.0,0.0,-1.0,0.0,0.0,1.0,-0.6533,0.9548,3.239,-0.0069,-0.0152,-0.0,0.0,0.0,,,,,,,,,,,False,333.66,-90.34,Setup,Snatch,Side View,2.1079
25,2026-07-03T13:43:39.864,,,,,,,Detected,,34.68,,106.97,,116.18,,59.41,,132.09,100.12,3.756,7.749,True,202.0,423.0,0.0,0.0,12.62,0.0,1.0,-0.6533,0.9496,3.239,-0.0069,-0.01,0.0661,0.0,0.0,,,,,,,,,,,False,333.67,-89.33,Setup,Snatch,Side View,2.187
26,2026-07-03T13:43:39.942,,,,,,,Detected,,34.88,,105.44,,117.25,,62.9,,136.38,99.33,3.733,7.749,True,203.0,424.0,1.0,-1.0,-12.8,12.8,1.0,-0.648,0.9548,3.239,-0.0016,-0.0152,-0.0671,0.0672,0.0,,,,,,,,,,,False,333.68,-90.32,Setup,Snatch,Side View,2.2654
27,2026-07-03T13:43:40.022,,,,,,,Detected,,34.42,,105.75,,116.69,,64.73,,138.07,98.81,3.756,7.288,True,203.0,424.0,1.0,-1.0,0.0,0.0,1.0,-0.648,0.9548,3.239,-0.0016,-0.0152,-0.0,0.0,0.0,,,,,,,,,,,False,333.69,-90.31,Setup,Snatch,Side View,2.3447
28,2026-07-03T13:43:40.100,,,,,,,Detected,,34.08,,107.69,,118.05,,59.57,,131.42,99.26,3.756,7.288,True,203.0,423.0,1.0,0.0,12.63,0.0,1.0,-0.6514,0.9546,3.256,-0.005,-0.015,0.0032,-0.043,0.0,,,,,,,,,,,False,333.74,-89.26,Setup,Snatch,Side View,2.4227
29,2026-07-03T13:43:40.179,,,,,,,Detected,,33.46,,107.94,,115.27,,57.54,,126.93,99.33,3.756,7.466,True,203.0,423.0,1.0,0.0,0.0,0.0,1.0,-0.6446,0.9446,3.222,0.0018,-0.005,0.1259,0.086,0.0,,,,,,,,,,,False,333.85,-89.15,Setup,Snatch,Side View,2.5022
30,2026-07-03T13:43:40.272,,,,,,,Detected,,33.86,,110.52,,116.67,,59.33,,127.93,100.52,3.756,7.466,True,203.0,424.0,1.0,-1.0,-10.81,0.0,1.0,-0.6446,0.9498,3.222,0.0018,-0.0102,-0.0564,0.0,0.0,,,,,,,,,,,False,333.63,-90.37,Setup,Snatch,Side View,2.5948
31,2026-07-03T13:43:40.365,,,,,,,Detected,,34.48,,111.67,,117.19,,60.21,,126.69,100.52,3.733,7.558,True,202.0,423.0,0.0,0.0,10.65,-10.65,1.0,-0.6567,0.9546,3.256,-0.0103,-0.015,-0.0506,-0.1286,0.0,,,,,,,,,,,False,333.59,-89.41,Setup,Snatch,Side View,2.6884
32,2026-07-03T13:43:40.460,,,,,,,Detected,,34.48,,107.97,,115.56,,61.86,,123.52,100.67,3.733,7.558,True,203.0,424.0,1.0,-1.0,-10.61,10.61,1.0,-0.6514,0.9598,3.256,-0.005,-0.0202,-0.0559,0.0559,0.0,,,,,,,,,,,False,333.83,-90.17,Setup,Snatch,Side View,2.7832
33,2026-07-03T13:43:40.550,,,,,,,Detected,,33.89,,106.46,,116.83,,62.65,,123.1,100.82,3.756,7.749,True,202.0,423.0,0.0,0.0,11.03,-11.03,1.0,-0.6498,0.9446,3.222,-0.0034,-0.005,0.168,0.0175,0.0,,,,,,,,,,,False,333.96,-89.04,Setup,Snatch,Side View,2.873
34,2026-07-03T13:43:40.627,,,,,,,Detected,,33.89,,107.84,,116.03,,64.68,,132.07,101.23,3.756,7.749,True,204.0,423.0,2.0,0.0,0.0,26.15,1.0,-0.6394,0.9446,3.222,0.007,-0.005,-0.0,0.1364,0.0,,,,,,,,,,,False,334.28,-88.72,Setup,Snatch,Side View,2.9503
35,2026-07-03T13:43:40.707,,,,,,,Detected,,34.48,,108.43,,113.96,,67.55,,138.6,100.82,3.779,7.652,True,203.0,423.0,1.0,0.0,0.0,-12.7,1.0,-0.6378,0.9346,3.188,0.0086,0.005,0.1266,0.0201,0.005,,,,,,,,,,,False,334.69,-88.31,Setup,Snatch,Side View,3.0296
36,2026-07-03T13:43:40.804,,,,,,,Detected,,34.48,,108.43,,112.25,,68.25,,141.14,101.23,3.779,7.652,True,203.0,423.0,1.0,0.0,0.0,0.0,1.0,-0.6378,0.9346,3.188,0.0086,0.005,-0.0,0.0,0.005,,,,,,,,,,,False,334.73,-88.27,Setup,Snatch,Side View,3.1274
37,2026-07-03T13:43:40.893,,,,,,,Detected,,33.69,,109.36,,115.27,,68.34,,140.45,101.15,3.733,7.849,True,203.0,423.0,1.0,0.0,0.0,0.0,1.0,-0.648,0.9496,3.239,-0.0016,-0.01,-0.161,-0.1099,0.005,,,,,,,,,,,False,334.76,-88.24,Setup,Snatch,Side View,3.2159
38,2026-07-03T13:43:40.971,,,,,,,Detected,,35.36,,108.56,,117.75,,64.12,,134.79,100.59,3.733,7.849,True,204.0,423.0,2.0,0.0,0.0,12.74,1.0,-0.6462,0.9546,3.256,0.0003,-0.015,-0.0635,0.0238,0.005,,,,,,,,,,,False,334.72,-88.28,Setup,Snatch,Side View,3.2938
39,2026-07-03T13:43:41.052,,,,,,,Detected,,35.17,,107.22,,118.77,,65.17,,137.32,100.92,3.756,8.055,True,203.0,422.0,1.0,1.0,12.7,-12.7,1.0,-0.6446,0.9394,3.222,0.0018,0.0002,0.1929,0.0194,0.005,,,,,,,,,,,False,334.65,-87.35,Setup,Snatch,Side View,3.3751
40,2026-07-03T13:43:41.146,,,,,,,Detected,,35.36,,108.56,,118.59,,64.4,,126.42,100.84,3.756,8.055,True,204.0,423.0,2.0,0.0,-10.43,10.43,1.0,-0.6394,0.9446,3.222,0.007,-0.005,-0.0544,0.0544,0.005,,,,,,,,,,,False,334.92,-88.08,Setup,Snatch,Side View,3.4694
41,2026-07-03T13:43:41.239,,,,,,,Detected,,35.36,,109.48,,116.01,,64.4,,123.61,100.84,3.756,7.749,True,203.0,423.0,1.0,0.0,0.0,-10.72,1.0,-0.6412,0.9396,3.205,0.0052,-0.0,0.0534,-0.0195,0.005,,,,,,,,,,,False,335.09,-87.91,Setup,Snatch,Side View,3.5622
42,2026-07-03T13:43:41.317,,,,,,,Detected,,35.82,,106.72,,121.71,,64.26,,141.68,100.99,3.756,7.749,True,204.0,424.0,2.0,-1.0,-12.85,12.85,1.0,-0.6327,0.9398,3.188,0.0138,-0.0002,-0.0022,0.11,0.005,,,,,,,,,,,False,335.42,-88.58,Setup,Snatch,Side View,3.6395
43,2026-07-03T13:43:41.396,,,,,,,Detected,,35.67,,105.23,,122.47,,65.42,,147.03,100.75,3.779,7.466,True,204.0,423.0,2.0,0.0,12.81,0.0,1.0,-0.636,0.9396,3.205,0.0104,-0.0,0.0022,-0.0432,0.005,,,,,,,,,,,False,335.55,-87.45,Setup,Snatch,Side View,3.7193
44,2026-07-03T13:43:41.476,,,,,,,Detected,,35.82,,110.99,,113.38,,65.28,,136.16,101.07,3.802,7.466,True,203.0,423.0,1.0,0.0,0.0,-12.39,1.0,-0.6412,0.9396,3.205,0.0052,-0.0,-0.0,-0.0643,0.005,,,,,,,,,,,False,334.87,-88.13,Setup,Snatch,Side View,3.799
45,2026-07-03T13:43:41.569,,,,,,,Detected,,35.01,,112.71,,113.39,,66.06,,131.91,101.07,3.779,7.951,True,205.0,424.0,3.0,-1.0,-10.7,21.41,1.0,-0.6275,0.9398,3.188,0.0189,-0.0002,-0.0019,0.1469,0.005,,,,,,,,,,,False,334.53,-89.47,Setup,Snatch,Side View,3.8919
46,2026-07-03T13:43:41.663,,,,,,,Detected,,34.45,,112.91,,110.46,,67.11,,137.82,101.07,3.779,7.951,True,204.0,423.0,2.0,0.0,10.65,-10.65,1.0,-0.636,0.9396,3.205,0.0104,-0.0,0.0019,-0.0909,0.005,,,,,,,,,,,False,334.54,-88.46,Setup,Snatch,Side View,3.9857
47,2026-07-03T13:43:41.758,,,,,,,Detected,,34.48,,111.93,,111.93,,67.55,,138.9,101.15,3.756,7.558,True,204.0,422.0,2.0,1.0,10.5,0.0,1.0,-0.6327,0.9295,3.188,0.0138,0.0101,0.1065,0.0354,0.0101,,,,,,,,,,,False,334.56,-87.44,Setup,Snatch,Side View,4.0811
48,2026-07-03T13:43:41.847,,,,,,,Detected,,32.5,,108.13,,113.14,,66.53,,130.69,101.39,3.756,7.558,True,204.0,422.0,2.0,1.0,0.0,0.0,1.0,-0.6327,0.9295,3.188,0.0138,0.0101,-0.0,0.0,0.0101,,,,,,,,,,,False,334.57,-87.43,Setup,Snatch,Side View,4.1697
49,2026-07-03T13:43:41.930,,,,,,,Detected,,32.31,,108.3,,116.48,,67.32,,126.13,101.78,3.802,7.558,True,205.0,423.0,3.0,0.0,-11.02,11.02,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.2216,-0.0537,0.0101,,,,,,,,,,,False,334.56,-88.44,Setup,Snatch,Side View,4.2532
50,2026-07-03T13:43:42.024,,,,,,,Detected,,33.41,,109.63,,115.75,,70.27,,140.52,100.77,3.802,7.558,True,204.0,423.0,2.0,0.0,0.0,-10.66,1.0,-0.6394,0.9446,3.222,0.007,-0.005,0.0531,-0.0199,0.0101,,,,,,,,,,,False,334.57,-88.43,Setup,Snatch,Side View,4.347
51,2026-07-03T13:43:42.102,,,,,,,Detected,,33.41,,110.95,,115.12,,69.57,,142.23,101.23,3.756,7.558,True,204.0,423.0,2.0,0.0,0.0,0.0,1.0,-0.6428,0.9496,3.239,0.0036,-0.01,-0.0647,-0.0438,0.0101,,,,,,,,,,,False,334.6,-88.4,Setup,Snatch,Side View,4.425
52,2026-07-03T13:43:42.180,,,,,,,Detected,,33.57,,112.01,,117.01,,70.66,,144.08,100.84,3.756,7.558,True,205.0,423.0,3.0,0.0,0.0,12.73,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.0,0.0667,0.0101,,,,,,,,,,,False,334.87,-88.13,Setup,Snatch,Side View,4.5028
53,2026-07-03T13:43:42.259,,,,,,,Detected,,34.2,,109.23,,115.33,,70.66,,143.84,100.92,3.71,8.055,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.0,0.0,0.0101,,,,,,,,,,,False,335.09,-87.91,Setup,Snatch,Side View,4.5817
54,2026-07-03T13:43:42.338,,,,,,,Detected,,35.34,,112.65,,115.88,,68.37,,142.02,100.59,3.71,8.055,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.0,0.0,0.0101,,,,,,,,,,,False,335.22,-87.78,Setup,Snatch,Side View,4.661
55,2026-07-03T13:43:42.417,,,,,,,Detected,,36.54,,114.78,,114.86,,67.27,,138.9,100.2,3.802,7.951,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.0,0.0,0.0101,,,,,,,,,,,False,335.29,-87.71,Setup,Snatch,Side View,4.7404
56,2026-07-03T13:43:42.497,,,,,,,Detected,,35.84,,114.81,,115.43,,66.33,,139.84,100.67,3.802,7.951,True,204.0,422.0,2.0,1.0,12.54,-12.54,1.0,-0.6428,0.9444,3.239,0.0036,-0.0047,0.0657,-0.0658,0.0101,,,,,,,,,,,False,335.26,-86.74,Setup,Snatch,Side View,4.82
57,2026-07-03T13:43:42.591,,,,,,,Detected,,35.06,,114.42,,115.05,,64.55,,137.28,101.07,3.756,7.376,True,205.0,422.0,3.0,1.0,0.0,10.56,1.0,-0.6375,0.9444,3.239,0.0089,-0.0047,-0.0,0.0554,0.0101,,,,,,,,,,,False,335.26,-86.74,Setup,Snatch,Side View,4.9144
58,2026-07-03T13:43:42.669,,,,,,,Detected,,33.07,,112.62,,114.47,,64.28,,134.5,101.55,3.756,7.376,True,205.0,423.0,3.0,0.0,-13.05,0.0,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.0684,0.0,0.0101,,,,,,,,,,,False,335.37,-87.63,Setup,Snatch,Side View,4.9921
59,2026-07-03T13:43:42.747,,,,,,,Detected,,33.07,,112.62,,116.2,,65.06,,135.28,101.47,3.802,7.749,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.0,0.0,0.0101,,,,,,,,,,,False,335.42,-87.58,Setup,Snatch,Side View,5.0702
60,2026-07-03T13:43:42.827,,,,,,,Detected,,33.69,,114.02,,109.59,,66.09,,125.14,100.99,3.802,7.749,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6375,0.9496,3.239,0.0089,-0.01,-0.0,0.0,0.0101,,,,,,,,,,,False,335.35,-87.65,Setup,Snatch,Side View,5.1503
61,2026-07-03T13:43:42.906,,,,,,,Detected,,34.32,,114.44,,111.35,,67.15,,124.45,101.39,3.802,7.749,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6342,0.9446,3.222,0.0122,-0.005,0.0633,0.0425,0.0101,,,,,,,,,,,False,335.12,-87.88,Setup,Snatch,Side View,5.2286
62,2026-07-03T13:43:42.985,,,,,,,Detected,,31.88,,112.61,,110.23,,67.15,,125.09,100.92,3.802,7.749,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6342,0.9446,3.222,0.0122,-0.005,-0.0,0.0,0.0101,,,,,,,,,,,False,334.05,-88.95,Setup,Snatch,Side View,5.3075
63,2026-07-03T13:43:43.063,,,,,,,Detected,,31.46,,112.91,,111.1,,66.99,,129.03,100.84,3.826,7.849,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6342,0.9446,3.222,0.0122,-0.005,-0.0,0.0,0.0101,,,,,,,,,,,False,333.32,-89.68,Setup,Snatch,Side View,5.3858
64,2026-07-03T13:43:43.142,,,,,,,Detected,,32.22,,114.17,,110.75,,66.96,,140.24,100.45,3.826,7.849,True,205.0,423.0,3.0,0.0,0.0,0.0,1.0,-0.6342,0.9446,3.222,0.0122,-0.005,-0.0,0.0,0.0101,,,,,,,,,,,False,332.46,-90.54,Setup,Snatch,Side View,5.4647
65,2026-07-03T13:43:43.223,,,,,,,Detected,,32.48,,116.59,,111.65,,67.88,,145.95,100.92,3.802,7.749,True,206.0,423.0,4.0,0.0,0.0,12.27,1.0,-0.629,0.9446,3.222,0.0174,-0.005,-0.0,0.064,0.0101,,,,,,,,,,,False,332.14,-90.86,Setup,Snatch,Side View,5.5462
66,2026-07-03T13:43:43.317,,,,,,,Detected,,32.48,,112.81,,106.28,,67.15,,124.9,100.92,3.802,7.749,True,206.0,424.0,4.0,-1.0,-10.72,0.0,1.0,-0.629,0.9498,3.222,0.0174,-0.0102,-0.0559,0.0,0.0101,,,,,,,,,,,False,332.26,-91.74,Setup,Snatch,Side View,5.6401
67,2026-07-03T13:43:43.410,,,,,,,Detected,,33.07,,114.04,,108.52,,65.32,,119.43,100.59,3.802,7.288,True,207.0,424.0,5.0,-1.0,0.0,10.67,1.0,-0.6205,0.9448,3.205,0.0259,-0.0052,0.0535,0.0908,0.0101,,,,,,,,,,,False,332.35,-91.65,Setup,Snatch,Side View,5.7328
68,2026-07-03T13:43:43.489,,,,,,,Detected,,33.39,,113.84,,110.87,,63.36,,120.9,100.45,3.802,7.288,True,207.0,424.0,5.0,-1.0,0.0,0.0,1.0,-0.6205,0.9448,3.205,0.0259,-0.0052,-0.0,0.0,0.0101,,,,,,,,,,,False,332.37,-91.63,Setup,Snatch,Side View,5.8122
69,2026-07-03T13:43:43.567,,,,,,,Detected,,33.39,,114.23,,109.3,,63.36,,120.9,100.45,3.826,7.558,True,207.0,424.0,5.0,-1.0,0.0,0.0,1.0,-0.6238,0.9498,3.222,0.0227,-0.0102,-0.0638,-0.0419,0.0101,,,,,,,,,,,False,332.51,-91.49,Setup,Snatch,Side View,5.8903
70,2026-07-03T13:43:43.648,,,,,,,Detected,,33.54,,114.23,,109.3,,61.38,,121.5,100.77,3.85,7.558,True,206.0,424.0,4.0,-1.0,0.0,-12.44,1.0,-0.6257,0.9448,3.205,0.0208,-0.0052,0.0624,-0.0236,0.0101,,,,,,,,,,,False,332.69,-91.31,Setup,Snatch,Side View,5.9709
71,2026-07-03T13:43:43.741,,,,,,,Detected,,33.54,,114.23,,109.3,,62.4,,124.3,100.77,3.802,7.466,True,207.0,424.0,5.0,-1.0,0.0,10.86,1.0,-0.6205,0.9448,3.205,0.0259,-0.0052,-0.0,0.0564,0.0101,,,,,,,,,,,False,333.02,-90.98,Setup,Snatch,Side View,6.0636
72,2026-07-03T13:43:43.819,,,,,,,Detected,,33.53,,115.61,,109.1,,63.45,,128.56,100.38,3.802,7.466,True,207.0,424.0,5.0,-1.0,0.0,0.0,1.0,-0.6205,0.9448,3.205,0.0259,-0.0052,-0.0,0.0,0.0101,,,,,,,,,,,False,331.76,-92.24,Setup,Snatch,Side View,6.1415
73,2026-07-03T13:43:43.900,,,,,,,Detected,,32.14,,114.98,,109.1,,64.46,,130.76,100.77,3.802,7.749,True,207.0,424.0,5.0,-1.0,0.0,0.0,1.0,-0.6238,0.9498,3.222,0.0227,-0.0102,-0.0627,-0.0412,0.0101,,,,,,,,,,,False,331.13,-92.87,Setup,Snatch,Side View,6.2234
74,2026-07-03T13:43:43.994,,,,,,,Detected,,30.62,,115.8,,114.07,,61.22,,120.87,101.15,3.802,7.749,True,207.0,424.0,5.0,-1.0,0.0,0.0,1.0,-0.6238,0.9498,3.222,0.0227,-0.0102,-0.0,0.0,0.0101,,,,,,,,,,,False,332.49,-91.51,Setup,Snatch,Side View,6.3166
75,2026-07-03T13:43:44.090,,,,,,,Detected,,29.1,,115.21,,114.07,,60.31,,117.19,101.62,3.826,7.749,True,207.0,424.0,5.0,-1.0,0.0,0.0,1.0,-0.6205,0.9448,3.205,0.0259,-0.0052,0.0533,0.035,0.0101,,,,,,,,,,,False,333.08,-90.92,Setup,Snatch,Side View,6.4127
