metric,mean,min,max,valid_samples
left_hip_angle_deg,107.685,106.42,108.95,2
right_hip_angle_deg,83.313,30.55,180.0,752
left_knee_angle_deg,113.025,111.69,114.36,2
right_knee_angle_deg,105.02,44.86,177.86,699
left_ankle_angle_deg,115.175,114.93,115.42,2
right_ankle_angle_deg,112.336,85.87,126.68,699
right_shoulder_angle_deg,79.2,0.0,179.59,730
right_elbow_angle_deg,149.282,15.07,180.0,663
trunk_lean_angle_deg,43.632,0.0,95.71,752
athlete_depth_m,3.802,3.092,4.028,752
center_depth_m,7.6,6.957,8.503,757
barbell_horizontal_displacement_px,13.124,-11.0,40.0,314
barbell_vertical_displacement_px,245.35,0.0,311.0,314
barbell_vertical_velocity_px_s,4.032,-51.94,137.65,314
barbell_horizontal_velocity_px_s,4.117,-51.82,85.9,314
barbell_horizontal_displacement_m,0.061,-0.052,0.21,314
barbell_vertical_displacement_m,1.294,-0.0,1.639,314
barbell_vertical_velocity_m_s,0.02,-0.28,0.682,314
barbell_horizontal_velocity_m_s,0.021,-0.462,0.508,314
