phase,start_time_s,end_time_s,sample_count
Catch Phase,30.443,31.144,13
Deadlift Phase,25.374,26.538,21
Jump Phase,26.596,30.384,67
Overhead Squat Phase,31.202,43.915,220
Setup,0.002,25.316,438
