sport,exercise,camera_view,input_mode,phase,start_time_s,end_time_s,duration_s,sample_count,left_hip_angle_mean_deg,left_hip_angle_min_deg,left_hip_angle_max_deg,left_hip_angle_range_deg,right_hip_angle_mean_deg,right_hip_angle_min_deg,right_hip_angle_max_deg,right_hip_angle_range_deg,left_knee_angle_mean_deg,left_knee_angle_min_deg,left_knee_angle_max_deg,left_knee_angle_range_deg,right_knee_angle_mean_deg,right_knee_angle_min_deg,right_knee_angle_max_deg,right_knee_angle_range_deg,left_ankle_angle_mean_deg,left_ankle_angle_min_deg,left_ankle_angle_max_deg,left_ankle_angle_range_deg,right_ankle_angle_mean_deg,right_ankle_angle_min_deg,right_ankle_angle_max_deg,right_ankle_angle_range_deg,left_shoulder_angle_mean_deg,left_shoulder_angle_min_deg,left_shoulder_angle_max_deg,right_shoulder_angle_mean_deg,right_shoulder_angle_min_deg,right_shoulder_angle_max_deg,left_elbow_angle_mean_deg,left_elbow_angle_min_deg,left_elbow_angle_max_deg,right_elbow_angle_mean_deg,right_elbow_angle_min_deg,right_elbow_angle_max_deg,trunk_lean_angle_mean_deg,trunk_lean_angle_min_deg,trunk_lean_angle_max_deg,trunk_lean_angle_range_deg,barbell_vertical_displacement_mean_px,barbell_vertical_displacement_min_px,barbell_vertical_displacement_max_px,barbell_vertical_displacement_range_px,barbell_horizontal_displacement_mean_px,barbell_horizontal_displacement_min_px,barbell_horizontal_displacement_max_px,barbell_horizontal_displacement_range_px,barbell_vertical_velocity_mean_px_s,barbell_vertical_velocity_max_abs_px_s,barbell_horizontal_velocity_mean_px_s,barbell_horizontal_velocity_max_abs_px_s,barbell_vertical_displacement_mean_m,barbell_vertical_displacement_min_m,barbell_vertical_displacement_max_m,barbell_vertical_displacement_range_m,barbell_horizontal_displacement_mean_m,barbell_horizontal_displacement_min_m,barbell_horizontal_displacement_max_m,barbell_horizontal_displacement_range_m,barbell_vertical_velocity_mean_m_s,barbell_vertical_velocity_max_abs_m_s,barbell_horizontal_velocity_mean_m_s,barbell_horizontal_velocity_max_abs_m_s,athlete_depth_mean_m,athlete_depth_min_m,athlete_depth_max_m,center_depth_mean_m,center_depth_min_m,center_depth_max_m
Weightlifting,Snatch,Side View,RealSense Bag File,Deadlift Phase,25.374,26.538,1.164,21,,,,,58.731,47.56,79.04,31.48,,,,,95.2333,74.82,111.56,36.74,,,,,106.9786,97.02,118.07,21.05,,,,36.9057,24.81,43.43,,,,151.6867,144.32,161.22,56.6595,47.8,60.55,12.75,19.6667,0.0,45.0,45.0,2.1905,0.0,3.0,3.0,38.5457,103.57,0.8248,34.67,0.0998,-0.0,0.2286,0.2286,0.0096,-0.0026,0.0182,0.0208,0.1927,0.4239,-0.002,0.1776,3.7991,3.756,3.85,7.4691,7.288,7.849
Weightlifting,Snatch,Side View,RealSense Bag File,Jump Phase,26.596,30.384,3.788,67,,,,,137.4047,77.0,179.45,102.45,,,,,133.3483,101.06,177.86,76.8,,,,,105.907,86.63,126.18,39.55,,,,67.4534,0.0,151.81,,,,119.0675,99.43,131.82,17.1778,0.99,53.24,52.25,156.3333,45.0,248.0,203.0,17.0333,-11.0,40.0,51.0,51.0118,137.65,5.0368,85.9,0.8168,0.2316,1.2955,1.0639,0.0929,-0.0522,0.2102,0.2624,0.2692,0.6815,0.028,0.5081,3.6926,3.092,3.95,7.5688,7.037,8.055
Weightlifting,Snatch,Side View,RealSense Bag File,Catch Phase,30.443,31.144,0.701,13,,,,,103.3146,95.93,111.57,15.64,,,,,104.3315,99.81,109.24,9.43,,,,,108.8792,106.91,112.02,5.11,,,,164.9592,148.07,177.84,,,,122.1008,98.82,161.29,24.8808,19.37,29.02,9.65,249.0,248.0,250.0,2.0,20.6923,15.0,27.0,12.0,-0.0015,17.21,-18.3477,49.77,1.2993,1.2929,1.306,0.0131,0.107,0.0783,0.139,0.0607,-0.0036,0.0902,-0.0933,0.2932,3.8825,3.85,3.95,7.4272,7.037,7.749
Weightlifting,Snatch,Side View,RealSense Bag File,Overhead Squat Phase,31.202,43.915,12.713,220,107.685,106.42,108.95,2.53,156.7689,94.63,180.0,85.37,113.025,111.69,114.36,2.67,155.779,97.62,177.56,79.94,115.175,114.93,115.42,0.49,112.3524,103.03,123.37,20.34,,,,154.338,45.99,179.59,,,,149.2894,15.07,180.0,10.5408,0.0,29.95,29.95,290.9545,247.0,311.0,64.0,12.6545,3.0,21.0,18.0,-11.8372,68.57,5.5081,34.4,1.5373,1.2851,1.6389,0.3538,0.0546,0.0079,0.0971,0.0892,-0.0625,0.2969,0.0286,0.1874,3.9056,3.309,4.028,7.5964,6.957,8.273
