time_s,athlete_depth_m,center_depth_m
0.044,3.116,8.483
0.106,3.116,8.483
0.167,3.148,8.254
0.228,3.148,8.254
0.293,3.132,8.144
0.356,3.132,8.144
0.42,3.116,8.603
0.482,3.101,8.603
0.545,3.101,8.726
0.61,3.116,8.726
0.675,3.054,8.483
0.733,3.054,8.483
0.795,3.069,7.932
0.858,3.069,7.932
0.92,3.148,8.254
0.983,3.148,8.254
1.044,3.085,8.483
1.107,3.085,8.483
1.168,3.101,8.144
1.231,3.101,8.144
1.294,3.132,8.037
1.355,3.132,8.037
1.417,3.132,8.144
1.48,3.132,8.144
1.543,3.148,7.831
1.605,3.181,7.831
1.666,3.132,8.144
1.73,3.132,8.144
1.792,3.165,8.254
1.856,3.165,8.254
1.916,3.165,8.483
1.978,3.148,8.483
2.041,3.148,8.483
2.105,3.148,8.483
2.166,3.085,8.254
2.23,3.085,8.254
2.293,3.116,8.367
2.356,3.132,8.367
2.418,3.181,8.367
2.48,3.181,8.367
2.543,3.132,8.726
2.603,3.132,8.726
2.666,3.116,7.831
2.73,3.132,7.831
2.792,3.085,8.367
2.863,3.085,8.367
2.919,3.165,8.483
2.978,3.165,8.483
3.041,3.148,8.367
3.103,3.165,8.367
3.165,3.132,8.144
3.227,3.132,8.144
3.289,3.181,8.982
3.354,3.181,8.982
3.414,3.181,8.254
3.477,3.181,8.254
3.539,3.215,8.367
3.603,3.215,8.367
3.665,3.148,8.603
3.728,3.165,8.603
3.789,3.165,8.982
3.851,3.165,8.982
3.911,3.181,8.367
3.975,3.181,8.367
4.04,3.198,8.037
4.103,3.198,8.037
4.163,3.148,8.144
4.234,3.165,8.144
4.29,3.198,8.367
4.355,3.181,8.367
4.415,3.101,8.367
4.478,3.101,8.367
4.54,3.132,8.254
4.602,3.148,8.254
4.665,3.165,8.483
4.729,3.148,8.483
4.791,3.198,8.603
4.853,3.198,8.603
4.915,3.132,8.144
4.978,3.132,8.144
5.04,3.132,8.144
5.102,3.132,8.144
5.165,3.165,8.254
5.227,3.165,8.254
5.291,3.198,8.367
5.354,3.198,8.367
5.415,3.165,8.254
5.477,3.165,8.254
5.541,3.198,8.144
5.603,3.215,8.144
5.665,3.132,7.932
5.728,3.132,7.932
5.789,3.215,8.367
5.85,3.198,8.367
5.912,3.148,8.254
5.976,3.148,8.254
6.035,3.198,8.603
6.096,3.198,8.603
6.159,3.181,8.852
6.22,3.198,8.852
6.283,3.148,8.982
6.344,3.148,8.982
6.409,3.215,8.483
6.471,3.215,8.483
6.533,3.165,8.254
6.596,3.198,8.254
6.66,3.198,8.726
6.721,3.181,8.726
6.783,3.148,8.254
6.845,3.148,8.254
6.907,3.165,8.852
6.97,3.165,8.852
7.03,3.132,8.367
7.095,3.132,8.367
7.159,3.116,8.603
7.22,3.116,8.603
7.283,3.132,8.254
7.344,3.132,8.254
7.408,3.165,8.254
7.47,3.165,8.254
7.535,3.132,8.852
7.597,3.116,8.852
7.661,3.215,8.037
7.722,3.198,8.037
7.783,3.116,8.367
7.845,3.116,8.367
7.909,3.116,8.726
7.969,3.132,8.726
8.034,3.085,8.726
8.094,3.085,8.726
8.157,3.132,8.254
8.218,3.132,8.254
8.282,3.101,8.254
8.345,3.101,8.254
8.411,3.069,8.726
8.47,3.069,8.726
8.532,3.054,8.144
8.595,3.054,8.144
8.657,3.085,8.603
8.719,3.085,8.603
8.781,3.085,8.037
8.844,3.085,8.037
8.906,3.085,8.144
8.969,3.085,8.144
9.031,3.069,8.603
9.093,3.069,8.603
9.155,2.98,8.144
9.22,2.98,8.144
9.28,3.069,8.367
9.343,3.069,8.367
9.406,3.069,8.603
9.467,3.085,8.603
9.53,3.069,8.483
9.593,3.054,8.483
9.656,3.054,8.254
9.716,3.054,8.254
9.778,3.039,8.144
9.843,3.054,8.144
9.906,3.132,8.037
9.97,3.132,8.037
10.03,3.148,8.603
10.094,3.148,8.603
10.157,3.085,8.852
10.219,3.069,8.852
10.281,3.069,8.483
10.343,3.085,8.483
10.406,2.994,8.254
10.469,2.994,8.254
10.529,3.116,8.726
10.592,3.116,8.726
10.652,3.085,8.603
10.717,3.101,8.603
10.779,3.039,9.116
10.842,3.039,9.116
10.904,3.039,8.144
10.966,3.039,8.144
11.029,3.085,8.852
11.092,3.085,8.852
11.155,3.024,8.483
11.218,3.024,8.483
11.279,3.039,8.254
11.343,3.039,8.254
11.405,3.101,8.144
11.468,3.101,8.144
11.53,3.024,8.982
11.595,3.054,8.982
11.656,3.085,8.254
11.719,3.148,8.254
11.781,3.198,8.254
11.844,3.215,8.254
11.906,3.249,8.483
11.969,3.249,8.483
12.034,3.215,7.359
12.095,3.215,7.359
12.158,3.266,4.926
12.22,3.266,4.926
12.283,3.249,3.941
12.345,3.266,3.941
12.406,3.32,3.375
12.47,3.338,3.375
12.53,3.375,3.32
12.593,3.393,3.32
12.655,3.356,3.101
12.717,3.375,3.101
12.777,3.393,3.069
12.839,3.412,3.069
12.903,3.451,3.116
12.967,3.451,3.116
13.026,3.451,3.249
13.091,3.47,3.249
13.155,3.531,3.284
13.217,3.531,3.284
13.277,3.431,3.165
13.343,3.412,3.165
13.403,3.49,3.284
13.464,3.49,3.284
13.527,3.451,3.215
13.599,3.431,3.215
13.669,3.451,3.116
13.731,3.451,3.116
13.794,3.451,3.116
13.855,3.451,3.116
13.915,3.412,3.181
13.978,3.393,3.181
14.04,3.375,3.054
14.103,3.375,3.054
14.166,3.338,3.101
14.228,3.338,3.101
14.29,3.266,3.116
14.354,3.284,3.116
14.416,3.302,3.116
14.479,3.302,3.116
14.545,3.302,3.116
14.602,3.302,3.116
14.662,3.249,3.132
14.726,3.249,3.132
14.792,3.284,3.085
14.853,3.284,3.085
14.914,3.266,3.085
14.976,3.266,3.085
15.04,3.266,3.101
15.101,3.266,3.101
15.162,3.302,3.116
15.226,3.32,3.116
15.288,3.249,3.165
15.357,3.249,3.165
15.419,3.249,3.101
15.48,3.249,3.101
15.544,3.266,3.148
15.606,3.266,3.148
15.668,3.284,3.148
15.73,3.284,3.148
15.794,3.266,3.085
15.856,3.266,3.085
15.92,3.32,3.101
15.986,3.32,3.101
16.048,3.266,3.181
16.111,3.266,3.181
16.174,3.32,3.165
16.238,3.32,3.165
16.297,3.338,3.181
16.362,3.338,3.181
16.422,3.284,3.148
16.486,3.284,3.148
16.547,3.338,3.181
16.61,3.338,3.181
16.676,3.32,3.148
16.738,3.32,3.148
16.796,3.284,3.132
16.859,3.284,3.132
16.924,3.338,3.198
16.984,3.356,3.198
17.045,3.356,3.181
17.108,3.356,3.181
17.171,3.302,3.132
17.234,3.302,3.132
17.297,3.32,3.198
17.359,3.338,3.198
17.42,3.302,3.165
17.483,3.338,3.165
17.546,3.232,3.232
17.611,3.249,3.232
17.674,3.266,3.232
17.735,3.284,3.232
17.797,3.451,3.215
17.86,3.451,3.215
17.922,3.356,3.215
17.984,3.375,3.215
18.046,3.47,3.232
18.113,3.47,3.232
18.173,3.375,3.249
18.236,3.393,3.249
18.299,3.375,3.249
18.363,3.393,3.249
18.425,3.266,3.266
18.486,3.284,3.266
18.559,3.284,3.266
18.626,3.302,3.266
18.688,3.375,3.266
18.75,3.375,3.266
18.814,3.32,3.32
18.877,3.375,3.32
18.941,3.412,3.302
19.003,3.431,3.302
19.064,3.375,3.338
19.126,3.412,3.338
19.192,3.32,3.32
19.252,3.356,3.32
19.315,3.302,3.302
19.378,3.32,3.302
19.44,3.375,3.266
19.503,3.393,3.266
19.567,3.338,3.356
19.627,3.338,3.356
19.69,3.338,3.266
19.752,3.338,3.266
19.813,3.284,3.375
19.876,3.284,3.375
19.939,3.338,3.412
20.001,3.338,3.412
20.064,3.338,3.51
20.126,3.32,3.51
20.188,3.338,3.451
20.251,3.356,3.451
20.314,3.302,3.356
20.377,3.302,3.356
20.441,3.338,3.356
20.505,3.338,3.356
20.568,3.375,3.356
20.63,3.375,3.356
20.695,3.32,3.302
20.758,3.32,3.302
20.82,3.302,3.32
20.884,3.302,3.32
20.946,3.284,3.32
21.011,3.284,3.32
21.075,3.338,3.356
21.136,3.338,3.356
21.199,3.51,3.572
21.262,3.451,3.572
21.324,3.614,3.68
21.388,3.593,3.68
21.448,3.657,3.724
21.511,3.657,3.724
21.574,3.702,3.614
21.634,3.702,3.614
21.699,3.593,3.572
21.76,3.593,3.572
21.822,3.451,3.249
21.884,3.451,3.249
21.946,3.572,3.47
22.01,3.572,3.47
22.071,3.68,3.68
22.132,3.68,3.68
22.196,3.77,3.593
22.258,3.702,3.593
22.322,3.593,3.51
22.383,3.51,3.51
22.447,3.451,3.47
22.51,3.431,3.47
22.572,3.593,3.593
22.634,3.551,3.593
22.698,3.702,3.636
22.758,3.68,3.636
22.823,3.531,3.551
22.883,3.572,3.551
22.944,3.356,3.451
23.008,3.356,3.451
23.071,3.356,3.47
23.132,3.356,3.47
23.194,3.393,3.412
23.256,3.375,3.412
23.321,3.393,3.47
23.379,3.393,3.47
23.443,3.47,3.51
23.505,3.51,3.51
23.567,3.393,3.451
23.63,3.412,3.451
23.694,3.375,3.531
23.756,3.393,3.531
23.817,3.375,3.531
23.878,3.375,3.531
23.941,3.412,3.49
24.004,3.431,3.49
24.067,3.412,3.49
24.129,3.412,3.49
24.192,3.531,3.51
24.252,3.572,3.51
24.317,3.531,3.551
24.379,3.572,3.551
24.441,3.572,3.47
24.505,3.593,3.47
24.566,3.451,3.551
24.628,3.451,3.551
24.689,3.77,3.49
24.752,3.77,3.49
24.814,3.818,3.51
24.878,3.89,3.51
24.939,3.747,3.51
25.004,3.89,3.51
25.066,3.941,3.51
25.127,4.072,3.51
25.189,3.724,3.51
25.252,3.794,3.51
25.313,3.551,3.49
25.375,3.636,3.49
25.436,3.412,3.47
25.498,3.551,3.47
25.56,3.49,3.47
25.623,3.531,3.47
25.687,3.49,3.431
25.75,3.49,3.431
25.813,3.412,3.431
25.876,3.431,3.431
25.939,3.302,3.338
26.001,3.338,3.338
26.063,3.431,3.356
26.126,3.412,3.356
26.188,3.393,3.32
26.251,3.393,3.32
26.314,3.393,3.302
26.375,3.393,3.302
26.438,3.284,3.232
26.501,3.284,3.232
26.562,3.32,3.302
26.626,3.32,3.302
26.688,3.431,3.302
26.752,3.431,3.302
26.813,3.431,3.302
26.875,3.431,3.302
26.935,3.47,3.356
26.999,3.47,3.356
27.064,3.47,3.393
27.125,3.451,3.393
27.187,3.47,3.393
27.249,3.451,3.393
27.31,3.451,3.431
27.376,3.451,3.431
27.438,3.51,3.431
27.501,3.51,3.431
27.564,3.49,3.451
27.628,3.47,3.451
27.69,3.47,3.47
27.751,3.47,3.47
27.811,3.572,3.49
27.874,3.531,3.49
27.937,3.551,3.531
27.999,3.551,3.531
28.062,3.593,3.49
28.124,3.593,3.49
28.184,3.614,3.47
28.246,3.593,3.47
28.307,3.593,3.451
28.371,3.593,3.451
28.432,3.572,3.551
28.498,3.551,3.551
28.558,3.572,3.551
28.632,3.531,3.551
28.699,3.51,3.551
28.761,3.51,3.551
28.824,3.431,3.49
28.886,3.431,3.49
28.949,3.451,3.572
29.012,3.451,3.572
29.074,3.451,3.657
29.136,3.431,3.657
29.199,3.431,3.89
29.261,3.412,3.89
29.324,3.412,3.614
29.386,3.412,3.614
29.448,3.49,3.572
29.51,3.47,3.572
29.574,3.531,3.551
29.636,3.51,3.551
29.699,3.451,3.572
29.76,3.431,3.572
29.824,3.47,3.551
29.886,3.451,3.551
29.949,3.431,3.614
30.01,3.431,3.614
30.073,3.375,3.636
30.137,3.393,3.636
30.198,3.431,3.636
30.26,3.431,3.636
30.322,3.49,3.551
30.386,3.49,3.551
30.45,3.47,3.614
30.512,3.49,3.614
30.573,3.47,3.551
30.635,3.47,3.551
30.698,3.451,3.551
30.762,3.451,3.551
30.823,3.451,3.49
30.886,3.451,3.49
30.949,3.49,3.451
31.013,3.47,3.451
31.076,3.412,3.431
31.136,3.412,3.431
31.198,3.51,3.412
31.854,3.49,3.412
31.915,3.412,3.356
31.976,3.393,3.356
32.039,3.375,3.412
32.104,3.375,3.412
32.165,3.375,3.412
32.227,3.375,3.412
32.29,3.375,3.356
32.355,3.375,3.356
32.417,3.393,3.356
32.48,3.393,3.356
32.543,3.393,3.356
32.607,3.393,3.356
32.67,3.356,3.32
32.731,3.356,3.32
32.793,3.356,3.32
32.856,3.338,3.32
32.917,3.284,3.284
32.978,3.284,3.284
33.042,3.356,3.338
33.105,3.356,3.338
33.166,3.338,3.32
33.227,3.338,3.32
33.29,3.356,3.338
33.354,3.356,3.338
33.416,3.451,3.431
33.48,3.451,3.431
33.541,3.451,3.431
33.607,3.451,3.431
33.667,3.412,3.412
33.731,3.412,3.412
33.792,3.412,3.412
33.856,3.412,3.412
33.919,3.32,3.338
33.979,3.32,3.338
34.041,3.266,3.284
34.103,3.266,3.284
34.164,3.356,3.375
34.226,3.356,3.375
34.29,3.412,3.431
34.352,3.412,3.431
34.414,3.356,3.356
34.478,3.356,3.356
34.539,3.431,3.431
34.603,3.431,3.431
34.665,3.393,3.393
34.728,3.393,3.393
34.791,3.451,3.47
34.852,3.451,3.47
34.915,3.451,3.431
34.978,3.451,3.431
35.04,3.412,3.412
35.104,3.412,3.412
35.165,3.393,3.412
35.226,3.393,3.412
35.288,3.375,3.393
35.351,3.375,3.393
35.414,3.393,3.412
35.479,3.393,3.412
35.54,3.451,3.451
35.602,3.451,3.451
35.665,3.412,3.451
35.728,3.412,3.451
35.79,3.393,3.393
35.85,3.393,3.393
35.914,3.375,3.356
35.978,3.356,3.356
36.039,3.393,3.393
36.102,3.393,3.393
36.166,3.393,3.393
36.228,3.393,3.393
36.289,3.431,3.412
36.352,3.412,3.412
36.412,3.431,3.431
36.477,3.431,3.431
36.539,3.393,3.393
36.604,3.393,3.393
36.665,3.356,3.375
36.729,3.356,3.375
36.791,3.338,3.356
36.854,3.338,3.356
36.916,3.356,3.356
36.979,3.356,3.356
37.041,3.338,3.338
37.102,3.338,3.338
37.165,3.412,3.412
37.226,3.393,3.412
37.29,3.375,3.375
37.352,3.375,3.375
37.413,3.375,3.375
37.475,3.375,3.375
37.537,3.338,3.338
37.601,3.338,3.338
37.661,3.32,3.338
37.725,3.32,3.338
37.785,3.375,3.375
37.85,3.375,3.375
37.911,3.356,3.356
37.973,3.356,3.356
38.035,3.375,3.375
38.096,3.375,3.375
38.16,3.375,3.375
38.223,3.375,3.375
38.287,3.32,3.32
38.349,3.32,3.32
38.41,3.32,3.32
38.474,3.32,3.32
38.542,3.393,3.393
