time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
1.792,Weightlifting,Clean & Jerk,Front View,Setup,Detected,99.48,99.98,154.99,157.62,145.75,163.59,77.97,83.72,173.76,172.89,22.62,3.165,8.254,False,,,,,,,,,,,,,,,
1.856,Weightlifting,Clean & Jerk,Front View,Setup,Detected,94.76,99.98,151.65,157.54,151.2,164.11,80.46,83.32,173.76,173.56,18.43,3.165,8.254,False,,,,,,,,,,,,,,,
1.916,Weightlifting,Clean & Jerk,Front View,Setup,Detected,92.0,99.98,150.79,157.45,151.86,164.03,82.58,83.32,173.52,173.56,14.04,3.165,8.483,False,,,,,,,,,,,,,,,
1.978,Weightlifting,Clean & Jerk,Front View,Setup,Detected,99.17,96.94,152.39,157.78,147.83,157.65,77.64,86.69,174.09,173.56,24.44,3.148,8.483,False,,,,,,,,,,,,,,,
2.041,Weightlifting,Clean & Jerk,Front View,Setup,Detected,97.06,95.84,151.82,155.94,145.86,152.73,80.46,86.69,173.76,173.56,30.96,3.148,8.483,False,,,,,,,,,,,,,,,
2.105,Weightlifting,Clean & Jerk,Front View,Setup,Detected,92.47,89.25,154.19,156.59,146.81,152.73,86.46,92.85,173.76,175.82,40.6,3.148,8.483,False,,,,,,,,,,,,,,,
2.166,Weightlifting,Clean & Jerk,Front View,Setup,Detected,86.29,85.4,154.53,156.69,146.81,152.83,92.98,96.71,173.76,175.82,50.19,3.085,8.254,False,,,,,,,,,,,,,,,
2.23,Weightlifting,Clean & Jerk,Front View,Setup,Detected,92.81,85.07,154.53,156.37,148.05,151.01,86.14,96.71,174.09,175.82,45.0,3.085,8.254,False,,,,,,,,,,,,,,,
2.293,Weightlifting,Clean & Jerk,Front View,Setup,Detected,92.81,84.74,153.58,156.13,144.76,148.28,86.46,97.41,173.52,174.23,45.0,3.116,8.367,False,,,,,,,,,,,,,,,
2.356,Weightlifting,Clean & Jerk,Front View,Setup,Detected,99.21,91.59,155.05,155.42,145.84,151.1,80.46,89.85,173.52,173.95,33.69,3.132,8.367,False,,,,,,,,,,,,,,,
2.418,Weightlifting,Clean & Jerk,Front View,Setup,Detected,98.86,94.76,154.7,154.24,145.84,147.47,80.79,86.3,172.11,173.95,30.96,3.181,8.367,False,,,,,,,,,,,,,,,
2.48,Weightlifting,Clean & Jerk,Front View,Setup,Detected,94.78,97.49,153.35,156.2,143.72,151.1,83.39,84.02,172.11,175.52,21.8,3.181,8.367,False,,,,,,,,,,,,,,,
2.543,Weightlifting,Clean & Jerk,Front View,Setup,Detected,94.78,97.13,153.47,155.92,142.58,151.19,83.39,84.02,172.33,175.52,21.8,3.132,8.726,False,,,,,,,,,,,,,,,
2.603,Weightlifting,Clean & Jerk,Front View,Setup,Detected,74.64,92.6,153.0,154.34,142.13,150.4,102.16,87.76,172.11,175.52,18.43,3.132,8.726,False,,,,,,,,,,,,,,,
2.666,Weightlifting,Clean & Jerk,Front View,Setup,Detected,72.75,91.46,151.65,152.41,142.23,149.6,101.5,87.76,174.28,175.52,9.46,3.116,7.831,False,,,,,,,,,,,,,,,
2.73,Weightlifting,Clean & Jerk,Front View,Setup,Detected,80.8,95.2,154.06,152.3,142.13,149.49,96.72,84.02,172.23,175.52,14.04,3.132,7.831,False,,,,,,,,,,,,,,,
2.792,Weightlifting,Clean & Jerk,Front View,Setup,Detected,78.91,96.71,153.0,154.51,142.13,150.19,97.56,85.11,172.23,173.29,7.13,3.085,8.367,False,,,,,,,,,,,,,,,
2.863,Weightlifting,Clean & Jerk,Front View,Setup,Detected,80.98,95.6,151.55,153.39,142.13,150.19,94.36,84.02,171.89,176.66,0.0,3.085,8.367,False,,,,,,,,,,,,,,,
