time_s,athlete_depth_m,center_depth_m
0.024,3.733,7.288
0.111,3.733,7.288
0.2,3.71,7.288
0.281,3.71,7.288
0.377,3.71,7.202
0.466,3.71,7.202
0.562,3.733,7.202
0.654,3.733,7.202
0.732,3.756,7.749
0.813,3.733,7.749
0.905,3.756,7.288
0.983,3.756,7.288
1.078,3.756,7.466
1.173,3.756,7.466
1.268,3.733,7.558
1.365,3.733,7.558
1.452,3.756,7.749
1.531,3.756,7.749
1.625,3.779,7.652
1.721,3.779,7.652
1.814,3.733,7.849
1.893,3.733,7.849
1.99,3.756,8.055
2.077,3.756,8.055
2.156,3.756,7.749
2.238,3.756,7.749
2.326,3.779,7.466
2.406,3.802,7.466
2.482,3.779,7.951
2.564,3.779,7.951
2.649,3.756,7.558
2.738,3.756,7.558
2.827,3.802,7.558
2.911,3.802,7.558
3.0,3.756,7.558
3.097,3.756,7.558
3.186,3.71,8.055
3.265,3.71,8.055
3.361,3.802,7.951
3.453,3.802,7.951
3.531,3.756,7.376
3.623,3.756,7.376
3.702,3.802,7.749
3.78,3.802,7.749
3.859,3.802,7.749
3.938,3.802,7.749
4.03,3.826,7.849
4.124,3.826,7.849
4.216,3.802,7.749
4.307,3.802,7.749
4.387,3.802,7.288
4.47,3.802,7.288
4.566,3.826,7.558
4.659,3.85,7.558
4.75,3.802,7.466
4.844,3.802,7.466
4.934,3.802,7.749
5.024,3.802,7.749
5.106,3.826,7.749
5.198,3.826,7.749
5.292,3.802,8.163
5.372,3.802,8.163
5.463,3.756,7.652
5.544,3.756,7.652
5.64,3.802,8.273
5.727,3.802,8.273
5.809,3.779,7.749
5.901,3.779,7.749
5.98,3.756,7.652
6.074,3.756,7.652
6.167,3.802,7.652
6.245,3.802,7.652
6.324,3.756,7.118
6.405,3.756,7.118
6.498,3.779,7.558
6.591,3.779,7.558
6.667,3.756,7.652
6.747,3.756,7.652
6.84,3.779,7.466
6.917,3.779,7.466
7.013,3.802,7.202
7.107,3.802,7.202
7.197,3.779,7.037
7.292,3.779,7.037
7.382,3.802,7.466
7.476,3.802,7.466
7.567,3.826,7.376
7.659,3.826,7.376
7.749,3.756,7.466
7.829,3.756,7.466
7.907,3.779,7.558
7.985,3.779,7.558
8.074,3.826,7.118
8.158,3.85,7.118
8.248,3.85,7.037
8.329,3.85,7.037
8.407,3.826,7.849
8.485,3.826,7.849
8.566,3.802,7.466
8.66,3.802,7.466
8.753,3.826,7.652
8.845,3.826,7.652
8.937,3.779,7.849
9.031,3.756,7.849
9.123,3.85,7.466
9.218,3.85,7.466
9.308,3.826,7.951
9.391,3.826,7.951
9.485,3.826,7.466
9.574,3.826,7.466
9.657,3.826,7.652
9.748,3.826,7.652
9.829,3.826,8.163
9.922,3.826,8.163
10.016,3.875,7.466
10.106,3.875,7.466
10.181,3.802,7.118
10.261,3.802,7.118
10.356,3.756,7.652
10.449,3.756,7.652
10.538,3.826,7.558
10.623,3.826,7.558
10.712,3.85,7.558
10.807,3.85,7.558
10.9,3.875,7.951
10.979,3.875,7.951
11.06,3.826,7.951
11.154,3.826,7.951
11.249,3.85,7.466
11.343,3.85,7.466
11.436,3.826,7.652
11.526,3.826,7.652
11.605,3.826,7.749
11.699,3.826,7.749
11.793,3.826,7.558
11.886,3.826,7.558
11.977,3.802,7.849
12.059,3.826,7.849
12.15,3.85,8.163
12.243,3.85,8.163
12.341,3.826,7.202
12.442,3.826,7.202
12.542,3.85,7.749
12.639,3.85,7.749
12.736,3.85,7.951
12.826,3.85,7.951
12.921,3.826,7.652
13.01,3.826,7.652
13.105,3.826,7.202
13.194,3.826,7.202
13.273,3.85,8.055
13.354,3.85,8.055
13.448,3.826,7.951
13.543,3.826,7.951
13.633,3.802,8.055
13.713,3.802,8.055
13.807,3.826,7.749
13.885,3.826,7.749
13.979,3.802,7.288
14.07,3.802,7.288
14.165,3.779,7.288
14.259,3.779,7.288
14.353,3.779,7.376
14.446,3.779,7.376
14.542,3.756,7.652
14.641,3.756,7.652
14.728,3.779,7.951
14.819,3.779,7.951
14.911,3.826,7.849
14.991,3.826,7.849
15.082,3.802,8.055
15.161,3.802,8.055
15.242,3.756,7.466
15.335,3.756,7.466
15.415,3.779,7.466
15.495,3.779,7.466
15.585,3.85,7.749
15.664,3.85,7.749
15.756,3.802,7.558
15.836,3.802,7.558
15.929,3.779,7.849
16.008,3.779,7.849
16.104,3.826,7.951
16.195,3.826,7.951
16.277,3.899,7.558
16.372,3.899,7.558
16.463,3.875,7.288
16.54,3.875,7.288
16.62,3.779,7.652
16.715,3.779,7.652
16.806,3.85,7.466
16.886,3.85,7.466
16.964,3.85,7.951
17.041,3.85,7.951
17.137,3.85,7.849
17.227,3.85,7.849
17.308,3.826,7.849
17.4,3.826,7.849
17.491,3.756,7.466
17.574,3.756,7.466
17.666,3.802,6.957
17.759,3.802,6.957
17.852,3.826,7.652
17.944,3.826,7.652
18.026,3.802,7.558
18.119,3.802,7.558
18.214,3.826,7.652
18.309,3.826,7.652
18.403,3.826,7.466
18.496,3.826,7.466
18.575,3.779,7.466
18.66,3.779,7.466
18.751,3.802,8.055
18.84,3.802,8.055
18.919,3.826,7.466
19.013,3.826,7.466
19.104,3.802,7.951
19.201,3.802,7.951
19.294,3.826,7.466
19.388,3.826,7.466
19.481,3.779,7.652
19.577,3.779,7.652
19.669,3.802,7.652
19.758,3.802,7.652
19.851,3.826,7.652
19.953,3.826,7.652
20.038,3.779,7.558
20.131,3.779,7.558
20.21,3.779,7.558
20.3,3.779,7.558
20.382,3.826,7.951
20.477,3.826,7.951
20.569,3.802,7.749
20.663,3.802,7.749
20.758,3.779,7.288
20.848,3.779,7.288
20.93,3.802,7.652
21.022,3.802,7.652
21.116,3.875,7.652
21.211,3.875,7.652
21.304,3.826,7.037
21.395,3.826,7.037
21.49,3.826,7.652
21.587,3.826,7.652
21.678,3.779,8.055
21.771,3.779,8.055
21.862,3.875,7.558
21.945,3.875,7.558
22.049,3.802,7.849
22.126,3.802,7.849
22.213,3.826,7.652
22.302,3.826,7.652
22.405,3.779,7.037
22.497,3.779,7.037
22.599,3.802,7.376
22.702,3.802,7.376
22.792,3.756,7.849
22.894,3.756,7.849
22.995,3.875,8.386
23.099,3.875,8.386
23.194,3.826,8.055
23.288,3.826,8.055
23.382,3.826,7.749
23.472,3.826,7.749
23.57,3.779,7.466
23.663,3.779,7.466
23.757,3.756,7.558
23.86,3.779,7.558
23.966,3.779,8.055
24.054,3.779,8.055
24.14,3.756,8.055
24.239,3.779,8.055
24.337,3.802,7.288
24.428,3.802,7.288
24.52,3.85,7.749
24.613,3.85,7.749
24.705,3.826,7.849
24.8,3.826,7.849
24.896,3.85,7.951
24.989,3.85,7.951
25.083,3.802,7.466
25.177,3.802,7.466
25.268,3.802,7.849
25.363,3.802,7.849
25.457,3.826,7.652
25.55,3.826,7.652
25.648,3.733,7.288
25.74,3.733,7.288
25.836,3.779,7.558
25.933,3.779,7.558
26.035,3.779,7.288
26.131,3.779,7.288
26.23,3.779,7.749
26.32,3.779,7.749
26.41,3.802,7.652
26.511,3.802,7.652
26.602,3.802,8.163
26.699,3.802,8.163
26.781,3.779,7.288
26.888,3.802,7.288
26.977,3.802,7.376
27.07,3.802,7.376
27.162,3.756,8.273
27.255,3.756,8.273
27.351,3.756,7.652
27.442,3.756,7.652
27.53,3.826,7.466
27.625,3.826,7.466
27.723,3.779,7.466
27.815,3.779,7.466
27.907,3.756,8.055
27.999,3.756,8.055
28.089,3.779,7.376
28.189,3.779,7.376
28.28,3.802,7.118
28.372,3.802,7.118
28.472,3.733,7.849
28.56,3.733,7.849
28.653,3.802,7.749
28.751,3.802,7.749
28.843,3.779,7.849
28.941,3.779,7.849
29.031,3.779,7.749
29.126,3.779,7.749
29.212,3.779,7.652
29.312,3.779,7.652
29.408,3.779,7.558
29.495,3.779,7.558
29.585,3.779,7.849
29.669,3.779,7.849
29.774,3.779,7.376
29.869,3.779,7.376
29.967,3.756,7.466
30.059,3.779,7.466
30.155,3.756,7.202
30.25,3.756,7.202
30.341,3.756,7.652
30.438,3.756,7.652
30.528,3.779,7.849
30.629,3.779,7.849
30.721,3.779,7.558
30.81,3.779,7.558
30.91,3.756,7.376
31.001,3.756,7.376
31.089,3.756,7.288
31.186,3.756,7.288
31.283,3.756,7.288
31.366,3.756,7.288
31.462,3.71,7.466
31.558,3.733,7.466
31.645,3.802,7.118
31.727,3.802,7.118
31.82,3.756,7.749
31.912,3.756,7.749
32.005,3.756,8.055
32.103,3.756,8.055
32.192,3.756,7.652
32.286,3.756,7.652
32.386,3.802,7.288
32.48,3.802,7.288
32.572,3.756,7.849
32.662,3.756,7.849
32.76,3.756,7.466
32.849,3.756,7.466
32.946,3.756,7.118
33.042,3.756,7.118
33.134,3.71,7.376
33.23,3.71,7.376
33.322,3.779,8.055
33.41,3.779,8.055
33.508,3.756,7.466
33.598,3.756,7.466
33.69,3.756,7.558
33.767,3.756,7.558
33.849,3.756,7.749
33.944,3.756,7.749
34.032,3.756,7.466
34.126,3.756,7.466
34.22,3.756,7.466
34.299,3.756,7.466
34.388,3.756,7.652
34.499,3.756,7.652
34.6,3.802,7.376
34.704,3.802,7.376
34.799,3.733,7.376
34.893,3.733,7.376
34.983,3.756,7.558
35.073,3.756,7.558
35.151,3.756,7.466
35.231,3.756,7.466
35.325,3.756,7.558
35.427,3.779,7.558
35.509,3.756,7.037
35.59,3.756,7.037
35.68,3.733,7.749
35.758,3.733,7.749
35.839,3.733,7.037
35.928,3.733,7.037
36.008,3.756,7.749
36.098,3.756,7.749
36.176,3.733,7.652
36.261,3.733,7.652
36.352,3.756,7.652
36.446,3.756,7.652
36.538,3.733,7.558
36.638,3.733,7.558
36.727,3.733,7.558
36.82,3.733,7.558
36.911,3.733,7.652
37.005,3.733,7.652
37.097,3.756,7.951
37.191,3.756,7.951
37.286,3.756,7.652
37.382,3.756,7.652
37.474,3.733,7.288
37.563,3.733,7.288
37.659,3.756,7.951
37.748,3.756,7.951
37.839,3.733,7.558
37.936,3.733,7.558
38.03,3.733,7.849
38.124,3.733,7.849
38.217,3.756,8.055
38.296,3.756,8.055
38.373,3.733,7.558
38.452,3.733,7.558
38.532,3.733,7.652
38.615,3.733,7.652
38.704,3.71,7.652
38.799,3.71,7.652
38.901,3.733,7.376
38.984,3.733,7.376
39.082,3.756,8.055
39.176,3.756,8.055
39.274,3.733,7.376
39.361,3.733,7.376
39.458,3.733,7.466
39.55,3.733,7.466
39.644,3.733,7.288
39.735,3.733,7.288
39.831,3.756,7.849
39.922,3.756,7.849
40.003,3.733,7.376
40.092,3.733,7.376
40.17,3.756,7.466
40.25,3.756,7.466
40.342,3.779,7.652
40.423,3.779,7.652
40.519,3.733,7.749
40.614,3.733,7.749
40.715,3.71,7.652
40.795,3.71,7.652
40.89,3.756,7.749
40.984,3.756,7.749
41.079,3.71,8.055
41.17,3.71,8.055
41.266,3.71,7.558
41.356,3.71,7.558
41.449,3.733,7.652
41.529,3.733,7.652
41.62,3.733,7.376
41.701,3.733,7.376
41.792,3.756,8.055
41.875,3.733,8.055
41.963,3.733,7.037
42.061,3.733,7.037
42.151,3.71,7.749
42.242,3.71,7.749
42.34,3.756,7.652
42.432,3.756,7.652
42.513,3.733,7.849
42.608,3.733,7.849
42.697,3.71,7.558
42.777,3.71,7.558
42.873,3.756,7.652
42.967,3.756,7.652
43.059,3.756,8.055
43.151,3.756,8.055
43.242,3.71,7.749
43.337,3.71,7.749
43.444,3.71,7.466
43.542,3.71,7.466
43.648,3.756,7.749
43.731,3.756,7.749
43.824,3.756,7.749
43.918,3.756,7.749
44.008,3.756,8.055
44.103,3.756,8.055
44.195,3.733,7.652
44.287,3.733,7.652
44.381,3.71,7.376
44.471,3.71,7.376
44.552,3.756,7.951
44.644,3.756,7.951
44.736,3.71,7.849
44.816,3.71,7.849
44.908,3.756,7.376
44.987,3.756,7.376
45.079,3.733,7.849
45.16,3.756,7.849
45.253,3.733,7.749
45.346,3.733,7.749
45.443,3.756,7.466
45.532,3.756,7.466
45.629,3.733,7.749
45.726,3.733,7.749
45.822,3.756,7.466
45.909,3.756,7.466
46.001,3.756,7.652
46.097,3.756,7.652
46.191,3.756,7.466
46.288,3.756,7.466
46.379,3.756,7.466
46.474,3.756,7.466
46.569,3.733,7.558
46.658,3.733,7.558
46.747,3.733,7.376
46.829,3.733,7.376
46.923,3.756,7.849
47.016,3.756,7.849
47.11,3.756,8.503
47.206,3.733,8.503
47.299,3.733,7.849
47.392,3.733,7.849
47.485,3.756,6.957
47.579,3.756,6.957
47.671,3.71,7.376
47.768,3.71,7.376
47.859,3.733,8.163
47.952,3.733,8.163
48.047,3.756,7.466
48.14,3.756,7.466
48.233,3.756,7.558
48.326,3.756,7.558
48.421,3.756,7.849
48.514,3.756,7.849
48.606,3.756,7.652
48.699,3.756,7.652
48.793,3.733,8.273
48.886,3.733,8.273
48.978,3.71,7.951
49.058,3.71,7.951
49.15,3.756,7.558
49.231,3.733,7.558
49.325,3.71,8.055
49.416,3.71,8.055
49.511,3.733,6.957
49.593,3.733,6.957
49.684,3.733,8.055
49.772,3.733,8.055
49.856,3.733,7.466
49.947,3.733,7.466
50.041,3.71,7.376
50.136,3.71,7.376
50.23,3.756,7.466
50.329,3.756,7.466
50.413,3.71,7.652
50.493,3.71,7.652
50.587,3.733,7.202
50.683,3.733,7.202
50.773,3.756,7.376
50.852,3.756,7.376
50.932,3.688,7.951
51.024,3.688,7.951
51.121,3.71,7.951
51.214,3.71,7.951
51.303,3.71,7.202
51.398,3.71,7.202
51.489,3.71,7.037
51.578,3.71,7.037
51.658,3.71,7.376
51.756,3.71,7.376
51.846,3.733,7.951
51.943,3.733,7.951
52.037,3.733,7.652
52.128,3.733,7.652
52.222,3.71,7.849
52.314,3.71,7.849
52.403,3.756,7.849
52.499,3.756,7.849
52.593,3.756,7.118
52.684,3.756,7.118
52.777,3.71,7.202
52.856,3.71,7.202
52.95,3.733,7.466
53.047,3.71,7.466
53.135,3.71,7.849
53.231,3.71,7.849
53.321,3.756,7.951
53.401,3.756,7.951
53.492,3.733,7.466
53.588,3.733,7.466
53.686,3.71,7.376
53.772,3.71,7.376
53.851,3.733,7.652
53.948,3.733,7.652
54.04,3.733,8.055
54.133,3.733,8.055
54.227,3.756,7.652
54.322,3.756,7.652
54.414,3.71,7.652
54.493,3.71,7.652
54.588,3.733,7.466
54.681,3.733,7.466
54.773,3.733,7.558
54.869,3.733,7.558
54.959,3.756,8.055
55.06,3.756,8.055
55.145,3.756,7.558
55.24,3.779,7.558
55.333,3.779,7.652
55.427,3.802,7.652
55.523,3.756,7.749
55.616,3.756,7.749
55.707,3.756,7.288
55.799,3.779,7.288
55.892,3.733,7.288
55.971,3.733,7.288
56.049,3.779,7.202
56.142,3.779,7.202
56.238,3.756,7.376
56.331,3.756,7.376
56.423,3.802,7.849
56.517,3.802,7.849
56.61,3.756,7.558
56.703,3.756,7.558
56.795,3.779,7.466
56.874,3.779,7.466
56.952,3.779,7.288
57.044,3.802,7.288
57.124,3.779,7.376
57.219,3.779,7.376
57.31,3.779,7.466
57.403,3.802,7.466
57.496,3.802,7.376
57.589,3.802,7.376
57.681,3.826,7.749
57.764,3.826,7.749
57.855,3.802,7.558
57.948,3.802,7.558
58.027,3.826,7.288
58.108,3.85,7.288
58.199,3.85,7.376
58.295,3.826,7.376
58.388,3.826,7.652
58.487,3.826,7.652
58.579,3.802,7.951
58.675,3.802,7.951
58.77,3.802,7.951
58.863,3.802,7.951
58.95,3.756,7.288
59.031,3.666,7.288
59.124,3.601,7.466
59.217,3.58,7.466
59.312,3.382,7.652
59.407,3.58,7.652
59.502,3.459,7.951
59.591,3.401,7.951
59.687,3.309,7.288
59.779,3.291,7.288
59.873,3.256,7.558
59.967,3.239,7.558
60.055,3.108,7.558
60.14,3.156,7.558
60.229,3.076,7.558
60.307,3.123,7.558
60.39,3.076,7.466
60.483,3.123,7.466
60.574,3.076,7.558
60.654,3.061,7.558
60.745,3.156,7.288
60.828,3.123,7.288
60.919,3.061,7.652
61.012,3.076,7.652
61.104,3.156,7.951
61.201,3.156,7.951
61.291,3.256,7.652
61.374,3.205,7.652
61.465,3.291,7.466
