metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,66.96,29.1,180.0,898
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,102.808,46.98,175.31,834
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,113.099,79.14,135.26,834
right_shoulder_angle_deg,73.956,1.31,179.94,863
right_elbow_angle_deg,144.792,3.58,180.0,826
trunk_lean_angle_deg,57.842,0.0,101.78,898
athlete_depth_m,3.789,3.061,4.281,898
center_depth_m,7.608,6.957,8.503,899
barbell_horizontal_displacement_px,14.084,-7.0,43.0,285
barbell_vertical_displacement_px,240.4,0.0,323.0,285
barbell_vertical_velocity_px_s,11.022,-12.72,95.93,285
barbell_horizontal_velocity_px_s,2.001,-38.14,62.19,285
barbell_horizontal_displacement_m,0.069,-0.037,0.228,285
barbell_vertical_displacement_m,1.272,-0.0,1.71,285
barbell_vertical_velocity_m_s,0.063,-0.147,0.489,285
barbell_horizontal_velocity_m_s,0.008,-0.342,0.393,285
