time_s,athlete_depth_m,center_depth_m
0.074,3.779,7.558
0.17,3.779,7.558
0.262,3.733,7.288
0.35,3.733,7.288
0.443,3.802,7.849
0.523,3.802,7.849
0.601,3.756,7.652
0.698,3.756,7.652
0.787,3.756,7.376
0.878,3.756,7.376
0.959,3.756,7.951
1.036,3.756,7.951
1.129,3.71,7.951
1.204,3.71,7.951
1.283,3.756,7.849
1.361,3.733,7.849
1.451,3.71,7.466
1.538,3.71,7.466
1.616,3.802,7.652
1.696,3.802,7.652
1.791,3.733,7.288
1.888,3.733,7.288
1.98,3.71,7.288
2.075,3.71,7.288
2.17,3.71,7.202
2.263,3.71,7.202
2.359,3.733,7.202
2.451,3.733,7.202
2.543,3.756,7.749
2.63,3.733,7.749
2.72,3.756,7.288
2.813,3.756,7.288
2.893,3.756,7.466
2.985,3.756,7.466
3.071,3.733,7.558
3.166,3.733,7.558
3.258,3.756,7.749
3.357,3.756,7.749
3.457,3.779,7.652
3.557,3.779,7.652
3.667,3.733,7.849
3.781,3.733,7.849
3.902,3.756,8.055
4.008,3.756,8.055
4.122,3.756,7.749
4.229,3.756,7.749
4.334,3.779,7.466
4.43,3.802,7.466
4.534,3.779,7.951
4.636,3.779,7.951
4.757,3.756,7.558
4.858,3.756,7.558
4.964,3.802,7.558
5.061,3.802,7.558
5.157,3.756,7.558
5.266,3.756,7.558
5.373,3.71,8.055
5.469,3.71,8.055
5.563,3.802,7.951
5.672,3.802,7.951
5.78,3.756,7.376
5.887,3.756,7.376
5.997,3.802,7.749
6.103,3.802,7.749
6.215,3.802,7.749
6.314,3.802,7.749
6.434,3.826,7.849
6.544,3.826,7.849
6.657,3.802,7.749
6.763,3.802,7.749
6.874,3.802,7.288
6.986,3.802,7.288
7.085,3.826,7.558
7.182,3.85,7.558
7.278,3.802,7.466
7.373,3.802,7.466
7.47,3.802,7.749
7.558,3.802,7.749
7.65,3.826,7.749
7.748,3.826,7.749
7.846,3.802,8.163
7.939,3.802,8.163
8.03,3.756,7.652
8.127,3.756,7.652
8.217,3.802,8.273
8.3,3.802,8.273
8.389,3.779,7.749
8.483,3.779,7.749
8.567,3.756,7.652
8.66,3.756,7.652
8.761,3.802,7.652
8.853,3.802,7.652
8.951,3.756,7.118
9.047,3.756,7.118
9.15,3.779,7.558
9.249,3.779,7.558
9.347,3.756,7.652
9.437,3.756,7.652
9.533,3.779,7.466
9.631,3.779,7.466
9.723,3.802,7.202
9.831,3.802,7.202
9.93,3.779,7.037
10.023,3.779,7.037
10.126,3.802,7.466
10.232,3.802,7.466
10.319,3.826,7.376
10.414,3.826,7.376
10.511,3.756,7.466
10.6,3.756,7.466
10.707,3.779,7.558
10.815,3.779,7.558
