sport,exercise,camera_view,input_mode,phase,start_time_s,end_time_s,duration_s,sample_count,left_hip_angle_mean_deg,left_hip_angle_min_deg,left_hip_angle_max_deg,left_hip_angle_range_deg,right_hip_angle_mean_deg,right_hip_angle_min_deg,right_hip_angle_max_deg,right_hip_angle_range_deg,left_knee_angle_mean_deg,left_knee_angle_min_deg,left_knee_angle_max_deg,left_knee_angle_range_deg,right_knee_angle_mean_deg,right_knee_angle_min_deg,right_knee_angle_max_deg,right_knee_angle_range_deg,left_ankle_angle_mean_deg,left_ankle_angle_min_deg,left_ankle_angle_max_deg,left_ankle_angle_range_deg,right_ankle_angle_mean_deg,right_ankle_angle_min_deg,right_ankle_angle_max_deg,right_ankle_angle_range_deg,left_shoulder_angle_mean_deg,left_shoulder_angle_min_deg,left_shoulder_angle_max_deg,right_shoulder_angle_mean_deg,right_shoulder_angle_min_deg,right_shoulder_angle_max_deg,left_elbow_angle_mean_deg,left_elbow_angle_min_deg,left_elbow_angle_max_deg,right_elbow_angle_mean_deg,right_elbow_angle_min_deg,right_elbow_angle_max_deg,trunk_lean_angle_mean_deg,trunk_lean_angle_min_deg,trunk_lean_angle_max_deg,trunk_lean_angle_range_deg,barbell_vertical_displacement_mean_px,barbell_vertical_displacement_min_px,barbell_vertical_displacement_max_px,barbell_vertical_displacement_range_px,barbell_horizontal_displacement_mean_px,barbell_horizontal_displacement_min_px,barbell_horizontal_displacement_max_px,barbell_horizontal_displacement_range_px,barbell_vertical_velocity_mean_px_s,barbell_vertical_velocity_max_abs_px_s,barbell_horizontal_velocity_mean_px_s,barbell_horizontal_velocity_max_abs_px_s,barbell_vertical_displacement_mean_m,barbell_vertical_displacement_min_m,barbell_vertical_displacement_max_m,barbell_vertical_displacement_range_m,barbell_horizontal_displacement_mean_m,barbell_horizontal_displacement_min_m,barbell_horizontal_displacement_max_m,barbell_horizontal_displacement_range_m,barbell_vertical_velocity_mean_m_s,barbell_vertical_velocity_max_abs_m_s,barbell_horizontal_velocity_mean_m_s,barbell_horizontal_velocity_max_abs_m_s,athlete_depth_mean_m,athlete_depth_min_m,athlete_depth_max_m,center_depth_mean_m,center_depth_min_m,center_depth_max_m
Weightlifting,Snatch,Side View,RealSense Bag File,Deadlift Phase,65.412,67.52,2.108,22,,,,,57.4964,46.92,77.85,30.93,,,,,93.5559,71.15,110.52,39.37,,,,,107.7882,93.91,115.9,21.99,,,,36.9432,25.29,43.37,,,,153.0662,146.2,161.08,56.8932,47.77,60.91,13.14,21.0455,0.0,47.0,47.0,2.0455,0.0,3.0,3.0,22.3936,67.08,-0.0241,20.79,0.1028,-0.0,0.2348,0.2348,0.0062,-0.0052,0.0156,0.0208,0.1154,0.2794,-0.0017,0.1435,3.8003,3.756,3.85,7.4864,7.288,7.849
Weightlifting,Snatch,Side View,RealSense Bag File,Jump Phase,67.613,73.471,5.858,65,,,,,109.7542,65.96,147.46,81.5,,,,,133.193,101.64,167.63,65.99,,,,,113.673,88.06,135.26,47.2,,,,72.1348,1.31,145.58,,,,118.77,118.77,118.77,34.0155,0.68,54.01,53.33,153.0625,47.0,248.0,201.0,16.8281,-9.0,41.0,50.0,34.303,99.95,5.3739,53.46,0.7953,0.2378,1.2912,1.0534,0.0898,-0.0524,0.2128,0.2652,0.1801,0.4582,0.0295,0.3976,3.5233,3.061,4.281,7.5742,7.118,8.055
Weightlifting,Snatch,Side View,RealSense Bag File,Catch Phase,73.561,74.667,1.106,13,,,,,106.2215,98.56,113.53,14.97,,,,,105.4038,99.65,110.26,10.61,,,,,108.7,104.6,111.28,6.68,,,,163.7162,145.77,176.74,,,,121.1454,103.56,138.96,23.1208,17.34,26.71,9.37,250.0769,249.0,251.0,2.0,23.8462,19.0,29.0,10.0,0.7169,20.68,-10.89,31.01,1.3014,1.2964,1.3069,0.0105,0.1203,0.0944,0.1487,0.0543,0.0042,0.0814,-0.0575,0.1466,3.892,3.875,3.95,7.4565,7.037,7.749
Weightlifting,Snatch,Side View,RealSense Bag File,Overhead Squat Phase,74.75,89.509,14.759,164,100.59,98.3,104.54,6.24,149.6415,94.57,180.0,85.43,103.366,101.2,108.19,6.99,148.1296,97.13,173.98,76.85,111.082,106.71,113.27,6.56,111.7811,103.2,121.24,18.04,,,,163.7701,116.57,179.94,,,,150.6403,3.58,180.0,13.6611,0.0,29.66,29.66,291.5366,248.0,311.0,63.0,10.6707,4.0,21.0,17.0,2.5776,39.14,0.8116,21.24,1.5374,1.2886,1.639,0.3504,0.0406,0.0081,0.0923,0.0842,0.0182,0.2079,0.0018,0.1132,3.9334,3.826,4.028,7.6075,7.037,8.273
