metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,64.643,29.1,180.0,905
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,101.811,46.98,173.98,840
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,113.201,79.14,135.26,840
right_shoulder_angle_deg,73.073,1.31,179.94,870
right_elbow_angle_deg,145.127,3.58,180.0,833
trunk_lean_angle_deg,59.606,0.0,101.78,905
athlete_depth_m,3.786,3.061,4.281,905
center_depth_m,7.61,6.957,8.503,906
barbell_horizontal_displacement_px,12.099,-9.0,41.0,263
barbell_vertical_displacement_px,233.163,0.0,311.0,263
barbell_vertical_velocity_px_s,11.863,-13.19,99.95,263
barbell_horizontal_velocity_px_s,1.273,-31.31,53.46,263
barbell_horizontal_displacement_m,0.054,-0.052,0.213,263
barbell_vertical_displacement_m,1.225,-0.0,1.639,263
barbell_vertical_velocity_m_s,0.065,-0.144,0.458,263
barbell_horizontal_velocity_m_s,0.005,-0.398,0.341,263
