metric,mean,min,max,valid_samples
left_hip_angle_deg,170.338,98.3,180.0,202
right_hip_angle_deg,110.794,30.9,180.0,1024
left_knee_angle_deg,174.043,101.2,180.0,202
right_knee_angle_deg,126.755,46.98,179.97,971
left_ankle_angle_deg,131.807,80.32,176.04,202
right_ankle_angle_deg,118.951,61.57,178.62,971
left_shoulder_angle_deg,25.752,11.61,33.82,148
right_shoulder_angle_deg,60.363,0.06,179.94,983
left_elbow_angle_deg,105.474,55.71,179.53,148
right_elbow_angle_deg,138.205,3.58,180.0,878
trunk_lean_angle_deg,29.967,0.0,95.71,1024
athlete_depth_m,3.815,3.061,4.311,1024
center_depth_m,7.606,6.957,8.503,1023
