metric,mean,min,max,valid_samples
left_hip_angle_deg,109.349,49.9,178.91,129
right_hip_angle_deg,113.583,64.1,177.63,129
left_knee_angle_deg,131.696,10.01,179.73,129
right_knee_angle_deg,124.314,12.53,178.18,129
left_ankle_angle_deg,140.753,14.35,179.79,129
right_ankle_angle_deg,144.974,10.44,179.81,129
left_shoulder_angle_deg,60.98,34.7,86.79,23
right_shoulder_angle_deg,59.607,2.17,114.1,129
left_elbow_angle_deg,152.176,129.13,179.1,14
right_elbow_angle_deg,153.869,17.46,179.82,126
trunk_lean_angle_deg,23.258,1.93,40.77,129
