sport,exercise,camera_view,input_mode,phase,start_time_s,end_time_s,duration_s,sample_count,left_hip_angle_mean_deg,left_hip_angle_min_deg,left_hip_angle_max_deg,left_hip_angle_range_deg,right_hip_angle_mean_deg,right_hip_angle_min_deg,right_hip_angle_max_deg,right_hip_angle_range_deg,left_knee_angle_mean_deg,left_knee_angle_min_deg,left_knee_angle_max_deg,left_knee_angle_range_deg,right_knee_angle_mean_deg,right_knee_angle_min_deg,right_knee_angle_max_deg,right_knee_angle_range_deg,left_ankle_angle_mean_deg,left_ankle_angle_min_deg,left_ankle_angle_max_deg,left_ankle_angle_range_deg,right_ankle_angle_mean_deg,right_ankle_angle_min_deg,right_ankle_angle_max_deg,right_ankle_angle_range_deg,left_shoulder_angle_mean_deg,left_shoulder_angle_min_deg,left_shoulder_angle_max_deg,right_shoulder_angle_mean_deg,right_shoulder_angle_min_deg,right_shoulder_angle_max_deg,left_elbow_angle_mean_deg,left_elbow_angle_min_deg,left_elbow_angle_max_deg,right_elbow_angle_mean_deg,right_elbow_angle_min_deg,right_elbow_angle_max_deg,trunk_lean_angle_mean_deg,trunk_lean_angle_min_deg,trunk_lean_angle_max_deg,trunk_lean_angle_range_deg,barbell_vertical_displacement_mean_px,barbell_vertical_displacement_min_px,barbell_vertical_displacement_max_px,barbell_vertical_displacement_range_px,barbell_horizontal_displacement_mean_px,barbell_horizontal_displacement_min_px,barbell_horizontal_displacement_max_px,barbell_horizontal_displacement_range_px,barbell_vertical_velocity_mean_px_s,barbell_vertical_velocity_max_abs_px_s,barbell_horizontal_velocity_mean_px_s,barbell_horizontal_velocity_max_abs_px_s,barbell_vertical_displacement_mean_m,barbell_vertical_displacement_min_m,barbell_vertical_displacement_max_m,barbell_vertical_displacement_range_m,barbell_horizontal_displacement_mean_m,barbell_horizontal_displacement_min_m,barbell_horizontal_displacement_max_m,barbell_horizontal_displacement_range_m,barbell_vertical_velocity_mean_m_s,barbell_vertical_velocity_max_abs_m_s,barbell_horizontal_velocity_mean_m_s,barbell_horizontal_velocity_max_abs_m_s,athlete_depth_mean_m,athlete_depth_min_m,athlete_depth_max_m,center_depth_mean_m,center_depth_min_m,center_depth_max_m
Sprinting,Sprinting,Side View,Side-view Video File,Flight / Swing,0.01,7.454,7.444,65,99.1441,49.99,178.26,128.27,119.1092,64.1,177.63,113.53,147.3831,50.78,179.73,128.95,146.2151,12.53,177.99,165.46,144.0944,14.35,179.79,165.44,157.1617,10.44,179.81,169.37,64.5475,34.7,86.79,62.9873,2.17,110.19,147.7411,129.13,179.1,153.0307,17.46,179.82,23.0708,1.93,38.35,36.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprinting,Sprinting,Side View,Side-view Video File,Initial Contact,0.515,6.51,5.995,23,115.2741,56.58,161.0,104.42,94.9964,75.92,108.36,32.44,121.1177,45.59,179.65,134.06,86.0095,24.86,160.73,135.87,129.3036,51.71,176.2,124.49,117.6236,85.03,156.42,71.39,,,,37.0905,9.47,66.67,,,,159.8586,65.85,179.31,21.0209,15.0,28.89,13.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprinting,Sprinting,Side View,Side-view Video File,Toe-Off,0.616,7.246,6.63,28,105.7943,49.9,166.8,116.9,129.3114,71.24,165.2,93.96,120.0562,30.47,176.48,146.01,131.3986,36.73,176.87,140.14,144.3362,44.24,177.61,133.37,152.2871,91.48,179.7,88.22,52.972,43.69,70.24,56.101,11.16,110.11,157.2875,137.85,169.01,148.2143,102.58,174.11,24.6762,9.32,40.77,31.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprinting,Sprinting,Side View,Side-view Video File,Support Phase,0.92,6.714,5.794,30,129.5867,61.84,178.91,117.07,104.4207,66.32,170.82,104.5,115.0911,10.01,179.29,169.28,102.1581,21.18,178.18,157.0,139.9956,96.9,179.79,82.89,134.9404,102.53,170.07,67.54,52.465,42.43,62.5,73.2922,16.45,114.1,171.64,171.64,171.64,155.5672,121.23,177.66,24.3885,17.63,29.88,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
