time_s,athlete_depth_m,center_depth_m
19.002,3.198,8.603
19.08,3.198,8.603
19.166,3.132,8.144
19.233,3.132,8.144
19.301,3.132,8.144
19.381,3.132,8.144
19.453,3.165,8.254
19.514,3.165,8.254
19.578,3.198,8.367
19.637,3.198,8.367
19.7,3.165,8.254
19.767,3.165,8.254
19.832,3.198,8.144
19.912,3.215,8.144
19.983,3.132,7.932
20.047,3.132,7.932
20.107,3.215,8.367
20.173,3.198,8.367
20.251,3.148,8.254
20.325,3.148,8.254
20.386,3.198,8.603
20.452,3.198,8.603
20.511,3.181,8.852
20.574,3.198,8.852
20.637,3.148,8.982
20.697,3.148,8.982
20.766,3.215,8.483
20.842,3.215,8.483
20.906,3.165,8.254
20.983,3.198,8.254
21.043,3.198,8.726
21.104,3.181,8.726
21.17,3.148,8.254
21.232,3.148,8.254
21.304,3.165,8.852
21.372,3.165,8.852
21.432,3.132,8.367
21.492,3.132,8.367
21.558,3.116,8.603
21.641,3.116,8.603
21.712,3.132,8.254
21.777,3.132,8.254
21.856,3.165,8.254
21.932,3.165,8.254
22.01,3.132,8.852
22.07,3.116,8.852
22.138,3.215,8.037
22.212,3.198,8.037
22.274,3.116,8.367
22.354,3.116,8.367
22.426,3.116,8.726
22.506,3.132,8.726
22.576,3.085,8.726
22.649,3.085,8.726
22.71,3.132,8.254
22.772,3.132,8.254
22.838,3.101,8.254
22.899,3.101,8.254
22.984,3.069,8.726
23.055,3.069,8.726
23.116,3.054,8.144
23.177,3.054,8.144
23.242,3.085,8.603
23.311,3.085,8.603
23.392,3.085,8.037
23.462,3.085,8.037
23.524,3.085,8.144
23.612,3.085,8.144
23.684,3.069,8.603
23.776,3.069,8.603
23.838,2.98,8.144
23.915,2.98,8.144
23.981,3.069,8.367
24.056,3.069,8.367
24.132,3.069,8.603
24.21,3.085,8.603
24.291,3.069,8.483
24.363,3.054,8.483
24.424,3.054,8.254
24.487,3.054,8.254
24.568,3.039,8.144
24.645,3.054,8.144
24.705,3.132,8.037
24.772,3.132,8.037
24.854,3.148,8.603
24.928,3.148,8.603
25.01,3.085,8.852
25.083,3.069,8.852
25.161,3.069,8.483
25.242,3.085,8.483
25.32,2.994,8.254
25.404,2.994,8.254
25.474,3.116,8.726
25.537,3.116,8.726
25.595,3.085,8.603
25.66,3.101,8.603
25.724,3.039,9.116
25.805,3.039,9.116
25.883,3.039,8.144
25.958,3.039,8.144
26.018,3.085,8.852
26.081,3.085,8.852
26.145,3.024,8.483
26.225,3.024,8.483
26.304,3.039,8.254
26.378,3.039,8.254
26.439,3.101,8.144
26.522,3.101,8.144
26.596,3.024,8.982
26.682,3.054,8.982
26.753,3.085,8.254
26.811,3.148,8.254
26.878,3.198,8.254
26.956,3.215,8.254
27.016,3.249,8.483
27.093,3.249,8.483
27.161,3.215,7.359
27.234,3.215,7.359
27.296,3.266,4.926
27.358,3.266,4.926
27.42,3.249,3.941
27.486,3.266,3.941
27.546,3.32,3.375
27.606,3.338,3.375
27.672,3.375,3.32
27.754,3.393,3.32
27.827,3.356,3.101
27.888,3.375,3.101
27.953,3.393,3.069
28.032,3.412,3.069
28.092,3.451,3.116
28.154,3.451,3.116
28.218,3.451,3.249
28.281,3.47,3.249
28.357,3.531,3.284
28.439,3.531,3.284
28.514,3.431,3.165
28.592,3.412,3.165
28.673,3.49,3.284
28.747,3.49,3.284
28.809,3.451,3.215
28.872,3.431,3.215
28.933,3.451,3.116
28.994,3.451,3.116
29.057,3.451,3.116
29.119,3.451,3.116
29.181,3.412,3.181
29.242,3.393,3.181
29.309,3.375,3.054
29.369,3.375,3.054
29.434,3.338,3.101
29.494,3.338,3.101
29.556,3.266,3.116
29.62,3.284,3.116
29.683,3.302,3.116
29.744,3.302,3.116
29.828,3.302,3.116
29.903,3.302,3.116
29.975,3.249,3.132
30.044,3.249,3.132
30.124,3.284,3.085
30.198,3.284,3.085
30.262,3.266,3.085
30.341,3.266,3.085
30.422,3.266,3.101
30.492,3.266,3.101
30.554,3.302,3.116
30.621,3.32,3.116
30.693,3.249,3.165
30.753,3.249,3.165
30.815,3.249,3.101
30.879,3.249,3.101
30.942,3.266,3.148
31.007,3.266,3.148
31.066,3.284,3.148
31.135,3.284,3.148
31.212,3.266,3.085
31.295,3.266,3.085
31.365,3.32,3.101
31.446,3.32,3.101
31.505,3.266,3.181
31.572,3.266,3.181
31.631,3.32,3.165
31.694,3.32,3.165
31.761,3.338,3.181
31.837,3.338,3.181
31.915,3.284,3.148
31.998,3.284,3.148
32.07,3.338,3.181
32.148,3.338,3.181
32.235,3.32,3.148
32.308,3.32,3.148
32.381,3.284,3.132
32.444,3.284,3.132
32.525,3.338,3.198
32.598,3.356,3.198
32.66,3.356,3.181
32.724,3.356,3.181
32.785,3.302,3.132
32.846,3.302,3.132
32.911,3.32,3.198
32.97,3.338,3.198
33.035,3.302,3.165
33.118,3.338,3.165
33.19,3.232,3.232
33.253,3.249,3.232
33.32,3.266,3.232
33.397,3.284,3.232
33.456,3.451,3.215
33.521,3.451,3.215
33.598,3.356,3.215
33.663,3.375,3.215
33.737,3.47,3.232
33.803,3.47,3.232
33.876,3.375,3.249
33.938,3.393,3.249
34.001,3.375,3.249
34.068,3.393,3.249
34.128,3.266,3.266
34.189,3.284,3.266
34.254,3.284,3.266
34.318,3.302,3.266
34.38,3.375,3.266
34.443,3.375,3.266
34.507,3.32,3.32
34.59,3.375,3.32
34.664,3.412,3.302
34.747,3.431,3.302
34.822,3.375,3.338
34.905,3.412,3.338
34.977,3.32,3.32
35.051,3.356,3.32
35.113,3.302,3.302
35.177,3.32,3.302
35.255,3.375,3.266
35.332,3.393,3.266
35.396,3.338,3.356
35.465,3.338,3.356
35.54,3.338,3.266
35.618,3.338,3.266
35.713,3.284,3.375
35.785,3.284,3.375
35.854,3.338,3.412
35.922,3.338,3.412
35.99,3.338,3.51
36.051,3.32,3.51
36.115,3.338,3.451
36.192,3.356,3.451
36.251,3.302,3.356
36.316,3.302,3.356
36.377,3.338,3.356
36.455,3.338,3.356
36.533,3.375,3.356
36.61,3.375,3.356
36.669,3.32,3.302
36.74,3.32,3.302
36.817,3.302,3.32
36.893,3.302,3.32
36.968,3.284,3.32
37.033,3.284,3.32
37.097,3.338,3.356
37.172,3.338,3.356
37.254,3.51,3.572
37.333,3.451,3.572
37.415,3.614,3.68
37.486,3.593,3.68
37.565,3.657,3.724
37.645,3.657,3.724
37.704,3.702,3.614
37.767,3.702,3.614
37.832,3.593,3.572
37.894,3.593,3.572
37.961,3.451,3.249
38.042,3.451,3.249
38.119,3.572,3.47
38.195,3.572,3.47
38.255,3.68,3.68
38.324,3.68,3.68
38.4,3.77,3.593
38.475,3.702,3.593
38.535,3.593,3.51
38.6,3.51,3.51
38.676,3.451,3.47
38.753,3.431,3.47
38.818,3.593,3.593
38.898,3.551,3.593
38.974,3.702,3.636
39.032,3.68,3.636
39.097,3.531,3.551
39.158,3.572,3.551
39.219,3.356,3.451
39.283,3.356,3.451
39.344,3.356,3.47
39.411,3.356,3.47
39.493,3.393,3.412
39.573,3.375,3.412
39.645,3.393,3.47
39.73,3.393,3.47
39.8,3.47,3.51
39.865,3.51,3.51
39.939,3.393,3.451
40.001,3.412,3.451
40.063,3.375,3.531
40.129,3.393,3.531
40.207,3.375,3.531
40.27,3.375,3.531
40.345,3.412,3.49
40.406,3.431,3.49
40.47,3.412,3.49
40.531,3.412,3.49
40.598,3.531,3.51
40.686,3.572,3.51
40.754,3.531,3.551
40.839,3.572,3.551
40.904,3.572,3.47
40.966,3.593,3.47
41.03,3.451,3.551
41.092,3.451,3.551
41.157,3.77,3.49
41.236,3.77,3.49
41.318,3.818,3.51
41.389,3.89,3.51
41.451,3.747,3.51
41.514,3.89,3.51
41.579,3.941,3.51
41.655,4.072,3.51
41.717,3.724,3.51
41.779,3.794,3.51
41.844,3.551,3.49
41.906,3.636,3.49
41.987,3.412,3.47
42.07,3.551,3.47
42.143,3.49,3.47
42.222,3.531,3.47
42.299,3.49,3.431
42.361,3.49,3.431
42.446,3.412,3.431
42.517,3.431,3.431
42.594,3.302,3.338
42.656,3.338,3.338
42.719,3.431,3.356
42.778,3.412,3.356
42.848,3.393,3.32
42.92,3.393,3.32
42.986,3.393,3.302
43.073,3.393,3.302
43.143,3.284,3.232
43.223,3.284,3.232
43.306,3.32,3.302
43.375,3.32,3.302
43.456,3.431,3.302
43.548,3.431,3.302
43.627,3.431,3.302
43.697,3.431,3.302
43.77,3.47,3.356
43.852,3.47,3.356
43.932,3.47,3.393
43.996,3.451,3.393
44.093,3.47,3.393
44.175,3.451,3.393
44.252,3.451,3.431
44.325,3.451,3.431
44.402,3.51,3.431
44.48,3.51,3.431
44.558,3.49,3.451
44.633,3.47,3.451
44.708,3.47,3.47
44.786,3.47,3.47
44.854,3.572,3.49
44.927,3.531,3.49
44.989,3.551,3.531
45.05,3.551,3.531
45.116,3.593,3.49
45.174,3.593,3.49
45.239,3.614,3.47
45.306,3.593,3.47
45.384,3.593,3.451
45.459,3.593,3.451
45.519,3.572,3.551
45.584,3.551,3.551
45.648,3.572,3.551
45.711,3.531,3.551
45.789,3.51,3.551
45.856,3.51,3.551
45.938,3.431,3.49
46.009,3.431,3.49
46.074,3.451,3.572
46.156,3.451,3.572
46.231,3.451,3.657
46.296,3.431,3.657
46.355,3.431,3.89
46.417,3.412,3.89
46.478,3.412,3.614
46.547,3.412,3.614
46.619,3.49,3.572
46.685,3.47,3.572
46.746,3.531,3.551
46.807,3.51,3.551
46.873,3.451,3.572
46.937,3.431,3.572
46.997,3.47,3.551
47.062,3.451,3.551
47.139,3.431,3.614
47.22,3.431,3.614
47.299,3.375,3.636
47.375,3.393,3.636
47.455,3.431,3.636
47.527,3.431,3.636
47.588,3.49,3.551
47.651,3.49,3.551
47.715,3.47,3.614
47.798,3.49,3.614
47.867,3.47,3.551
47.94,3.47,3.551
48.012,3.451,3.551
48.072,3.451,3.551
48.136,3.451,3.49
48.2,3.451,3.49
48.262,3.49,3.451
48.326,3.47,3.451
48.392,3.412,3.431
48.467,3.412,3.431
48.542,3.51,3.412
48.605,3.49,3.412
48.683,3.412,3.356
48.764,3.393,3.356
48.838,3.375,3.412
48.901,3.375,3.412
48.962,3.375,3.412
49.021,3.375,3.412
49.088,3.375,3.356
49.15,3.375,3.356
49.21,3.393,3.356
49.276,3.393,3.356
49.352,3.393,3.356
49.437,3.393,3.356
49.508,3.356,3.32
49.569,3.356,3.32
49.635,3.356,3.32
49.71,3.338,3.32
49.772,3.284,3.284
49.852,3.284,3.284
49.912,3.356,3.338
49.975,3.356,3.338
50.036,3.338,3.32
50.1,3.338,3.32
50.165,3.356,3.338
50.243,3.356,3.338
50.32,3.451,3.431
50.397,3.451,3.431
50.471,3.451,3.431
50.54,3.451,3.431
50.613,3.412,3.412
50.68,3.412,3.412
50.743,3.412,3.412
50.816,3.412,3.412
50.88,3.32,3.338
50.945,3.32,3.338
51.028,3.266,3.284
51.099,3.266,3.284
51.16,3.356,3.375
51.245,3.356,3.375
51.317,3.412,3.431
51.395,3.412,3.431
51.471,3.356,3.356
51.55,3.356,3.356
51.631,3.431,3.431
51.708,3.431,3.431
51.788,3.393,3.393
51.865,3.393,3.393
51.942,3.451,3.47
52.02,3.451,3.47
52.102,3.451,3.431
52.176,3.451,3.431
52.238,3.412,3.412
52.301,3.412,3.412
52.37,3.393,3.412
52.449,3.393,3.412
52.525,3.375,3.393
52.586,3.375,3.393
52.654,3.393,3.412
52.734,3.393,3.412
52.808,3.451,3.451
52.868,3.451,3.451
52.933,3.412,3.451
53.017,3.412,3.451
53.098,3.393,3.393
53.167,3.393,3.393
53.231,3.375,3.356
53.295,3.356,3.356
53.365,3.393,3.393
53.447,3.393,3.393
53.544,3.393,3.393
53.623,3.393,3.393
53.696,3.431,3.412
53.766,3.412,3.412
53.835,3.431,3.431
53.899,3.431,3.431
53.965,3.393,3.393
54.027,3.393,3.393
54.093,3.356,3.375
54.173,3.356,3.375
54.243,3.338,3.356
54.307,3.338,3.356
54.368,3.356,3.356
54.432,3.356,3.356
54.494,3.338,3.338
54.557,3.338,3.338
54.638,3.412,3.412
54.717,3.393,3.412
54.789,3.375,3.375
54.852,3.375,3.375
54.92,3.375,3.375
54.997,3.375,3.375
55.071,3.338,3.338
55.154,3.338,3.338
55.231,3.32,3.338
55.305,3.32,3.338
55.369,3.375,3.375
55.432,3.375,3.375
55.51,3.356,3.356
55.572,3.356,3.356
55.648,3.375,3.375
55.711,3.375,3.375
55.777,3.375,3.375
55.835,3.375,3.375
55.897,3.32,3.32
55.962,3.32,3.32
56.047,3.32,3.32
56.128,3.32,3.32
56.198,3.393,3.393
56.258,3.393,3.393
56.32,3.412,3.412
56.382,3.393,3.412
56.45,3.338,3.356
56.522,3.338,3.356
56.585,3.356,3.375
56.651,3.356,3.375
56.731,3.412,3.431
56.794,3.412,3.431
56.861,3.47,3.47
56.933,3.47,3.47
56.995,3.49,3.49
57.056,3.49,3.49
57.124,3.32,3.338
57.2,3.32,3.338
57.282,3.356,3.375
57.355,3.356,3.375
57.415,3.451,3.451
57.482,3.451,3.451
57.562,3.356,3.375
57.64,3.356,3.375
57.717,3.393,3.393
57.789,3.393,3.393
57.85,3.356,3.375
57.919,3.356,3.375
57.99,3.338,3.338
58.07,3.338,3.338
58.136,3.284,3.302
58.203,3.284,3.302
58.277,3.393,3.393
58.338,3.393,3.393
58.404,3.393,3.393
58.478,3.412,3.393
58.544,3.32,3.338
58.622,3.32,3.338
58.699,3.356,3.356
58.777,3.356,3.356
58.841,3.32,3.32
58.92,3.32,3.32
58.998,3.375,3.356
59.077,3.375,3.356
59.151,3.412,3.431
59.227,3.412,3.431
59.307,3.338,3.338
59.384,3.338,3.338
59.462,3.32,3.338
59.538,3.32,3.338
59.622,3.356,3.375
59.698,3.356,3.375
59.779,3.284,3.302
59.852,3.284,3.302
59.914,3.302,3.32
59.975,3.302,3.32
60.036,3.32,3.32
60.104,3.32,3.32
60.165,3.284,3.284
60.23,3.284,3.284
60.305,3.356,3.338
60.385,3.356,3.338
60.457,3.302,3.302
60.522,3.302,3.302
60.591,3.302,3.32
60.665,3.302,3.32
60.748,3.32,3.32
60.819,3.32,3.32
60.881,3.32,3.338
60.947,3.32,3.338
61.006,3.338,3.338
61.067,3.338,3.338
61.138,3.356,3.375
61.215,3.356,3.375
61.288,3.32,3.32
61.36,3.32,3.32
61.432,3.284,3.302
61.508,3.284,3.302
61.587,3.338,3.338
61.666,3.338,3.338
61.737,3.32,3.338
61.8,3.32,3.338
61.883,3.356,3.375
61.957,3.356,3.375
62.036,3.356,3.375
62.113,3.356,3.375
62.194,3.356,3.356
62.271,3.356,3.356
62.348,3.375,3.375
62.41,3.375,3.375
62.488,3.356,3.356
62.565,3.356,3.356
62.641,3.375,3.356
62.704,3.375,3.356
62.769,3.356,3.356
62.831,3.356,3.356
62.89,3.338,3.338
62.954,3.338,3.338
63.015,3.375,3.375
63.085,3.375,3.375
63.159,3.284,3.302
63.241,3.284,3.302
63.316,3.393,3.375
63.378,3.393,3.375
63.438,3.338,3.338
63.502,3.338,3.338
63.565,3.32,3.338
63.643,3.32,3.338
63.725,3.375,3.375
63.798,3.375,3.375
63.86,3.356,3.356
63.929,3.356,3.356
64.004,3.431,3.451
64.081,3.431,3.451
64.142,3.356,3.356
64.201,3.356,3.356
64.267,3.393,3.393
64.328,3.393,3.393
64.389,3.338,3.338
64.453,3.338,3.338
64.515,3.451,3.431
64.579,3.451,3.431
64.646,3.412,3.412
64.719,3.412,3.412
64.784,3.375,3.375
64.846,3.375,3.375
64.926,3.451,3.431
65.002,3.451,3.431
65.06,3.431,3.412
65.128,3.431,3.412
65.188,3.431,3.412
65.251,3.431,3.412
65.317,3.412,3.412
65.397,3.412,3.412
65.469,3.412,3.393
65.532,3.412,3.393
65.596,3.356,3.375
65.658,3.356,3.375
65.72,3.302,3.32
65.785,3.302,3.32
65.845,3.412,3.412
65.91,3.412,3.412
65.97,3.393,3.393
66.035,3.393,3.393
66.104,3.412,3.412
66.177,3.412,3.412
66.24,3.412,3.412
66.307,3.412,3.412
66.389,3.49,3.47
66.462,3.49,3.47
66.526,3.431,3.412
66.605,3.431,3.412
66.668,3.451,3.451
66.752,3.451,3.451
66.824,3.49,3.51
66.887,3.49,3.51
66.97,3.412,3.412
67.043,3.412,3.412
67.103,3.49,3.49
67.168,3.49,3.49
67.233,3.51,3.49
67.315,3.51,3.49
67.393,3.431,3.431
67.47,3.431,3.431
67.545,3.431,3.412
67.611,3.431,3.412
67.695,3.51,3.49
67.769,3.51,3.49
67.843,3.412,3.412
67.905,3.412,3.412
67.971,3.51,3.531
68.031,3.51,3.531
68.091,3.49,3.47
68.156,3.49,3.47
68.215,3.51,3.51
68.28,3.51,3.51
68.344,3.49,3.451
68.402,3.49,3.451
68.469,3.551,3.531
68.531,3.551,3.531
68.591,3.431,3.412
68.672,3.431,3.412
68.752,3.49,3.49
68.826,3.49,3.49
68.887,3.47,3.451
68.972,3.47,3.451
69.049,3.51,3.51
69.119,3.531,3.51
69.183,3.431,3.451
69.262,3.431,3.451
69.322,3.51,3.51
69.387,3.51,3.51
69.452,3.412,3.412
69.53,3.412,3.412
69.612,3.531,3.51
69.689,3.531,3.51
69.763,3.412,3.412
69.847,3.412,3.412
69.921,3.431,3.431
69.986,3.431,3.431
70.067,3.412,3.412
70.137,3.412,3.412
70.202,3.51,3.51
70.283,3.51,3.51
70.358,3.393,3.393
70.42,3.393,3.393
70.504,3.51,3.51
70.576,3.51,3.51
70.64,3.451,3.451
70.702,3.451,3.451
70.762,3.431,3.431
70.825,3.451,3.431
70.889,3.49,3.47
70.952,3.49,3.47
71.01,3.49,3.47
71.079,3.49,3.47
71.153,3.531,3.51
71.219,3.531,3.51
71.276,3.593,3.572
71.341,3.593,3.572
71.427,3.51,3.551
71.495,3.51,3.551
71.575,3.551,3.551
71.636,3.551,3.551
71.698,3.551,3.572
71.76,3.551,3.572
71.822,3.636,3.636
71.889,3.636,3.636
71.969,3.551,3.614
72.042,3.531,3.614
72.122,3.636,3.572
72.182,3.614,3.572
72.248,3.451,3.47
72.32,3.451,3.47
72.385,3.49,3.412
72.447,3.49,3.412
72.511,3.431,3.412
72.571,3.431,3.412
72.638,3.451,3.431
72.719,3.451,3.431
72.794,3.451,3.431
72.873,3.451,3.431
72.949,3.412,3.47
73.03,3.412,3.47
73.112,3.412,3.431
73.185,3.412,3.431
73.268,3.49,3.451
73.345,3.49,3.451
73.425,3.49,3.431
73.515,3.49,3.431
73.591,3.49,3.47
73.668,3.49,3.47
73.744,3.47,3.49
73.809,3.47,3.49
73.883,3.51,3.431
73.945,3.51,3.431
74.008,3.393,3.451
74.071,3.393,3.451
74.135,3.51,3.356
74.195,3.49,3.356
74.262,3.393,3.393
74.34,3.393,3.393
74.42,3.431,3.393
74.51,3.431,3.393
74.594,3.338,3.393
74.672,3.338,3.393
74.747,3.356,3.356
74.82,3.356,3.356
74.888,3.431,3.412
74.967,3.431,3.412
75.044,3.302,3.393
75.121,3.302,3.393
75.198,3.338,3.375
75.276,3.356,3.375
75.35,3.302,3.338
75.414,3.338,3.338
75.482,3.165,3.165
75.555,3.148,3.165
75.618,3.249,3.249
75.68,3.249,3.249
75.743,3.249,3.266
75.823,3.249,3.266
75.882,3.266,3.302
75.954,3.266,3.302
76.027,3.284,3.32
76.106,3.284,3.32
76.167,3.375,3.431
76.245,3.393,3.431
76.323,3.636,3.702
76.382,3.68,3.702
76.446,3.702,3.702
76.505,3.747,3.702
76.568,3.593,3.593
76.63,3.68,3.593
76.711,3.49,3.451
76.789,3.47,3.451
76.865,3.393,3.356
76.94,3.47,3.356
77.002,3.393,3.47
77.065,3.32,3.47
77.128,3.451,3.636
77.19,3.47,3.636
77.27,3.702,3.68
77.348,3.572,3.68
77.427,3.51,3.531
77.506,3.451,3.531
77.58,3.636,3.531
77.658,3.614,3.531
77.74,3.393,3.593
77.818,3.356,3.593
77.896,3.431,3.431
77.971,3.393,3.431
78.029,3.338,3.49
78.094,3.356,3.49
78.157,3.431,3.49
78.221,3.393,3.49
78.3,3.412,3.531
78.365,3.412,3.531
78.451,3.393,3.51
78.521,3.393,3.51
78.597,3.451,3.47
78.658,3.47,3.47
78.722,3.551,3.412
78.786,3.593,3.412
78.875,3.747,3.431
78.955,3.747,3.431
79.034,3.636,3.375
79.108,3.657,3.375
79.179,3.593,3.451
79.261,3.593,3.451
79.318,3.636,3.572
79.377,3.636,3.572
79.448,3.593,3.572
79.522,3.593,3.572
79.581,3.551,3.551
79.646,3.551,3.551
79.708,3.551,3.531
79.773,3.551,3.531
79.833,3.636,3.614
79.895,3.636,3.614
79.96,3.702,3.551
80.021,3.702,3.551
80.103,3.614,3.551
80.181,3.614,3.551
80.253,3.614,3.551
80.33,3.614,3.551
80.396,3.702,3.572
80.477,3.702,3.572
80.55,3.572,3.572
80.614,3.572,3.572
80.675,3.747,3.551
80.739,3.747,3.551
80.801,3.614,3.531
80.868,3.614,3.531
80.95,3.68,3.531
81.03,3.68,3.531
81.098,3.68,3.551
81.16,3.68,3.551
81.223,3.657,3.531
81.302,3.636,3.531
81.377,3.702,3.51
81.444,3.702,3.51
81.522,3.68,3.551
81.597,3.68,3.551
81.658,3.68,3.51
81.72,3.68,3.51
81.783,3.636,3.531
81.845,3.636,3.531
81.915,3.77,3.551
81.988,3.77,3.551
