phase,start_time_s,end_time_s,sample_count
Catch Phase,14.217,14.915,13
Deadlift Phase,9.153,10.317,21
Jump Phase,10.375,14.159,67
Overhead Squat Phase,14.973,47.325,545
Setup,0.002,9.096,158
