time_s,athlete_depth_m,center_depth_m
0.002,3.733,7.037
0.06,3.71,7.749
0.117,3.71,7.749
0.175,3.756,7.652
0.233,3.756,7.652
0.292,3.733,7.849
0.35,3.733,7.849
0.408,3.71,7.558
0.465,3.71,7.558
0.524,3.756,7.652
0.581,3.756,7.652
0.64,3.756,8.055
0.698,3.756,8.055
0.757,3.71,7.749
0.815,3.71,7.749
0.873,3.71,7.466
0.93,3.71,7.466
0.988,3.756,7.749
1.046,3.756,7.749
1.104,3.756,7.749
1.162,3.756,7.749
1.22,3.756,8.055
1.278,3.756,8.055
1.336,3.733,7.652
1.394,3.733,7.652
1.452,3.71,7.376
1.51,3.71,7.376
1.568,3.756,7.951
1.625,3.756,7.951
1.684,3.71,7.849
1.742,3.71,7.849
1.8,3.756,7.376
1.858,3.756,7.376
1.915,3.733,7.849
1.973,3.756,7.849
2.031,3.733,7.749
2.089,3.733,7.749
2.147,3.756,7.466
2.205,3.756,7.466
2.263,3.733,7.749
2.321,3.733,7.749
2.378,3.756,7.466
2.436,3.756,7.466
2.494,3.756,7.652
2.552,3.756,7.652
2.609,3.756,7.466
2.668,3.756,7.466
2.725,3.756,7.466
2.783,3.756,7.466
2.841,3.733,7.558
2.899,3.733,7.558
2.957,3.733,7.376
3.015,3.733,7.376
3.073,3.756,7.849
3.131,3.756,7.849
3.189,3.756,8.503
3.246,3.733,8.503
3.303,3.733,7.849
3.361,3.733,7.849
3.418,3.756,6.957
3.476,3.756,6.957
3.535,3.71,7.376
3.593,3.71,7.376
3.651,3.733,8.163
3.709,3.733,8.163
3.767,3.756,7.466
3.825,3.756,7.466
3.883,3.756,7.558
3.941,3.756,7.558
4.0,3.756,7.849
4.058,3.756,7.849
4.115,3.756,7.652
4.173,3.756,7.652
4.231,3.733,8.273
4.289,3.733,8.273
4.348,3.71,7.951
4.405,3.71,7.951
4.463,3.756,7.558
4.521,3.733,7.558
4.579,3.71,8.055
4.637,3.71,8.055
4.695,3.733,6.957
4.753,3.733,6.957
4.81,3.733,8.055
4.868,3.733,8.055
4.926,3.733,7.466
4.984,3.733,7.466
5.042,3.71,7.376
5.101,3.71,7.376
5.159,3.756,7.466
5.217,3.756,7.466
5.275,3.71,7.652
5.333,3.71,7.652
5.388,3.733,7.202
5.446,3.733,7.202
5.504,3.756,7.376
5.562,3.756,7.376
5.62,3.688,7.951
5.678,3.688,7.951
5.736,3.71,7.951
5.794,3.71,7.951
5.852,3.71,7.202
5.91,3.71,7.202
5.968,3.71,7.037
6.026,3.71,7.037
6.084,3.71,7.376
6.142,3.71,7.376
6.2,3.733,7.951
6.258,3.733,7.951
6.315,3.733,7.652
6.373,3.733,7.652
6.431,3.71,7.849
6.489,3.71,7.849
6.547,3.756,7.849
6.605,3.756,7.849
6.663,3.756,7.118
6.721,3.756,7.118
6.778,3.71,7.202
6.836,3.71,7.202
6.894,3.71,7.466
6.952,3.71,7.466
7.01,3.71,7.849
7.068,3.71,7.849
7.126,3.756,7.951
7.185,3.756,7.951
7.243,3.733,7.466
7.301,3.733,7.466
7.359,3.71,7.376
7.417,3.71,7.376
7.474,3.733,7.652
7.532,3.733,7.652
7.59,3.733,8.055
7.648,3.733,8.055
7.705,3.756,7.652
7.763,3.756,7.652
7.821,3.71,7.652
7.878,3.71,7.652
7.936,3.733,7.466
7.994,3.733,7.466
8.052,3.733,7.558
8.11,3.733,7.558
8.168,3.756,8.055
8.226,3.756,8.055
8.284,3.756,7.558
8.342,3.779,7.558
8.4,3.779,7.652
8.457,3.802,7.652
8.515,3.756,7.749
8.573,3.756,7.749
8.631,3.756,7.288
8.689,3.779,7.288
8.747,3.733,7.288
8.806,3.733,7.288
8.863,3.779,7.202
8.921,3.779,7.202
8.979,3.756,7.376
9.038,3.756,7.376
9.096,3.802,7.849
9.153,3.802,7.849
9.213,3.756,7.558
9.27,3.756,7.558
9.328,3.779,7.466
9.387,3.779,7.466
9.445,3.779,7.288
9.503,3.779,7.288
9.561,3.779,7.376
9.619,3.779,7.376
9.676,3.779,7.466
9.737,3.802,7.466
9.794,3.802,7.376
9.853,3.802,7.376
9.91,3.826,7.749
9.968,3.826,7.749
10.026,3.802,7.558
10.085,3.802,7.558
10.143,3.826,7.288
10.201,3.85,7.288
10.259,3.85,7.376
10.317,3.826,7.376
10.375,3.826,7.652
10.433,3.826,7.652
10.492,3.802,7.951
10.55,3.802,7.951
10.608,3.802,7.951
10.666,3.779,7.951
10.725,3.733,7.288
10.783,3.688,7.288
10.841,3.666,7.466
10.899,3.666,7.466
10.957,3.401,7.652
11.016,3.559,7.652
11.074,3.459,7.951
11.135,3.345,7.951
11.185,,7.288
11.25,3.666,7.288
11.309,3.688,7.558
11.361,3.666,7.558
11.419,3.644,7.558
11.477,3.666,7.558
11.535,3.601,7.558
11.592,3.601,7.558
11.651,3.518,7.466
11.708,3.364,7.466
11.764,3.309,7.558
11.822,3.291,7.558
11.88,3.205,7.288
11.938,3.092,7.288
11.989,,7.652
12.034,,7.652
12.081,,7.951
12.148,3.42,7.951
12.206,3.239,7.652
12.264,3.239,7.652
12.322,3.327,7.466
12.38,3.327,7.466
12.431,,7.202
12.477,,7.202
12.523,,7.749
12.59,3.478,7.749
12.648,3.733,7.118
12.706,3.666,7.118
12.767,3.899,7.558
12.825,3.875,7.558
12.884,3.875,7.202
12.941,3.899,7.202
12.999,3.899,8.055
13.057,3.899,8.055
13.115,3.899,7.466
13.171,3.899,7.466
13.229,3.95,7.558
13.287,3.95,7.558
13.345,3.924,7.558
13.404,3.924,7.558
13.462,3.875,7.849
13.52,3.875,7.849
13.578,3.875,7.652
13.636,3.875,7.652
13.695,3.899,7.288
13.752,3.924,7.288
13.81,3.85,7.376
13.869,3.875,7.376
13.926,3.899,7.749
13.985,3.899,7.749
14.043,3.899,7.749
14.101,3.924,7.749
14.159,3.899,7.037
14.217,3.899,7.037
14.274,3.875,7.466
14.333,3.875,7.466
14.393,3.924,7.652
14.451,3.95,7.652
14.508,3.875,7.652
14.567,3.875,7.652
