metric,mean,min,max,valid_samples
left_hip_angle_deg,171.289,106.42,180.0,199
right_hip_angle_deg,133.066,35.19,180.0,796
left_knee_angle_deg,175.706,111.69,180.0,199
right_knee_angle_deg,138.698,54.82,179.97,796
left_ankle_angle_deg,132.329,96.97,176.77,199
right_ankle_angle_deg,119.722,82.06,179.26,796
left_shoulder_angle_deg,25.781,11.61,33.82,148
right_shoulder_angle_deg,65.339,0.0,179.59,774
left_elbow_angle_deg,105.434,55.71,179.53,148
right_elbow_angle_deg,136.258,7.74,180.0,654
trunk_lean_angle_deg,18.333,0.0,60.55,796
athlete_depth_m,3.842,3.092,4.311,796
center_depth_m,7.603,6.957,8.503,801
barbell_horizontal_displacement_px,17.124,-11.0,40.0,638
barbell_vertical_displacement_px,268.025,0.0,311.0,638
barbell_vertical_velocity_px_s,-24.237,-51.71,138.29,638
barbell_horizontal_velocity_px_s,10.773,-51.68,86.04,638
barbell_horizontal_displacement_m,0.079,-0.052,0.21,638
barbell_vertical_displacement_m,1.416,-0.0,1.639,638
barbell_vertical_velocity_m_s,-0.131,-0.278,0.685,638
barbell_horizontal_velocity_m_s,0.058,-0.462,0.51,638
