metric,mean,min,max,valid_samples
left_hip_angle_deg,105.047,45.22,178.91,142
right_hip_angle_deg,117.12,64.1,177.63,142
left_knee_angle_deg,130.522,10.01,179.73,142
right_knee_angle_deg,126.507,12.53,178.18,142
left_ankle_angle_deg,141.141,14.35,179.79,142
right_ankle_angle_deg,147.134,10.44,179.81,142
left_shoulder_angle_deg,60.98,34.7,86.79,23
right_shoulder_angle_deg,62.03,2.17,114.1,142
left_elbow_angle_deg,152.176,129.13,179.1,14
right_elbow_angle_deg,151.6,17.46,179.82,139
trunk_lean_angle_deg,23.906,1.93,40.77,142
