time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px
7.791,Weightlifting,Snatch,Side View,First Pull,Detected,,40.73,,62.75,,116.01,,36.14,,156.02,46.88,3.756,7.558,True,237.0,392.0,12.0,-8.0,0.0,-15.0,28.0
7.854,Weightlifting,Snatch,Side View,First Pull,Detected,,40.19,,60.71,,120.41,,36.24,,154.23,47.44,3.756,7.558,True,238.0,391.0,13.0,-7.0,15.82,15.82,28.0
7.915,Weightlifting,Snatch,Side View,First Pull,Detected,,39.28,,59.41,,123.3,,36.24,,152.46,47.44,3.756,7.849,True,239.0,391.0,14.0,-7.0,0.0,16.44,28.0
7.972,Weightlifting,Snatch,Side View,First Pull,Detected,,42.92,,60.59,,118.83,,35.07,,154.36,47.18,3.756,7.849,True,238.0,394.0,13.0,-10.0,-52.2,-17.4,28.0
8.036,Weightlifting,Snatch,Side View,First Pull,Detected,,43.84,,61.07,,119.56,,35.07,,154.75,46.9,3.756,7.652,True,238.0,395.0,13.0,-11.0,-15.74,0.0,28.0
8.1,Weightlifting,Snatch,Side View,First Pull,Detected,,42.01,,62.04,,100.35,,36.24,,157.18,46.9,3.756,7.652,True,238.0,394.0,13.0,-10.0,15.58,0.0,28.0
8.162,Weightlifting,Snatch,Side View,First Pull,Detected,,39.69,,61.71,,99.66,,35.57,,155.65,47.42,3.733,8.273,True,238.0,394.0,13.0,-10.0,0.0,0.0,28.0
8.223,Weightlifting,Snatch,Side View,First Pull,Detected,,38.79,,59.8,,122.86,,35.57,,156.01,47.42,3.733,8.273,True,238.0,395.0,13.0,-11.0,-16.5,0.0,28.0
8.283,Weightlifting,Snatch,Side View,First Pull,Detected,,38.79,,60.21,,126.29,,35.81,,156.26,47.16,3.71,7.951,True,238.0,396.0,13.0,-12.0,-16.48,0.0,28.0
8.35,Weightlifting,Snatch,Side View,First Pull,Detected,,41.88,,61.46,,118.99,,36.11,,155.65,47.7,3.71,7.951,True,238.0,394.0,13.0,-10.0,30.36,0.0,28.0
8.411,Weightlifting,Snatch,Side View,First Pull,Detected,,42.77,,60.38,,115.2,,36.11,,155.65,47.7,3.756,7.558,True,238.0,394.0,13.0,-10.0,0.0,0.0,28.0
8.474,Weightlifting,Snatch,Side View,First Pull,Detected,,42.69,,58.86,,116.24,,36.17,,137.02,47.47,3.733,7.558,True,246.0,388.0,21.0,-4.0,96.3,128.41,28.0
8.535,Weightlifting,Snatch,Side View,First Pull,Detected,,43.19,,58.13,,115.51,,35.91,,136.23,46.92,3.71,8.055,True,246.0,388.0,21.0,-4.0,0.0,0.0,28.0
8.597,Weightlifting,Snatch,Side View,First Pull,Detected,,44.11,,60.01,,116.52,,35.61,,153.95,46.9,3.71,8.055,True,240.0,398.0,15.0,-14.0,-161.11,-96.66,28.0
8.661,Weightlifting,Snatch,Side View,First Pull,Detected,,45.52,,60.41,,116.04,,35.07,,157.81,46.62,3.733,6.957,True,238.0,400.0,13.0,-16.0,-31.37,-31.37,28.0
8.731,Weightlifting,Snatch,Side View,First Pull,Detected,,41.13,,59.74,,118.5,,35.07,,156.98,46.62,3.733,6.957,True,238.0,397.0,13.0,-13.0,43.45,0.0,28.0
8.79,Weightlifting,Snatch,Side View,First Pull,Detected,,41.13,,59.74,,118.5,,35.07,,156.35,46.62,3.733,8.055,True,238.0,395.0,13.0,-11.0,33.17,0.0,28.0
8.854,Weightlifting,Snatch,Side View,First Pull,Detected,,41.13,,59.32,,118.09,,35.31,,156.26,47.42,3.733,8.055,True,238.0,395.0,13.0,-11.0,0.0,0.0,28.0
8.914,Weightlifting,Snatch,Side View,First Pull,Detected,,41.13,,58.9,,117.67,,35.31,,158.22,47.42,3.733,7.466,True,237.0,396.0,12.0,-12.0,-16.62,-16.62,28.0
8.973,Weightlifting,Snatch,Side View,First Pull,Detected,,36.93,,57.24,,119.65,,35.86,,154.2,47.42,3.733,7.466,True,239.0,395.0,14.0,-11.0,16.57,33.15,28.0
9.032,Weightlifting,Snatch,Side View,First Pull,Detected,,36.03,,56.72,,118.07,,37.01,,154.91,47.7,3.71,7.376,True,240.0,394.0,15.0,-10.0,16.99,16.99,28.0
9.095,Weightlifting,Snatch,Side View,First Pull,Detected,,41.88,,60.26,,118.5,,36.35,,153.76,47.96,3.71,7.376,True,240.0,394.0,15.0,-10.0,0.0,0.0,28.0
9.158,Weightlifting,Snatch,Side View,First Pull,Detected,,42.79,,61.16,,118.5,,36.35,,153.76,48.24,3.756,7.466,True,240.0,394.0,15.0,-10.0,0.0,0.0,28.0
9.22,Weightlifting,Snatch,Side View,First Pull,Detected,,41.88,,60.69,,120.11,,36.59,,154.84,47.96,3.756,7.466,True,240.0,397.0,15.0,-13.0,-48.49,0.0,28.0
9.283,Weightlifting,Snatch,Side View,First Pull,Detected,,41.88,,60.69,,118.22,,36.59,,155.22,47.96,3.71,7.652,True,240.0,398.0,15.0,-14.0,-15.82,0.0,28.0
9.346,Weightlifting,Snatch,Side View,First Pull,Detected,,44.24,,62.51,,117.0,,36.27,,151.45,47.68,3.71,7.652,True,241.0,393.0,16.0,-9.0,79.19,15.84,28.0
9.407,Weightlifting,Snatch,Side View,First Pull,Detected,,45.15,,63.42,,117.0,,36.04,,148.81,47.68,3.733,7.202,True,242.0,391.0,17.0,-7.0,33.55,16.78,28.0
9.469,Weightlifting,Snatch,Side View,First Pull,Detected,,45.1,,59.51,,111.83,,36.27,,157.0,47.4,3.733,7.202,True,238.0,393.0,13.0,-9.0,-31.89,-63.77,28.0
9.532,Weightlifting,Snatch,Side View,First Pull,Detected,,45.1,,58.47,,110.79,,36.27,,161.1,47.4,3.756,7.376,True,236.0,394.0,11.0,-10.0,-15.61,-31.21,28.0
9.594,Weightlifting,Snatch,Side View,First Pull,Detected,,43.33,,59.0,,109.8,,36.04,,161.11,47.4,3.756,7.376,True,236.0,394.0,11.0,-10.0,0.0,0.0,28.0
9.657,Weightlifting,Snatch,Side View,First Pull,Detected,,42.84,,59.48,,108.47,,35.16,,159.97,47.68,3.688,7.951,True,236.0,394.0,11.0,-10.0,0.0,0.0,28.0
9.721,Weightlifting,Snatch,Side View,First Pull,Detected,,43.67,,62.15,,114.82,,35.21,,161.9,48.21,3.688,7.951,True,235.0,396.0,10.0,-12.0,-31.12,-15.56,28.0
9.781,Weightlifting,Snatch,Side View,First Pull,Detected,,43.15,,62.22,,113.59,,34.85,,162.77,48.74,3.71,7.951,True,234.0,397.0,9.0,-13.0,-16.27,-16.27,28.0
9.845,Weightlifting,Snatch,Side View,First Pull,Detected,,41.39,,57.8,,114.78,,33.99,,155.07,48.18,3.71,7.951,True,238.0,394.0,13.0,-10.0,47.9,63.87,28.0
9.905,Weightlifting,Snatch,Side View,First Pull,Detected,,40.51,,55.94,,115.86,,33.99,,151.34,48.46,3.71,7.202,True,240.0,393.0,15.0,-9.0,16.69,33.38,28.0
9.971,Weightlifting,Snatch,Side View,First Pull,Detected,,44.03,,56.54,,117.34,,33.99,,153.04,48.21,3.71,7.202,True,239.0,393.0,14.0,-9.0,0.0,-15.15,28.0
10.03,Weightlifting,Snatch,Side View,First Pull,Detected,,44.91,,57.42,,118.34,,33.99,,153.04,48.21,3.71,7.037,True,239.0,393.0,14.0,-9.0,0.0,0.0,28.0
10.093,Weightlifting,Snatch,Side View,First Pull,Detected,,44.86,,58.77,,120.68,,33.99,,155.65,48.21,3.71,7.037,True,238.0,396.0,13.0,-12.0,-47.65,-15.88,28.0
10.155,Weightlifting,Snatch,Side View,First Pull,Detected,,44.86,,59.78,,121.69,,33.99,,155.92,48.21,3.71,7.376,True,238.0,397.0,13.0,-13.0,-16.12,0.0,28.0
10.219,Weightlifting,Snatch,Side View,First Pull,Detected,,44.86,,58.55,,116.47,,33.68,,151.03,48.46,3.71,7.376,True,240.0,392.0,15.0,-8.0,77.21,30.88,28.0
10.279,Weightlifting,Snatch,Side View,First Pull,Detected,,45.45,,58.09,,113.99,,33.14,,151.03,48.18,3.733,7.951,True,240.0,391.0,15.0,-7.0,17.07,0.0,28.0
10.344,Weightlifting,Snatch,Side View,First Pull,Detected,,43.64,,59.29,,113.84,,34.95,,151.41,47.96,3.733,7.951,True,240.0,391.0,15.0,-7.0,0.0,0.0,28.0
10.407,Weightlifting,Snatch,Side View,First Pull,Detected,,42.21,,59.62,,113.2,,35.77,,151.15,48.24,3.733,7.652,True,240.0,392.0,15.0,-8.0,-15.68,0.0,28.0
10.469,Weightlifting,Snatch,Side View,First Pull,Detected,,44.03,,59.69,,114.58,,34.57,,158.06,48.46,3.733,7.652,True,237.0,399.0,12.0,-15.0,-114.5,-49.07,28.0
10.531,Weightlifting,Snatch,Side View,First Pull,Detected,,43.56,,59.69,,119.5,,33.93,,158.84,48.71,3.71,7.849,True,236.0,401.0,11.0,-17.0,-31.96,-15.98,28.0
10.592,Weightlifting,Snatch,Side View,First Pull,Detected,,44.03,,59.91,,119.71,,33.15,,158.53,47.96,3.71,7.849,True,236.0,400.0,11.0,-16.0,16.45,0.0,28.0
10.655,Weightlifting,Snatch,Side View,First Pull,Detected,,41.39,,60.46,,123.9,,33.15,,158.37,47.7,3.756,7.849,True,236.0,399.0,11.0,-15.0,15.77,0.0,28.0
10.718,Weightlifting,Snatch,Side View,First Pull,Detected,,41.82,,60.09,,120.57,,32.16,,155.77,48.71,3.756,7.849,True,237.0,400.0,12.0,-16.0,-16.0,16.0,28.0
10.779,Weightlifting,Snatch,Side View,First Pull,Detected,,42.26,,60.09,,119.67,,32.97,,157.4,48.95,3.756,7.118,True,237.0,400.0,12.0,-16.0,0.0,0.0,28.0
10.846,Weightlifting,Snatch,Side View,First Pull,Detected,,43.97,,60.57,,122.43,,32.97,,162.05,48.71,3.756,7.118,True,234.0,404.0,9.0,-20.0,-59.1,-44.33,28.0
10.907,Weightlifting,Snatch,Side View,First Pull,Detected,,44.44,,59.83,,119.74,,32.5,,163.41,48.46,3.71,7.202,True,233.0,405.0,8.0,-21.0,-16.53,-16.53,28.0
10.969,Weightlifting,Snatch,Side View,First Pull,Detected,,39.12,,57.56,,117.07,,32.5,,160.69,48.99,3.71,7.202,True,235.0,404.0,10.0,-20.0,15.99,31.99,28.0
11.029,Weightlifting,Snatch,Side View,First Pull,Detected,,38.55,,58.67,,114.65,,33.05,,160.69,49.28,3.733,7.466,True,235.0,404.0,10.0,-20.0,0.0,0.0,28.0
11.092,Weightlifting,Snatch,Side View,First Pull,Detected,,43.57,,58.77,,110.2,,33.38,,157.7,49.07,3.71,7.466,True,237.0,396.0,12.0,-12.0,126.87,31.72,28.0
11.154,Weightlifting,Snatch,Side View,First Pull,Detected,,44.42,,58.04,,107.06,,33.05,,155.27,49.07,3.71,7.849,True,238.0,393.0,13.0,-9.0,48.56,16.19,28.0
11.221,Weightlifting,Snatch,Side View,First Pull,Detected,,45.07,,62.45,,114.07,,34.83,,164.54,49.65,3.71,7.849,True,233.0,402.0,8.0,-18.0,-134.77,-74.87,28.0
11.28,Weightlifting,Snatch,Side View,First Pull,Detected,,45.64,,62.96,,117.02,,34.57,,164.85,49.36,3.756,7.951,True,233.0,402.0,8.0,-18.0,0.0,0.0,28.0
11.342,Weightlifting,Snatch,Side View,First Pull,Detected,,47.4,,64.44,,113.63,,34.57,,156.94,49.61,3.756,7.951,True,238.0,399.0,13.0,-15.0,48.37,80.61,28.0
11.405,Weightlifting,Snatch,Side View,First Pull,Detected,,48.28,,65.32,,113.63,,34.57,,155.38,49.61,3.733,7.466,True,239.0,399.0,14.0,-15.0,0.0,15.97,28.0
11.469,Weightlifting,Snatch,Side View,First Pull,Detected,,50.1,,63.6,,116.14,,35.49,,156.47,49.4,3.733,7.466,True,239.0,400.0,14.0,-16.0,-15.58,0.0,28.0
11.528,Weightlifting,Snatch,Side View,First Pull,Detected,,49.94,,62.7,,117.38,,36.64,,157.62,49.11,3.71,7.376,True,239.0,400.0,14.0,-16.0,0.0,0.0,28.0
11.591,Weightlifting,Snatch,Side View,First Pull,Detected,,49.07,,58.82,,100.47,,36.9,,153.96,49.4,3.71,7.376,True,241.0,394.0,16.0,-10.0,95.41,31.8,28.0
11.653,Weightlifting,Snatch,Side View,First Pull,Detected,,49.07,,58.82,,102.06,,36.9,,153.96,49.4,3.733,7.652,True,241.0,394.0,16.0,-10.0,0.0,0.0,28.0
11.716,Weightlifting,Snatch,Side View,First Pull,Detected,,48.77,,58.86,,105.02,,37.7,,158.16,49.11,3.733,7.652,True,241.0,397.0,16.0,-13.0,-47.66,0.0,28.0
11.778,Weightlifting,Snatch,Side View,First Pull,Detected,,47.89,,58.3,,105.95,,37.7,,160.34,49.11,3.733,8.055,True,240.0,399.0,15.0,-15.0,-31.93,-15.96,28.0
11.841,Weightlifting,Snatch,Side View,First Pull,Detected,,46.83,,57.98,,109.89,,37.38,,159.19,49.9,3.733,8.055,True,240.0,399.0,15.0,-15.0,0.0,0.0,28.0
11.91,Weightlifting,Snatch,Side View,First Pull,Detected,,46.83,,58.62,,112.69,,37.12,,158.7,49.61,3.756,7.652,True,240.0,397.0,15.0,-13.0,29.19,0.0,28.0
11.97,Weightlifting,Snatch,Side View,First Pull,Detected,,46.43,,58.37,,115.56,,36.9,,164.3,49.4,3.756,7.652,True,237.0,403.0,12.0,-19.0,-100.0,-50.0,28.0
12.034,Weightlifting,Snatch,Side View,First Pull,Detected,,45.55,,59.7,,117.78,,35.77,,164.6,49.65,3.71,7.652,True,235.0,404.0,10.0,-20.0,-15.71,-31.43,28.0
12.095,Weightlifting,Snatch,Side View,First Pull,Detected,,44.66,,53.28,,93.81,,36.64,,156.52,49.95,3.71,7.652,True,241.0,392.0,16.0,-8.0,194.39,97.2,28.0
12.155,Weightlifting,Snatch,Side View,First Pull,Detected,,42.88,,52.08,,79.14,,36.64,,156.21,49.65,3.733,7.466,True,241.0,391.0,16.0,-7.0,16.73,0.0,28.0
12.218,Weightlifting,Snatch,Side View,First Pull,Detected,,45.76,,60.75,,109.07,,36.94,,158.19,49.99,3.733,7.466,True,240.0,392.0,15.0,-8.0,-16.01,-16.01,28.0
12.277,Weightlifting,Snatch,Side View,First Pull,Detected,,47.49,,63.26,,119.82,,36.07,,156.21,49.74,3.733,7.558,True,240.0,394.0,15.0,-10.0,-33.65,0.0,28.0
12.34,Weightlifting,Snatch,Side View,First Pull,Detected,,46.04,,59.45,,107.92,,36.66,,156.21,50.6,3.733,7.558,True,240.0,394.0,15.0,-10.0,0.0,0.0,28.0
12.401,Weightlifting,Snatch,Side View,First Pull,Detected,,42.87,,58.79,,109.95,,38.29,,156.82,51.4,3.756,8.055,True,241.0,392.0,16.0,-8.0,31.88,15.94,28.0
12.463,Weightlifting,Snatch,Side View,First Pull,Detected,,43.14,,59.92,,99.73,,38.61,,156.25,52.19,3.756,8.055,True,241.0,390.0,16.0,-6.0,33.05,0.0,28.0
12.523,Weightlifting,Snatch,Side View,First Pull,Detected,,42.94,,59.77,,102.67,,37.72,,156.26,51.58,3.756,7.558,True,241.0,389.0,16.0,-5.0,16.77,0.0,28.0
12.583,Weightlifting,Snatch,Side View,First Pull,Detected,,41.52,,64.86,,107.5,,40.29,,161.13,53.45,3.779,7.558,True,238.0,391.0,13.0,-7.0,-33.33,-50.0,28.0
12.642,Weightlifting,Snatch,Side View,First Pull,Detected,,42.77,,64.92,,112.48,,41.02,,161.4,54.0,3.779,7.652,True,238.0,391.0,13.0,-7.0,0.0,0.0,28.0
12.703,Weightlifting,Snatch,Side View,First Pull,Detected,,44.35,,65.01,,108.19,,40.66,,154.42,53.83,3.802,7.652,True,241.0,383.0,16.0,1.0,133.31,49.99,28.0
12.765,Weightlifting,Snatch,Side View,First Pull,Detected,,42.81,,63.69,,110.04,,40.9,,146.02,54.11,3.756,7.749,True,247.0,379.0,22.0,5.0,63.94,95.91,28.0
12.828,Weightlifting,Snatch,Side View,First Pull,Detected,,43.32,,67.1,,112.34,,41.5,,150.61,54.42,3.756,7.749,True,246.0,383.0,21.0,1.0,-63.17,-15.79,28.0
12.887,Weightlifting,Snatch,Side View,First Pull,Detected,,41.98,,75.63,,105.58,,40.11,,148.66,54.95,3.756,7.288,True,247.0,383.0,22.0,1.0,0.0,16.9,28.0
12.95,Weightlifting,Snatch,Side View,First Pull,Detected,,43.8,,78.1,,109.38,,41.09,,149.86,56.94,3.779,7.288,True,246.0,381.0,21.0,3.0,31.83,-15.92,28.0
13.011,Weightlifting,Snatch,Side View,First Pull,Detected,,43.34,,80.62,,111.75,,41.71,,149.46,57.26,3.733,7.288,True,246.0,381.0,21.0,3.0,0.0,0.0,28.0
13.072,Weightlifting,Snatch,Side View,First Pull,Detected,,47.93,,76.28,,121.66,,39.79,,160.82,56.42,3.733,7.288,True,237.0,382.0,12.0,2.0,-16.17,-145.51,28.0
13.135,Weightlifting,Snatch,Side View,First Pull,Detected,,50.19,,77.5,,116.28,,37.49,,159.27,56.31,3.779,7.202,True,236.0,382.0,11.0,2.0,0.0,-15.94,28.0
13.195,Weightlifting,Snatch,Side View,First Pull,Detected,,48.81,,79.38,,122.47,,41.19,,159.97,57.79,3.779,7.202,True,237.0,382.0,12.0,2.0,0.0,16.91,28.0
13.258,Weightlifting,Snatch,Side View,First Pull,Detected,,48.59,,75.14,,122.63,,43.01,,161.47,57.91,3.756,7.376,True,237.0,382.0,12.0,2.0,0.0,0.0,28.0
13.321,Weightlifting,Snatch,Side View,First Pull,Detected,,48.88,,76.56,,119.56,,42.7,,158.2,58.9,3.756,7.376,True,237.0,380.0,12.0,4.0,32.12,0.0,28.0
13.384,Weightlifting,Snatch,Side View,First Pull,Detected,,49.18,,78.85,,114.16,,42.7,,158.05,59.57,3.802,7.849,True,237.0,377.0,12.0,7.0,46.4,0.0,28.0
13.446,Weightlifting,Snatch,Side View,First Pull,Detected,,52.68,,80.42,,104.74,,40.89,,146.2,58.9,3.802,7.849,True,242.0,363.0,17.0,21.0,229.95,82.13,28.0
13.509,Weightlifting,Snatch,Side View,First Pull,Detected,,51.59,,71.15,,102.08,,43.37,,146.55,59.1,3.756,7.558,True,243.0,361.0,18.0,23.0,31.72,15.86,28.0
13.566,Weightlifting,Snatch,Side View,First Pull,Detected,,49.48,,83.58,,93.91,,39.46,,150.33,59.24,3.756,7.558,True,234.0,367.0,9.0,17.0,-104.19,-156.28,28.0
13.624,Weightlifting,Snatch,Side View,First Pull,Detected,,46.92,,86.42,,100.78,,43.19,,151.36,59.37,3.779,7.466,True,238.0,367.0,13.0,17.0,0.0,69.63,28.0
13.689,Weightlifting,Snatch,Side View,First Pull,Detected,,47.6,,86.62,,104.44,,40.77,,146.67,59.66,3.779,7.466,True,235.0,367.0,10.0,17.0,0.0,-45.91,28.0
13.747,Weightlifting,Snatch,Side View,First Pull,Detected,,48.1,,87.93,,105.58,,43.29,,150.12,60.91,3.779,7.288,True,235.0,367.0,10.0,17.0,0.0,0.0,28.0
13.812,Weightlifting,Snatch,Side View,First Pull,Detected,,47.56,,90.25,,107.97,,42.19,,155.82,60.0,3.802,7.288,True,231.0,365.0,6.0,19.0,31.31,-62.62,28.0
13.874,Weightlifting,Snatch,Side View,First Pull,Detected,,47.49,,89.71,,106.81,,42.51,,151.44,60.36,3.779,7.376,True,233.0,365.0,8.0,19.0,0.0,33.04,28.0
13.935,Weightlifting,Snatch,Side View,First Pull,Detected,,54.83,,99.79,,113.59,,40.5,,158.44,57.87,3.779,7.376,True,229.0,363.0,4.0,21.0,32.24,-64.49,28.0
13.995,Weightlifting,Snatch,Side View,First Pull,Detected,,53.12,,96.3,,110.08,,39.69,,154.4,58.9,3.779,7.466,True,230.0,362.0,5.0,22.0,16.58,16.58,28.0
14.056,Weightlifting,Snatch,Side View,First Pull,Detected,,52.46,,91.12,,109.01,,36.2,,159.4,58.97,3.802,7.466,True,225.0,361.0,0.0,23.0,16.05,-80.24,28.0
14.115,Weightlifting,Snatch,Side View,First Pull,Detected,,52.78,,86.9,,115.52,,34.03,,161.08,59.04,3.802,7.376,True,223.0,362.0,-2.0,22.0,-17.33,-34.66,28.0
14.178,Weightlifting,Snatch,Side View,First Pull,Detected,,58.32,,95.06,,112.1,,32.73,,,59.17,3.802,7.376,True,224.0,352.0,-1.0,32.0,159.88,15.99,32.0
14.239,Weightlifting,Snatch,Side View,First Pull,Detected,,61.07,,96.19,,115.9,,31.15,,,55.99,3.826,7.749,True,225.0,348.0,0.0,36.0,65.02,16.26,36.0
14.301,Weightlifting,Snatch,Side View,First Pull,Detected,,63.77,,99.85,,114.45,,33.86,,,55.23,3.826,7.749,True,226.0,352.0,1.0,32.0,-64.38,16.1,36.0
14.363,Weightlifting,Snatch,Side View,First Pull,Detected,,65.85,,100.5,,107.56,,31.03,,,54.06,3.802,7.558,True,226.0,351.0,1.0,33.0,16.22,0.0,36.0
14.429,Weightlifting,Snatch,Side View,First Pull,Detected,,70.41,,106.92,,103.21,,32.72,,,53.44,3.802,7.558,True,227.0,351.0,2.0,33.0,0.0,15.45,36.0
14.483,Weightlifting,Snatch,Side View,First Pull,Detected,,70.71,,107.72,,109.83,,32.11,,,53.66,3.826,7.288,True,227.0,351.0,2.0,33.0,0.0,0.0,36.0
14.545,Weightlifting,Snatch,Side View,First Pull,Detected,,72.21,,107.87,,107.44,,32.55,,,50.76,3.85,7.288,True,235.0,341.0,10.0,43.0,162.94,130.36,43.0
14.605,Weightlifting,Snatch,Side View,First Pull,Detected,,70.94,,104.56,,109.52,,32.52,,,49.68,3.85,7.376,True,240.0,327.0,15.0,57.0,231.77,82.78,57.0
14.667,Weightlifting,Snatch,Side View,First Pull,Detected,,77.85,,110.52,,102.66,,25.29,,,47.77,3.826,7.376,True,241.0,321.0,16.0,63.0,96.52,16.09,63.0
14.73,Weightlifting,Snatch,Side View,Not Detected,Detected,,78.93,,112.41,,97.09,,28.47,,,48.58,3.826,7.652,False,,,,,,,
14.795,Weightlifting,Snatch,Side View,Not Detected,Detected,,79.59,,110.85,,91.88,,29.38,,,46.99,3.826,7.652,False,,,,,,,
14.862,Weightlifting,Snatch,Side View,Not Detected,Detected,,88.09,,120.96,,90.0,,28.87,,,46.01,3.802,7.951,False,,,,,,,
14.921,Weightlifting,Snatch,Side View,Not Detected,Detected,,93.99,,124.95,,88.06,,24.78,,,43.96,3.802,7.951,False,,,,,,,
14.991,Weightlifting,Snatch,Side View,Not Detected,Detected,,89.66,,132.48,,92.4,,31.26,,,48.47,3.802,7.951,False,,,,,,,
15.043,Weightlifting,Snatch,Side View,Not Detected,Detected,,93.08,,139.14,,99.25,,,,,48.22,3.802,7.951,False,,,,,,,
15.104,Weightlifting,Snatch,Side View,Not Detected,Detected,,86.91,,137.7,,98.56,,,,,50.51,3.756,7.288,False,,,,,,,
15.167,Weightlifting,Snatch,Side View,Not Detected,Detected,,75.23,,135.02,,98.82,,,,,54.01,3.666,7.288,False,,,,,,,
15.234,Weightlifting,Snatch,Side View,Not Detected,Detected,,80.99,,139.96,,103.16,,75.55,,,52.27,3.601,7.466,False,,,,,,,
15.296,Weightlifting,Snatch,Side View,Not Detected,Detected,,88.0,,144.59,,101.84,,85.82,,,48.52,3.58,7.466,False,,,,,,,
15.358,Weightlifting,Snatch,Side View,Not Detected,Detected,,65.96,,123.52,,90.03,,145.58,,,52.79,3.382,7.652,False,,,,,,,
15.42,Weightlifting,Snatch,Side View,Not Detected,Detected,,79.85,,113.46,,97.33,,79.44,,,47.58,3.58,7.652,False,,,,,,,
15.481,Weightlifting,Snatch,Side View,Not Detected,Detected,,83.74,,120.59,,105.15,,58.49,,,48.21,3.459,7.951,False,,,,,,,
15.541,Weightlifting,Snatch,Side View,Not Detected,Detected,,92.0,,134.51,,111.37,,51.48,,,46.82,3.401,7.951,False,,,,,,,
15.604,Weightlifting,Snatch,Side View,Not Detected,Detected,,94.39,,140.72,,115.06,,47.04,,,47.19,3.309,7.288,False,,,,,,,
15.667,Weightlifting,Snatch,Side View,Not Detected,Detected,,87.64,,137.27,,118.02,,43.99,,,46.49,3.291,7.288,False,,,,,,,
15.728,Weightlifting,Snatch,Side View,Not Detected,Detected,,89.47,,136.08,,116.83,,44.08,,,47.53,3.256,7.558,False,,,,,,,
15.793,Weightlifting,Snatch,Side View,Second Pull,Detected,,89.37,,143.13,,121.44,,,,,47.95,3.239,7.558,True,247.0,197.0,22.0,187.0,110.21,5.33,187.0
15.857,Weightlifting,Snatch,Side View,Turnover,Detected,,96.09,,145.83,,122.15,,,,,46.22,3.108,7.558,True,247.0,198.0,22.0,186.0,-15.46,0.0,187.0
15.921,Weightlifting,Snatch,Side View,Turnover,Detected,,97.49,,151.03,,120.45,,,,,47.66,3.156,7.558,True,244.0,196.0,19.0,188.0,31.48,-47.22,188.0
15.983,Weightlifting,Snatch,Side View,Turnover,Detected,,94.13,,152.57,,115.86,,,,,51.34,3.076,7.558,True,243.0,195.0,18.0,189.0,16.07,-16.07,189.0
16.045,Weightlifting,Snatch,Side View,Turnover,Detected,,105.72,,152.74,,117.64,,,,,44.29,3.123,7.558,True,237.0,190.0,12.0,194.0,81.23,-97.48,194.0
16.106,Weightlifting,Snatch,Side View,Turnover,Detected,,111.78,,156.12,,116.97,,,,,40.6,3.076,7.466,True,236.0,187.0,11.0,197.0,49.03,-16.34,197.0
16.168,Weightlifting,Snatch,Side View,Turnover,Detected,,120.28,,159.05,,115.16,,,,,39.21,3.123,7.466,True,232.0,184.0,7.0,200.0,48.46,-64.61,200.0
16.231,Weightlifting,Snatch,Side View,Turnover,Detected,,118.04,,157.74,,116.77,,,,,39.69,3.076,7.558,True,233.0,184.0,8.0,200.0,0.0,15.91,200.0
16.292,Weightlifting,Snatch,Side View,Turnover,Detected,,121.03,,159.61,,115.5,,,,,39.9,3.061,7.558,True,228.0,182.0,3.0,202.0,32.27,-80.67,202.0
16.355,Weightlifting,Snatch,Side View,Turnover,Detected,,123.34,,160.58,,117.99,,,,,39.06,3.156,7.288,True,228.0,181.0,3.0,203.0,16.08,0.0,203.0
16.418,Weightlifting,Snatch,Side View,Turnover,Detected,,118.62,,162.13,,125.67,,,,,41.89,3.123,7.288,True,225.0,177.0,0.0,207.0,63.35,-47.51,207.0
16.481,Weightlifting,Snatch,Side View,Turnover,Detected,,115.83,,167.63,,128.4,,,,,41.99,3.061,7.652,True,222.0,181.0,-3.0,203.0,-62.88,-47.16,207.0
16.546,Weightlifting,Snatch,Side View,Second Pull,Detected,,111.49,,164.23,,129.22,,,,,41.58,3.076,7.652,True,225.0,172.0,0.0,212.0,139.76,46.59,212.0
16.61,Weightlifting,Snatch,Side View,Second Pull,Detected,,120.35,,166.48,,130.73,,,,,38.0,3.156,7.951,True,224.0,166.0,-1.0,218.0,93.54,-15.59,218.0
16.672,Weightlifting,Snatch,Side View,Turnover,Detected,,112.69,,165.15,,131.4,,,,,38.99,3.156,7.951,True,226.0,166.0,1.0,218.0,0.0,32.25,218.0
16.735,Weightlifting,Snatch,Side View,Catch,Detected,,117.01,,165.79,,135.26,,,,,38.77,3.256,7.652,True,239.0,173.0,14.0,211.0,-111.67,207.39,218.0
16.8,Weightlifting,Snatch,Side View,Turnover,Detected,,120.32,,157.21,,132.84,,,,,37.43,3.205,7.652,True,237.0,175.0,12.0,209.0,-30.72,-30.72,218.0
