time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px
3.282,Weightlifting,Snatch,Side View,First Pull,Detected,,40.33,,66.57,,110.01,,33.24,,155.22,46.36,3.733,7.376,True,237.0,391.0,12.0,-7.0,47.82,15.94,28.0
3.345,Weightlifting,Snatch,Side View,First Pull,Detected,,39.95,,63.47,,113.01,,32.99,,157.74,45.81,3.733,7.376,True,236.0,393.0,11.0,-9.0,-31.86,-15.93,28.0
3.407,Weightlifting,Snatch,Side View,First Pull,Detected,,40.46,,62.0,,116.44,,32.74,,158.27,45.27,3.756,8.055,True,236.0,394.0,11.0,-10.0,-16.05,0.0,28.0
3.472,Weightlifting,Snatch,Side View,First Pull,Detected,,43.15,,65.82,,120.8,,32.99,,158.78,45.27,3.733,8.055,True,236.0,397.0,11.0,-13.0,-46.13,0.0,28.0
3.534,Weightlifting,Snatch,Side View,First Pull,Detected,,43.56,,65.03,,119.07,,33.51,,159.02,45.28,3.733,7.037,True,236.0,399.0,11.0,-15.0,-32.53,0.0,28.0
3.598,Weightlifting,Snatch,Side View,First Pull,Detected,,42.66,,59.41,,117.54,,33.76,,140.76,45.55,3.733,7.037,True,243.0,387.0,18.0,-3.0,185.96,108.48,28.0
3.663,Weightlifting,Snatch,Side View,First Pull,Detected,,42.32,,55.52,,116.77,,34.38,,138.05,45.27,3.71,7.749,True,245.0,385.0,20.0,-1.0,30.55,30.55,28.0
3.723,Weightlifting,Snatch,Side View,First Pull,Detected,,40.02,,62.2,,106.47,,34.45,,148.16,45.81,3.71,7.749,True,242.0,389.0,17.0,-5.0,-66.34,-49.75,28.0
3.789,Weightlifting,Snatch,Side View,First Pull,Detected,,39.95,,64.05,,106.46,,33.25,,147.6,45.81,3.756,7.652,True,241.0,390.0,16.0,-6.0,-15.6,-15.6,28.0
3.847,Weightlifting,Snatch,Side View,First Pull,Detected,,40.33,,61.59,,110.22,,34.73,,146.52,46.08,3.756,7.652,True,242.0,387.0,17.0,-3.0,51.91,17.3,28.0
3.907,Weightlifting,Snatch,Side View,First Pull,Detected,,41.23,,60.71,,112.01,,34.73,,145.76,45.81,3.733,7.849,True,242.0,386.0,17.0,-2.0,16.39,0.0,28.0
3.97,Weightlifting,Snatch,Side View,First Pull,Detected,,46.3,,55.14,,112.36,,32.99,,149.59,45.81,3.733,7.849,True,240.0,390.0,15.0,-6.0,-64.07,-32.03,28.0
4.032,Weightlifting,Snatch,Side View,First Pull,Detected,,48.63,,54.82,,110.22,,33.69,,151.34,45.27,3.71,7.558,True,240.0,391.0,15.0,-7.0,-16.15,0.0,28.0
4.091,Weightlifting,Snatch,Side View,First Pull,Detected,,44.08,,54.62,,114.58,,33.69,,154.65,45.27,3.71,7.558,True,238.0,391.0,13.0,-7.0,0.0,-33.35,28.0
4.153,Weightlifting,Snatch,Side View,First Pull,Detected,,42.23,,54.55,,115.04,,33.69,,154.65,45.0,3.756,7.652,True,238.0,391.0,13.0,-7.0,0.0,0.0,28.0
4.218,Weightlifting,Snatch,Side View,First Pull,Detected,,41.31,,54.88,,112.19,,33.44,,138.46,45.27,3.756,7.652,True,245.0,384.0,20.0,0.0,107.57,107.57,28.0
4.279,Weightlifting,Snatch,Side View,First Pull,Detected,,40.85,,56.18,,111.52,,33.96,,135.82,45.27,3.756,8.055,True,246.0,383.0,21.0,1.0,16.58,16.58,28.0
4.343,Weightlifting,Snatch,Side View,First Pull,Detected,,39.56,,61.73,,117.36,,33.69,,154.65,45.0,3.756,8.055,True,238.0,391.0,13.0,-7.0,-125.1,-125.1,28.0
4.405,Weightlifting,Snatch,Side View,First Pull,Detected,,40.46,,63.49,,118.22,,34.92,,159.91,45.0,3.71,7.749,True,236.0,393.0,11.0,-9.0,-32.13,-32.13,28.0
4.472,Weightlifting,Snatch,Side View,First Pull,Detected,,39.86,,60.8,,120.42,,34.22,,157.06,45.27,3.71,7.749,True,237.0,393.0,12.0,-9.0,0.0,14.97,28.0
4.534,Weightlifting,Snatch,Side View,First Pull,Detected,,40.39,,59.59,,120.51,,33.93,,157.3,45.27,3.71,7.466,True,237.0,393.0,12.0,-9.0,0.0,0.0,28.0
4.595,Weightlifting,Snatch,Side View,First Pull,Detected,,39.94,,66.74,,114.64,,33.51,,158.26,45.55,3.71,7.466,True,235.0,396.0,10.0,-12.0,-49.5,-33.0,28.0
4.658,Weightlifting,Snatch,Side View,First Pull,Detected,,39.94,,70.29,,112.7,,33.51,,160.08,45.55,3.756,7.749,True,234.0,397.0,9.0,-13.0,-16.06,-16.06,28.0
4.723,Weightlifting,Snatch,Side View,First Pull,Detected,,40.46,,69.89,,119.43,,32.2,,155.22,45.27,3.756,7.749,True,236.0,390.0,11.0,-6.0,107.76,30.79,28.0
4.784,Weightlifting,Snatch,Side View,First Pull,Detected,,40.91,,68.35,,119.51,,31.08,,151.35,45.0,3.756,7.749,True,238.0,388.0,13.0,-4.0,32.62,32.62,28.0
4.845,Weightlifting,Snatch,Side View,First Pull,Detected,,40.31,,66.56,,108.65,,31.61,,152.98,45.54,3.756,7.749,True,237.0,388.0,12.0,-4.0,0.0,-16.28,28.0
4.908,Weightlifting,Snatch,Side View,First Pull,Detected,,38.77,,65.2,,108.31,,30.84,,151.7,46.08,3.756,8.055,True,237.0,388.0,12.0,-4.0,0.0,0.0,28.0
4.971,Weightlifting,Snatch,Side View,First Pull,Detected,,37.81,,63.48,,104.94,,34.17,,156.28,46.37,3.756,8.055,True,235.0,395.0,10.0,-11.0,-111.12,-31.75,28.0
5.032,Weightlifting,Snatch,Side View,First Pull,Detected,,37.81,,62.58,,104.04,,34.63,,158.59,46.36,3.733,7.652,True,234.0,397.0,9.0,-13.0,-33.03,-16.51,28.0
5.096,Weightlifting,Snatch,Side View,First Pull,Detected,,38.89,,60.94,,119.64,,33.92,,153.72,46.36,3.733,7.652,True,237.0,397.0,12.0,-13.0,0.0,46.44,28.0
5.16,Weightlifting,Snatch,Side View,First Pull,Detected,,38.96,,59.76,,123.27,,34.57,,154.75,46.36,3.71,7.376,True,238.0,396.0,13.0,-12.0,15.65,15.65,28.0
5.221,Weightlifting,Snatch,Side View,First Pull,Detected,,41.61,,58.77,,118.83,,35.04,,157.16,46.36,3.71,7.376,True,237.0,399.0,12.0,-15.0,-49.1,-16.37,28.0
5.283,Weightlifting,Snatch,Side View,First Pull,Detected,,43.02,,58.43,,115.66,,35.65,,158.28,45.82,3.756,7.951,True,237.0,399.0,12.0,-15.0,0.0,0.0,28.0
5.346,Weightlifting,Snatch,Side View,First Pull,Detected,,42.11,,61.59,,115.14,,33.78,,156.73,46.08,3.756,7.951,True,237.0,396.0,12.0,-12.0,47.62,0.0,28.0
5.409,Weightlifting,Snatch,Side View,First Pull,Detected,,40.73,,62.75,,117.19,,33.74,,156.19,46.34,3.71,7.849,True,237.0,394.0,12.0,-10.0,32.11,0.0,28.0
5.471,Weightlifting,Snatch,Side View,First Pull,Detected,,41.71,,62.21,,121.29,,32.99,,153.43,45.81,3.71,7.849,True,237.0,390.0,12.0,-6.0,63.54,0.0,28.0
5.533,Weightlifting,Snatch,Side View,First Pull,Detected,,41.71,,61.43,,123.62,,32.99,,150.77,45.81,3.756,7.376,True,238.0,388.0,13.0,-4.0,32.65,16.32,28.0
5.597,Weightlifting,Snatch,Side View,First Pull,Detected,,41.63,,60.74,,103.75,,36.47,,142.37,46.07,3.756,7.376,True,243.0,382.0,18.0,2.0,93.62,78.02,28.0
5.658,Weightlifting,Snatch,Side View,First Pull,Detected,,41.63,,61.17,,104.17,,37.9,,142.74,46.34,3.733,7.849,True,244.0,382.0,19.0,2.0,0.0,16.36,28.0
5.72,Weightlifting,Snatch,Side View,First Pull,Detected,,44.33,,61.73,,117.16,,36.89,,157.47,46.08,3.756,7.849,True,239.0,396.0,14.0,-12.0,-224.1,-80.03,28.0
5.788,Weightlifting,Snatch,Side View,First Pull,Detected,,46.24,,62.25,,119.91,,36.06,,159.53,45.27,3.733,7.749,True,237.0,398.0,12.0,-14.0,-29.79,-29.79,28.0
5.844,Weightlifting,Snatch,Side View,First Pull,Detected,,43.08,,62.55,,119.74,,35.2,,158.16,45.81,3.733,7.749,True,237.0,397.0,12.0,-13.0,17.64,0.0,28.0
5.906,Weightlifting,Snatch,Side View,First Pull,Detected,,42.2,,62.08,,116.97,,35.2,,157.85,45.81,3.756,7.466,True,237.0,396.0,12.0,-12.0,15.9,0.0,28.0
5.97,Weightlifting,Snatch,Side View,First Pull,Detected,,43.42,,60.95,,109.13,,36.71,,120.24,46.09,3.756,7.466,True,250.0,377.0,25.0,7.0,301.72,206.44,28.0
6.033,Weightlifting,Snatch,Side View,First Pull,Detected,,44.81,,60.54,,108.04,,37.41,,113.11,46.1,3.733,7.749,True,252.0,374.0,27.0,10.0,48.1,32.06,28.0
6.094,Weightlifting,Snatch,Side View,First Pull,Detected,,42.56,,60.08,,109.31,,37.11,,117.41,46.36,3.733,7.749,True,251.0,379.0,26.0,5.0,-80.94,-16.19,28.0
6.157,Weightlifting,Snatch,Side View,First Pull,Detected,,42.2,,60.03,,105.03,,37.93,,124.75,46.09,3.756,7.466,True,245.0,379.0,20.0,5.0,0.0,-95.6,28.0
6.222,Weightlifting,Snatch,Side View,First Pull,Detected,,38.96,,62.57,,113.77,,38.28,,154.46,46.36,3.756,7.466,True,240.0,393.0,15.0,-9.0,-213.37,-76.2,28.0
6.285,Weightlifting,Snatch,Side View,First Pull,Detected,,38.89,,63.33,,116.23,,36.92,,156.71,46.08,3.756,7.652,True,238.0,396.0,13.0,-12.0,-48.5,-32.34,28.0
6.346,Weightlifting,Snatch,Side View,First Pull,Detected,,38.89,,59.69,,117.85,,37.3,,157.1,45.81,3.756,7.652,True,238.0,398.0,13.0,-14.0,-32.45,0.0,28.0
