time_s,athlete_depth_m,center_depth_m
0.018,3.733,7.652
0.08,3.733,7.652
0.142,3.756,7.951
0.204,3.756,7.951
0.268,3.756,7.652
0.332,3.756,7.652
0.394,3.733,7.288
0.456,3.733,7.288
0.519,3.756,7.951
0.588,3.756,7.951
0.642,3.733,7.558
0.706,3.733,7.558
0.77,3.733,7.849
0.834,3.733,7.849
0.894,3.756,8.055
0.957,3.756,8.055
1.018,3.733,7.558
1.083,3.733,7.558
1.148,3.733,7.652
1.208,3.733,7.652
1.271,3.71,7.652
1.336,3.71,7.652
1.394,3.733,7.376
1.456,3.733,7.376
1.519,3.756,8.055
1.58,3.756,8.055
1.642,3.733,7.376
1.705,3.733,7.376
1.772,3.733,7.466
1.828,3.733,7.466
1.892,3.733,7.288
1.955,3.733,7.288
2.02,3.756,7.849
2.084,3.756,7.849
2.144,3.733,7.376
2.206,3.733,7.376
2.27,3.756,7.466
2.334,3.756,7.466
2.393,3.779,7.652
2.455,3.779,7.652
2.517,3.733,7.749
2.582,3.733,7.749
2.644,3.71,7.652
2.708,3.71,7.652
2.773,3.756,7.749
2.834,3.756,7.749
2.894,3.71,8.055
2.956,3.71,8.055
3.019,3.71,7.558
3.088,3.71,7.558
3.158,3.733,7.652
3.219,3.733,7.652
3.282,3.733,7.376
3.345,3.733,7.376
3.407,3.756,8.055
3.472,3.733,8.055
3.534,3.733,7.037
3.598,3.733,7.037
3.663,3.71,7.749
3.723,3.71,7.749
3.789,3.756,7.652
3.847,3.756,7.652
3.907,3.733,7.849
3.97,3.733,7.849
4.032,3.71,7.558
4.091,3.71,7.558
4.153,3.756,7.652
4.218,3.756,7.652
4.279,3.756,8.055
4.343,3.756,8.055
4.405,3.71,7.749
4.472,3.71,7.749
4.534,3.71,7.466
4.595,3.71,7.466
4.658,3.756,7.749
4.723,3.756,7.749
4.784,3.756,7.749
4.845,3.756,7.749
4.908,3.756,8.055
4.971,3.756,8.055
5.032,3.733,7.652
5.096,3.733,7.652
5.16,3.71,7.376
5.221,3.71,7.376
5.283,3.756,7.951
5.346,3.756,7.951
5.409,3.71,7.849
5.471,3.71,7.849
5.533,3.756,7.376
5.597,3.756,7.376
5.658,3.733,7.849
5.72,3.756,7.849
5.788,3.733,7.749
5.844,3.733,7.749
5.906,3.756,7.466
5.97,3.756,7.466
6.033,3.733,7.749
6.094,3.733,7.749
6.157,3.756,7.466
6.222,3.756,7.466
6.285,3.756,7.652
6.346,3.756,7.652
6.409,3.756,7.466
6.474,3.756,7.466
6.534,3.756,7.466
6.6,3.756,7.466
6.666,3.733,7.558
6.722,3.733,7.558
6.785,3.733,7.376
6.846,3.733,7.376
6.91,3.756,7.849
6.974,3.756,7.849
7.036,3.756,8.503
7.102,3.733,8.503
7.161,3.733,7.849
7.226,3.733,7.849
7.289,3.756,6.957
7.351,3.756,6.957
7.412,3.71,7.376
7.473,3.71,7.376
7.536,3.733,8.163
7.604,3.733,8.163
7.663,3.756,7.466
7.724,3.756,7.466
7.791,3.756,7.558
7.854,3.756,7.558
7.915,3.756,7.849
7.972,3.756,7.849
8.036,3.756,7.652
8.1,3.756,7.652
8.162,3.733,8.273
8.223,3.733,8.273
8.283,3.71,7.951
8.35,3.71,7.951
8.411,3.756,7.558
8.474,3.733,7.558
8.535,3.71,8.055
8.597,3.71,8.055
8.661,3.733,6.957
8.731,3.733,6.957
8.79,3.733,8.055
8.854,3.733,8.055
8.914,3.733,7.466
8.973,3.733,7.466
9.032,3.71,7.376
9.095,3.71,7.376
9.158,3.756,7.466
9.22,3.756,7.466
9.283,3.71,7.652
9.346,3.71,7.652
9.407,3.733,7.202
9.469,3.733,7.202
9.532,3.756,7.376
9.594,3.756,7.376
9.657,3.688,7.951
9.721,3.688,7.951
9.781,3.71,7.951
9.845,3.71,7.951
9.905,3.71,7.202
9.971,3.71,7.202
10.03,3.71,7.037
10.093,3.71,7.037
10.155,3.71,7.376
10.219,3.71,7.376
10.279,3.733,7.951
10.344,3.733,7.951
10.407,3.733,7.652
10.469,3.733,7.652
10.531,3.71,7.849
10.592,3.71,7.849
10.655,3.756,7.849
10.718,3.756,7.849
10.779,3.756,7.118
10.846,3.756,7.118
10.907,3.71,7.202
10.969,3.71,7.202
11.029,3.733,7.466
11.092,3.71,7.466
11.154,3.71,7.849
11.221,3.71,7.849
11.28,3.756,7.951
11.342,3.756,7.951
11.405,3.733,7.466
11.469,3.733,7.466
11.528,3.71,7.376
11.591,3.71,7.376
11.653,3.733,7.652
11.716,3.733,7.652
11.778,3.733,8.055
11.841,3.733,8.055
11.91,3.756,7.652
11.97,3.756,7.652
12.034,3.71,7.652
12.095,3.71,7.652
12.155,3.733,7.466
12.218,3.733,7.466
12.277,3.733,7.558
12.34,3.733,7.558
12.401,3.756,8.055
12.463,3.756,8.055
12.523,3.756,7.558
12.583,3.779,7.558
12.642,3.779,7.652
12.703,3.802,7.652
12.765,3.756,7.749
12.828,3.756,7.749
12.887,3.756,7.288
12.95,3.779,7.288
13.011,3.733,7.288
13.072,3.733,7.288
