metric,mean,min,max,valid_samples
left_hip_angle_deg,171.551,98.3,180.0,74
right_hip_angle_deg,144.288,41.52,180.0,540
left_knee_angle_deg,171.587,101.2,179.85,74
right_knee_angle_deg,149.389,52.08,179.97,540
left_ankle_angle_deg,117.678,99.95,129.56,74
right_ankle_angle_deg,114.097,61.57,152.32,540
left_shoulder_angle_deg,13.752,11.61,16.7,20
right_shoulder_angle_deg,82.156,0.06,179.94,499
left_elbow_angle_deg,155.582,151.7,160.74,20
right_elbow_angle_deg,144.894,3.58,180.0,394
trunk_lean_angle_deg,17.048,0.0,60.91,540
athlete_depth_m,3.823,3.061,4.281,540
center_depth_m,7.587,6.957,8.386,539
barbell_horizontal_displacement_px,18.169,-7.0,43.0,526
barbell_vertical_displacement_px,270.914,0.0,323.0,526
barbell_vertical_velocity_px_s,-0.075,-12.67,87.35,526
barbell_horizontal_velocity_px_s,6.759,-32.85,50.47,526
barbell_horizontal_displacement_m,0.087,-0.037,0.228,526
barbell_vertical_displacement_m,1.437,-0.0,1.71,526
barbell_vertical_velocity_m_s,0.025,-0.148,0.444,526
barbell_horizontal_velocity_m_s,0.023,-0.34,0.331,526
