phase,start_time_s,end_time_s,sample_count
Catch Phase,10.246,11.304,13
Deadlift Phase,1.35,4.057,31
Jump Phase,4.153,10.15,65
Overhead Squat Phase,11.398,50.104,418
Setup,0.076,1.256,14
