sport,exercise,camera_view,input_mode,phase,start_time_s,end_time_s,duration_s,sample_count,left_hip_angle_mean_deg,left_hip_angle_min_deg,left_hip_angle_max_deg,left_hip_angle_range_deg,right_hip_angle_mean_deg,right_hip_angle_min_deg,right_hip_angle_max_deg,right_hip_angle_range_deg,left_knee_angle_mean_deg,left_knee_angle_min_deg,left_knee_angle_max_deg,left_knee_angle_range_deg,right_knee_angle_mean_deg,right_knee_angle_min_deg,right_knee_angle_max_deg,right_knee_angle_range_deg,left_ankle_angle_mean_deg,left_ankle_angle_min_deg,left_ankle_angle_max_deg,left_ankle_angle_range_deg,right_ankle_angle_mean_deg,right_ankle_angle_min_deg,right_ankle_angle_max_deg,right_ankle_angle_range_deg,left_shoulder_angle_mean_deg,left_shoulder_angle_min_deg,left_shoulder_angle_max_deg,right_shoulder_angle_mean_deg,right_shoulder_angle_min_deg,right_shoulder_angle_max_deg,left_elbow_angle_mean_deg,left_elbow_angle_min_deg,left_elbow_angle_max_deg,right_elbow_angle_mean_deg,right_elbow_angle_min_deg,right_elbow_angle_max_deg,trunk_lean_angle_mean_deg,trunk_lean_angle_min_deg,trunk_lean_angle_max_deg,trunk_lean_angle_range_deg,barbell_vertical_displacement_mean_px,barbell_vertical_displacement_min_px,barbell_vertical_displacement_max_px,barbell_vertical_displacement_range_px,barbell_horizontal_displacement_mean_px,barbell_horizontal_displacement_min_px,barbell_horizontal_displacement_max_px,barbell_horizontal_displacement_range_px,barbell_vertical_velocity_mean_px_s,barbell_vertical_velocity_max_abs_px_s,barbell_horizontal_velocity_mean_px_s,barbell_horizontal_velocity_max_abs_px_s,barbell_vertical_displacement_mean_m,barbell_vertical_displacement_min_m,barbell_vertical_displacement_max_m,barbell_vertical_displacement_range_m,barbell_horizontal_displacement_mean_m,barbell_horizontal_displacement_min_m,barbell_horizontal_displacement_max_m,barbell_horizontal_displacement_range_m,barbell_vertical_velocity_mean_m_s,barbell_vertical_velocity_max_abs_m_s,barbell_horizontal_velocity_mean_m_s,barbell_horizontal_velocity_max_abs_m_s,athlete_depth_mean_m,athlete_depth_min_m,athlete_depth_max_m,center_depth_mean_m,center_depth_min_m,center_depth_max_m
Weightlifting,Snatch,Side View,RealSense Bag File,Deadlift Phase,1.35,4.057,2.707,31,,,,,54.2503,41.98,77.85,35.87,,,,,88.5335,67.1,110.52,43.42,,,,,110.0965,93.91,122.63,28.72,,,,38.1077,25.29,43.37,,,,154.0082,146.2,161.47,56.8565,47.77,60.91,13.14,24.9032,0.0,59.0,59.0,3.0968,0.0,5.0,5.0,21.5952,64.15,1.8035,25.42,0.1318,-0.0,0.3062,0.3062,0.0171,0.0,0.0313,0.0313,0.1129,0.2391,0.009,0.1372,3.7882,3.733,3.85,7.4438,7.202,7.849
Weightlifting,Snatch,Side View,RealSense Bag File,Jump Phase,4.153,10.15,5.997,65,,,,,109.7542,65.96,147.46,81.5,,,,,133.193,101.64,167.63,65.99,,,,,113.673,88.06,135.26,47.2,,,,72.1348,1.31,145.58,,,,118.77,118.77,118.77,34.0155,0.68,54.01,53.33,165.0625,59.0,260.0,201.0,18.8281,-7.0,43.0,50.0,32.7914,87.35,4.857,50.47,0.8667,0.3092,1.3626,1.0534,0.1055,-0.0367,0.2285,0.2652,0.1723,0.444,0.0267,0.34,3.5233,3.061,4.281,7.5742,7.118,8.055
Weightlifting,Snatch,Side View,RealSense Bag File,Catch Phase,10.246,11.304,1.058,13,,,,,106.2215,98.56,113.53,14.97,,,,,105.4038,99.65,110.26,10.61,,,,,108.7,104.6,111.28,6.68,,,,163.7162,145.77,176.74,,,,121.1454,103.56,138.96,23.1208,17.34,26.71,9.37,262.0769,261.0,263.0,2.0,25.8462,21.0,31.0,10.0,0.6792,20.92,-11.3138,31.38,1.3729,1.3678,1.3783,0.0105,0.136,0.1101,0.1644,0.0543,0.0036,0.0824,-0.0593,0.1591,3.892,3.875,3.95,7.4565,7.037,7.749
Weightlifting,Snatch,Side View,RealSense Bag File,Overhead Squat Phase,11.398,50.104,38.706,418,171.5511,98.3,180.0,81.7,160.788,94.57,180.0,85.43,171.5866,101.2,179.85,78.65,160.7348,97.13,179.97,82.84,117.678,99.95,129.56,29.61,114.875,61.57,152.32,90.75,13.752,11.61,16.7,85.1004,0.06,179.94,155.5815,151.7,160.74,144.7732,3.58,180.0,10.1586,0.0,29.66,29.66,305.6411,260.0,323.0,63.0,18.9474,6.0,23.0,17.0,-6.7378,36.45,7.9794,24.85,1.6235,1.36,1.7104,0.3504,0.0877,0.0238,0.108,0.0842,-0.0036,0.1692,0.0257,0.1295,3.8724,3.291,4.193,7.6018,6.957,8.386
