metric,mean,min,max,valid_samples
left_hip_angle_deg,100.59,98.3,104.54,5
right_hip_angle_deg,116.199,38.55,179.25,292
left_knee_angle_deg,103.366,101.2,108.19,5
right_knee_angle_deg,125.976,52.08,173.88,292
left_ankle_angle_deg,111.082,106.71,113.27,5
right_ankle_angle_deg,111.635,79.14,135.26,292
right_shoulder_angle_deg,122.708,1.31,179.94,257
right_elbow_angle_deg,150.361,3.58,180.0,220
trunk_lean_angle_deg,27.641,0.68,60.91,292
athlete_depth_m,3.803,3.061,4.281,292
center_depth_m,7.577,7.037,8.273,293
barbell_horizontal_displacement_px,13.227,-7.0,43.0,260
barbell_vertical_displacement_px,233.996,0.0,323.0,260
barbell_vertical_velocity_px_s,13.004,-13.15,100.72,260
barbell_horizontal_velocity_px_s,0.988,-37.78,64.21,260
barbell_horizontal_displacement_m,0.065,-0.037,0.228,260
barbell_vertical_displacement_m,1.237,-0.0,1.71,260
barbell_vertical_velocity_m_s,0.069,-0.145,0.513,260
barbell_horizontal_velocity_m_s,0.004,-0.341,0.348,260
