time_s,athlete_depth_m,center_depth_m
0.05,3.302,
0.113,3.302,
0.174,3.338,
0.237,3.338,
0.299,3.266,3.794
0.363,3.266,3.794
0.425,3.302,
0.488,3.302,
0.553,3.32,
0.614,3.32,
0.678,3.32,
0.738,3.32,
0.801,3.32,
0.862,3.32,
0.923,3.302,
0.985,3.32,
1.048,3.302,
1.11,3.302,
1.172,3.302,
1.234,3.302,
1.298,3.249,3.966
1.358,3.249,3.966
1.42,3.284,
1.483,3.284,
1.547,3.266,
1.61,3.266,
1.671,3.338,
1.735,3.338,
1.797,3.249,
1.862,3.249,
1.927,3.215,
1.987,3.215,
2.049,3.249,
2.111,3.215,
2.175,3.215,
2.236,3.215,
2.299,3.232,
2.361,3.232,
2.423,3.198,
2.487,3.198,
2.546,3.232,
2.609,3.232,
2.67,3.249,
2.734,3.249,
2.795,3.249,
2.859,3.249,
2.923,3.302,
2.985,3.302,
3.05,3.215,
3.11,3.215,
3.171,3.181,
3.234,3.181,
3.299,3.302,
3.362,3.302,
3.424,3.249,4.242
3.487,3.249,4.242
3.55,3.215,4.271
3.616,3.215,4.271
3.673,3.232,
3.734,3.232,
3.799,3.266,
3.86,3.249,
3.923,3.232,
3.987,3.232,
4.049,3.215,
4.111,3.215,
4.174,3.266,
4.237,3.266,
4.298,3.249,
4.361,3.249,
4.423,3.198,4.886
4.486,3.198,4.886
4.547,3.249,
4.608,3.249,
4.671,3.249,4.242
4.733,3.249,4.242
4.796,3.32,
4.859,3.32,
4.92,3.412,5.09
4.984,3.412,5.09
5.046,3.412,5.358
5.109,3.412,5.358
5.17,3.47,5.988
5.232,3.431,5.988
5.295,3.302,7.359
5.358,3.266,7.359
5.42,3.338,8.483
5.483,3.32,8.483
5.547,3.338,8.483
5.608,3.338,8.483
5.67,3.284,7.541
5.732,3.266,7.541
5.794,3.356,7.359
5.857,3.356,7.359
5.919,3.302,8.037
5.981,3.302,8.037
6.043,3.302,7.831
6.105,3.302,7.831
6.169,3.302,7.635
6.232,3.302,7.635
6.293,3.302,8.144
6.355,3.302,8.144
6.418,3.302,8.483
6.481,3.284,8.483
6.542,3.266,8.254
6.604,3.266,8.254
6.667,3.338,8.726
6.73,3.338,8.726
6.793,3.249,7.932
6.855,3.266,7.932
6.918,3.302,8.144
6.979,3.284,8.144
7.043,3.302,8.144
7.105,3.32,8.144
7.168,3.302,8.483
7.23,3.302,8.483
7.292,3.284,7.831
7.355,3.284,7.831
7.417,3.284,7.932
7.479,3.284,7.932
7.542,3.266,7.831
7.604,3.266,7.831
7.668,3.266,8.483
7.727,3.266,8.483
7.787,3.302,8.483
7.849,3.302,8.483
7.913,3.32,7.932
7.974,3.32,7.932
8.036,3.302,8.037
8.097,3.302,8.037
8.162,3.393,8.144
8.226,3.393,8.144
8.287,3.338,8.254
8.351,3.338,8.254
8.416,3.375,8.254
8.479,3.375,8.254
8.542,3.338,8.144
8.605,3.338,8.144
8.668,3.393,7.541
8.731,3.393,7.541
8.792,3.356,7.932
8.856,3.356,7.932
8.92,3.431,7.932
8.982,3.431,7.932
9.044,3.393,8.037
9.106,3.393,8.037
9.168,3.393,7.732
9.23,3.393,7.732
9.295,3.431,8.037
9.357,3.431,8.037
9.42,3.412,8.037
9.482,3.412,8.037
9.547,3.375,7.732
9.607,3.375,7.732
9.671,3.412,7.831
9.734,3.412,7.831
9.799,3.431,7.635
9.861,3.431,7.635
9.923,3.412,8.483
9.987,3.412,8.483
10.048,3.49,8.254
10.11,3.47,8.254
10.171,3.47,8.483
10.235,3.451,8.483
10.299,3.451,8.726
10.359,3.451,8.726
10.423,3.431,8.254
10.486,3.412,8.254
10.547,3.451,8.144
10.61,3.412,8.144
10.67,3.393,8.037
10.733,3.393,8.037
10.796,3.412,7.932
10.857,3.393,7.932
10.919,3.412,7.932
10.98,3.356,7.932
11.044,3.375,8.982
11.107,3.338,8.982
11.169,3.356,7.831
11.232,3.356,7.831
11.294,3.356,8.144
11.356,3.338,8.144
11.419,3.302,7.831
11.481,3.266,7.831
11.544,3.266,8.603
11.609,3.249,8.603
11.668,3.232,8.254
11.731,3.215,8.254
11.793,3.249,8.144
11.855,3.249,8.144
11.918,3.215,8.603
11.98,3.215,8.603
12.042,3.215,8.254
12.104,3.181,8.254
12.167,3.181,8.367
12.232,3.165,8.367
12.295,3.165,8.367
12.355,3.165,8.367
12.417,3.132,7.831
12.481,3.148,7.831
12.544,3.116,8.254
12.606,3.116,8.254
12.671,3.085,8.852
12.731,3.085,8.852
12.798,3.009,8.144
12.855,3.009,8.144
12.919,3.085,8.037
12.98,3.069,8.037
13.043,3.024,8.254
13.105,3.024,8.254
13.168,3.069,7.932
13.233,3.085,7.932
13.293,3.069,8.254
