metric,mean,min,max,valid_samples
left_hip_angle_deg,105.451,49.04,178.06,805
right_hip_angle_deg,104.58,41.1,177.99,805
left_knee_angle_deg,114.046,43.0,180.0,805
right_knee_angle_deg,110.45,30.17,179.89,805
left_ankle_angle_deg,135.01,109.18,171.31,805
right_ankle_angle_deg,133.317,107.48,178.34,805
left_shoulder_angle_deg,93.295,42.29,145.53,805
right_shoulder_angle_deg,89.467,44.96,139.7,805
left_elbow_angle_deg,168.291,57.2,180.0,805
right_elbow_angle_deg,167.186,82.75,179.95,805
trunk_lean_angle_deg,3.735,0.0,84.29,805
athlete_depth_m,3.331,3.009,3.636,805
center_depth_m,5.311,3.165,9.116,701
