time_s,sport,exercise,camera_view,phase,pose_status,left_hip_angle_deg,right_hip_angle_deg,left_knee_angle_deg,right_knee_angle_deg,left_ankle_angle_deg,right_ankle_angle_deg,left_shoulder_angle_deg,right_shoulder_angle_deg,left_elbow_angle_deg,right_elbow_angle_deg,trunk_lean_angle_deg,athlete_depth_m,center_depth_m,barbell_detected,barbell_x_px,barbell_y_px,barbell_horizontal_displacement_px,barbell_vertical_displacement_px,barbell_vertical_velocity_px_s,barbell_horizontal_velocity_px_s,barbell_max_height_px,barbell_x_m,barbell_y_m,barbell_z_depth_m,barbell_horizontal_displacement_m,barbell_vertical_displacement_m,barbell_vertical_velocity_m_s,barbell_horizontal_velocity_m_s,barbell_max_height_m
0.05,Weightlifting,Snatch,Front View,Setup,Detected,60.02,56.58,53.8,47.67,116.2,122.91,53.72,48.66,172.75,177.03,2.24,3.302,,False,,,,,,,,,,,,,,,
0.113,Weightlifting,Snatch,Front View,Setup,Detected,61.37,56.58,54.78,47.99,115.82,123.23,53.04,48.66,174.09,176.34,2.24,3.302,,False,,,,,,,,,,,,,,,
0.174,Weightlifting,Snatch,Front View,Setup,Detected,61.37,56.58,55.15,47.99,114.57,123.23,53.04,48.66,174.09,176.34,2.24,3.338,,False,,,,,,,,,,,,,,,
0.237,Weightlifting,Snatch,Front View,Setup,Detected,63.07,56.58,55.86,47.99,117.65,123.23,52.43,48.66,172.98,176.34,1.8,3.338,,False,,,,,,,,,,,,,,,
0.299,Weightlifting,Snatch,Front View,Setup,Detected,63.07,57.96,55.86,49.54,119.58,123.23,52.43,48.83,172.98,176.34,1.82,3.266,3.794,False,,,,,,,,,,,,,,,
0.363,Weightlifting,Snatch,Front View,Setup,Detected,63.07,57.96,55.86,49.22,119.58,114.78,52.43,48.83,172.98,176.34,1.82,3.266,3.794,False,,,,,,,,,,,,,,,
0.425,Weightlifting,Snatch,Front View,Setup,Detected,63.07,57.96,55.86,50.11,119.58,113.69,52.43,48.12,172.98,177.75,1.82,3.302,,False,,,,,,,,,,,,,,,
0.488,Weightlifting,Snatch,Front View,Setup,Detected,63.07,57.1,56.79,50.11,122.55,117.64,52.43,48.02,172.98,178.7,1.36,3.302,,False,,,,,,,,,,,,,,,
0.553,Weightlifting,Snatch,Front View,Setup,Detected,63.07,55.94,56.79,47.91,122.55,117.64,53.11,46.99,171.65,178.7,1.8,3.32,,False,,,,,,,,,,,,,,,
0.614,Weightlifting,Snatch,Front View,Setup,Detected,61.37,54.39,55.7,46.67,120.51,117.95,53.04,46.99,172.98,178.7,2.24,3.32,,False,,,,,,,,,,,,,,,
0.678,Weightlifting,Snatch,Front View,Setup,Detected,60.26,52.87,54.35,45.45,120.51,116.27,52.8,46.99,172.98,178.7,2.22,3.32,,False,,,,,,,,,,,,,,,
0.738,Weightlifting,Snatch,Front View,Setup,Detected,59.27,55.06,52.82,47.35,119.96,115.97,52.8,47.94,172.98,177.75,2.22,3.32,,False,,,,,,,,,,,,,,,
0.801,Weightlifting,Snatch,Front View,Setup,Detected,59.27,55.06,52.82,47.64,119.96,116.27,52.8,47.94,172.98,177.06,2.22,3.32,,False,,,,,,,,,,,,,,,
0.862,Weightlifting,Snatch,Front View,Setup,Detected,59.27,53.74,52.82,46.16,118.03,112.7,52.14,47.78,174.3,176.03,2.2,3.32,,False,,,,,,,,,,,,,,,
0.923,Weightlifting,Snatch,Front View,Setup,Detected,59.27,53.58,52.82,46.83,116.2,111.08,52.14,48.61,174.3,176.03,1.76,3.302,,False,,,,,,,,,,,,,,,
0.985,Weightlifting,Snatch,Front View,Setup,Detected,58.45,56.58,52.82,48.86,116.2,110.78,52.07,47.94,175.2,177.75,2.66,3.32,,False,,,,,,,,,,,,,,,
1.048,Weightlifting,Snatch,Front View,Setup,Detected,59.26,56.58,54.49,48.86,116.57,112.4,53.23,48.66,174.54,176.34,2.7,3.302,,False,,,,,,,,,,,,,,,
1.11,Weightlifting,Snatch,Front View,Setup,Detected,59.51,56.58,54.13,48.86,117.73,114.13,52.32,48.66,175.2,176.34,2.68,3.302,,False,,,,,,,,,,,,,,,
1.172,Weightlifting,Snatch,Front View,Setup,Detected,59.51,56.58,54.13,47.99,119.54,109.57,52.32,48.66,175.89,176.34,2.68,3.302,,False,,,,,,,,,,,,,,,
1.234,Weightlifting,Snatch,Front View,Setup,Detected,61.06,55.04,55.39,47.11,120.1,113.25,51.48,50.27,175.89,174.37,1.78,3.302,,False,,,,,,,,,,,,,,,
1.298,Weightlifting,Snatch,Front View,Setup,Detected,61.9,55.04,55.39,47.11,120.1,115.1,52.19,49.54,172.98,175.77,1.33,3.249,3.966,False,,,,,,,,,,,,,,,
1.358,Weightlifting,Snatch,Front View,Setup,Detected,61.09,55.23,53.42,46.47,117.36,115.1,51.97,49.43,172.98,174.37,1.76,3.249,3.966,False,,,,,,,,,,,,,,,
1.42,Weightlifting,Snatch,Front View,Setup,Detected,59.27,55.23,52.82,46.47,116.01,117.07,52.8,49.43,172.98,174.37,2.2,3.284,,False,,,,,,,,,,,,,,,
1.483,Weightlifting,Snatch,Front View,Setup,Detected,60.26,53.74,54.35,45.29,118.28,117.38,52.8,49.43,173.64,174.37,2.2,3.284,,False,,,,,,,,,,,,,,,
1.547,Weightlifting,Snatch,Front View,Setup,Detected,60.26,53.74,54.35,45.29,120.1,117.38,51.9,48.49,175.67,176.34,2.2,3.266,,False,,,,,,,,,,,,,,,
1.61,Weightlifting,Snatch,Front View,Setup,Detected,58.92,53.87,53.37,44.59,117.12,119.49,51.9,46.94,175.67,177.75,2.64,3.266,,False,,,,,,,,,,,,,,,
1.671,Weightlifting,Snatch,Front View,Setup,Detected,58.68,54.58,53.73,44.44,115.74,120.46,52.14,47.17,175.67,176.47,2.66,3.338,,False,,,,,,,,,,,,,,,
1.735,Weightlifting,Snatch,Front View,Setup,Detected,59.77,58.82,55.07,48.67,117.47,110.65,52.38,47.49,174.99,175.41,2.73,3.338,,False,,,,,,,,,,,,,,,
1.797,Weightlifting,Snatch,Front View,Setup,Detected,61.19,60.08,56.11,50.46,119.3,108.7,52.69,47.42,174.32,177.4,1.85,3.249,,False,,,,,,,,,,,,,,,
1.862,Weightlifting,Snatch,Front View,Setup,Detected,62.59,60.08,57.16,50.46,118.94,110.53,53.59,47.42,172.29,177.4,1.85,3.249,,False,,,,,,,,,,,,,,,
1.927,Weightlifting,Snatch,Front View,Setup,Detected,64.01,60.08,58.21,50.46,118.58,110.53,52.91,47.42,172.98,177.4,1.85,3.215,,False,,,,,,,,,,,,,,,
1.987,Weightlifting,Snatch,Front View,Setup,Detected,64.01,60.08,58.21,50.46,116.75,113.9,52.91,47.42,173.64,177.4,1.85,3.215,,False,,,,,,,,,,,,,,,
2.049,Weightlifting,Snatch,Front View,Setup,Detected,64.01,58.69,58.21,50.8,116.75,114.78,52.91,46.67,173.64,179.23,1.39,3.249,,False,,,,,,,,,,,,,,,
2.111,Weightlifting,Snatch,Front View,Setup,Detected,62.29,55.69,54.16,48.27,114.91,118.35,52.43,47.13,173.64,179.23,0.9,3.215,,False,,,,,,,,,,,,,,,
2.175,Weightlifting,Snatch,Front View,Setup,Detected,62.29,56.08,54.16,47.97,113.18,117.47,52.43,47.99,173.64,179.9,0.9,3.215,,False,,,,,,,,,,,,,,,
2.236,Weightlifting,Snatch,Front View,Setup,Detected,59.88,56.08,51.91,47.97,113.57,117.47,52.19,48.67,173.64,178.7,0.9,3.215,,False,,,,,,,,,,,,,,,
2.299,Weightlifting,Snatch,Front View,Setup,Detected,59.88,56.08,51.91,47.97,113.57,117.47,52.19,48.67,173.64,179.42,0.9,3.232,,False,,,,,,,,,,,,,,,
2.361,Weightlifting,Snatch,Front View,Setup,Detected,59.88,56.34,51.91,48.27,113.57,118.59,52.19,48.79,172.98,177.75,1.34,3.232,,False,,,,,,,,,,,,,,,
